comparison,k,f,stage,metric,delta,lo,hi,p_value,n
filler_minus_nofiller,2,5,1,gold_survival,0.0,-0.125,0.125,1.0,20
filler_minus_nofiller,2,5,1,answer_f1,0.011700799200799205,-0.10453327922077921,0.12668623043623028,0.8449,20
filler_minus_nofiller,2,5,3,gold_survival,-0.225,-0.4,-0.05,0.0189,20
filler_minus_nofiller,2,5,3,answer_f1,-0.16758131030189855,-0.2853855625583566,-0.04466062675070033,0.0088,20
filler_minus_nofiller,2,5,5,gold_survival,-0.125,-0.325,0.05,0.2571,20
filler_minus_nofiller,2,5,5,answer_f1,-0.07247329059829061,-0.23041086691086685,0.09226165674603161,0.3815,20
filler_minus_nofiller,2,10,1,gold_survival,-0.175,-0.375,0.0,0.0888,20
filler_minus_nofiller,2,10,1,answer_f1,-0.09340537840537841,-0.26634182484182484,0.07664928483678483,0.282,20
filler_minus_nofiller,2,10,3,gold_survival,-0.225,-0.425,0.0,0.0504,20
filler_minus_nofiller,2,10,3,answer_f1,-0.22104624814183635,-0.35941616988675806,-0.0764410253417607,0.0018,20
filler_minus_nofiller,2,10,5,gold_survival,-0.125,-0.35,0.125,0.3629,20
filler_minus_nofiller,2,10,5,answer_f1,-0.12153962022383072,-0.29829358847779897,0.05609658616237557,0.1774,20
filler_minus_nofiller,5,5,1,gold_survival,-0.21999999999999997,-0.32999999999999996,-0.10999999999999999,0.0,20
filler_minus_nofiller,5,5,1,answer_f1,-0.16907954545454545,-0.28659913419913424,-0.05713831168831174,0.0045,20
filler_minus_nofiller,5,5,3,gold_survival,-0.27,-0.39,-0.15,0.0,20
filler_minus_nofiller,5,5,3,answer_f1,-0.1914129625164108,-0.3394593400852022,-0.044968311573484056,0.0116,20
filler_minus_nofiller,5,5,5,gold_survival,-0.29000000000000004,-0.4,-0.18,0.0,20
filler_minus_nofiller,5,5,5,answer_f1,-0.22750964538739032,-0.363733583707096,-0.09293718723621383,0.001,20
filler_minus_nofiller,5,10,1,gold_survival,-0.14999999999999997,-0.30999999999999994,-0.009999999999999981,0.0604,20
filler_minus_nofiller,5,10,1,answer_f1,-0.06650559163059164,-0.20300407647907648,0.06929011994949485,0.3525,20
filler_minus_nofiller,5,10,3,gold_survival,-0.14,-0.31999999999999995,0.029999999999999992,0.12,20
filler_minus_nofiller,5,10,3,answer_f1,-0.06075107217306708,-0.24932765308363136,0.11716563333654118,0.5297,20
filler_minus_nofiller,5,10,5,gold_survival,-0.16999999999999998,-0.35000000000000003,5.551115123125783e-18,0.069,20
filler_minus_nofiller,5,10,5,answer_f1,-0.06241357676140284,-0.23218202051571615,0.09521741247882548,0.4589,20
filler_minus_nofiller,10,5,1,gold_survival,0.1,-0.059999999999999984,0.255,0.2158,20
filler_minus_nofiller,10,5,1,answer_f1,0.10370213186889385,-0.06046385433073789,0.2598466476220193,0.2038,20
filler_minus_nofiller,10,5,3,gold_survival,0.065,-0.14500000000000002,0.275,0.5589,20
filler_minus_nofiller,10,5,3,answer_f1,0.04811664523077565,-0.13173761874699372,0.22546187888198738,0.5971,20
filler_minus_nofiller,10,5,5,gold_survival,0.044999999999999984,-0.16500000000000004,0.255,0.6948,20
filler_minus_nofiller,10,5,5,answer_f1,0.022730545378179624,-0.156866654707008,0.20062064020786682,0.8029,20
filler_minus_nofiller,10,10,1,gold_survival,-0.025000000000000005,-0.17,0.13000000000000003,0.7403,20
filler_minus_nofiller,10,10,1,answer_f1,-0.001425591316895658,-0.15035757399303595,0.14840906836219336,0.9862,20
filler_minus_nofiller,10,10,3,gold_survival,-0.06000000000000001,-0.22499999999999995,0.12000000000000002,0.4985,20
filler_minus_nofiller,10,10,3,answer_f1,-0.10474924451554886,-0.26882566836846716,0.06161243686868685,0.2182,20
filler_minus_nofiller,10,10,5,gold_survival,-0.085,-0.25,0.1,0.3444,20
filler_minus_nofiller,10,10,5,answer_f1,-0.1080957128620172,-0.2508699651194216,0.038795610986235976,0.15,20
