comparison,condition,k,f,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,k2_f0,2,0,1,em,-0.025,-0.2,0.15,0.889,20
depth_minus_depth0,k2_f0,2,0,1,f1,-0.053172013172013165,-0.1673070494320494,0.060759534447034406,0.3505,20
depth_minus_depth0,k2_f0,2,0,3,em,-0.05,-0.2,0.125,0.6718,20
depth_minus_depth0,k2_f0,2,0,3,f1,-0.05876604876604876,-0.17841441197691194,0.06926750101750095,0.3537,20
depth_minus_depth0,k2_f0,2,0,5,em,-0.175,-0.375,0.025,0.1084,20
depth_minus_depth0,k2_f0,2,0,5,f1,-0.2072184297184297,-0.3657686642061641,-0.049512716450216446,0.0102,20
depth_minus_depth0,k2_f5,2,5,1,em,0.075,-0.075,0.25,0.4427,20
depth_minus_depth0,k2_f5,2,5,1,f1,0.04152523402523404,-0.09403915991415988,0.18170625901875895,0.5581,20
depth_minus_depth0,k2_f5,2,5,3,em,-0.075,-0.27562499999999446,0.15,0.5874,20
depth_minus_depth0,k2_f5,2,5,3,f1,-0.1433509110714993,-0.3307398636222166,0.04798300848116996,0.1428,20
depth_minus_depth0,k2_f5,2,5,5,em,-0.15,-0.35,0.05,0.1972,20
depth_minus_depth0,k2_f5,2,5,5,f1,-0.1966952723202723,-0.3911595956127206,-0.0021633759758760206,0.0478,20
depth_minus_depth0,k2_f10,2,10,1,em,-0.175,-0.325,-0.025,0.0425,20
depth_minus_depth0,k2_f10,2,10,1,f1,-0.1857200082200082,-0.33368520274770264,-0.05347548528798531,0.0107,20
depth_minus_depth0,k2_f10,2,10,3,em,-0.325,-0.475,-0.15,0.0001,20
depth_minus_depth0,k2_f10,2,10,3,f1,-0.3189549135505018,-0.4470600037217684,-0.18931935109416737,0.0,20
depth_minus_depth0,k2_f10,2,10,5,em,-0.325,-0.475,-0.15,0.0001,20
depth_minus_depth0,k2_f10,2,10,5,f1,-0.3679006665848771,-0.5026164427677586,-0.23083311607982665,0.0,20
depth_minus_depth0,k5_f0,5,0,1,em,-0.19,-0.2600000000000001,-0.12000000000000002,0.0,20
depth_minus_depth0,k5_f0,5,0,1,f1,-0.14858868861024033,-0.22500543831168826,-0.08023549783549785,0.0001,20
depth_minus_depth0,k5_f0,5,0,3,em,-0.26,-0.37000000000000005,-0.15000000000000002,0.0,20
depth_minus_depth0,k5_f0,5,0,3,f1,-0.22774071713726887,-0.338067612942613,-0.11919081206150174,0.0,20
depth_minus_depth0,k5_f0,5,0,5,em,-0.25,-0.33000000000000007,-0.17,0.0,20
depth_minus_depth0,k5_f0,5,0,5,f1,-0.22385927490800053,-0.32367416478449085,-0.1252324917898195,0.0,20
depth_minus_depth0,k5_f5,5,5,1,em,-0.3000000000000001,-0.43,-0.18000000000000002,0.0,20
depth_minus_depth0,k5_f5,5,5,1,f1,-0.2942683982683983,-0.42701417748917747,-0.16860097402597402,0.0,20
depth_minus_depth0,k5_f5,5,5,3,em,-0.42000000000000004,-0.54,-0.3,0.0,20
depth_minus_depth0,k5_f5,5,5,3,f1,-0.3957538438572922,-0.5367494588744589,-0.2590478541573369,0.0,20
depth_minus_depth0,k5_f5,5,5,5,em,-0.44000000000000006,-0.5800000000000001,-0.29,0.0,20
depth_minus_depth0,k5_f5,5,5,5,f1,-0.4279690844990034,-0.5756444823854306,-0.27907673923017484,0.0,20
depth_minus_depth0,k5_f10,5,10,1,em,-0.09,-0.25,0.06000000000000001,0.2881,20
depth_minus_depth0,k5_f10,5,10,1,f1,-0.1345449762655645,-0.27749015204566674,-0.0024284634075075646,0.0552,20
depth_minus_depth0,k5_f10,5,10,3,em,-0.18,-0.31999999999999995,-0.04,0.0135,20
depth_minus_depth0,k5_f10,5,10,3,f1,-0.20794248533506843,-0.3451141009246508,-0.07306188367259336,0.0032,20
depth_minus_depth0,k5_f10,5,10,5,em,-0.17,-0.31000000000000005,-0.020000000000000025,0.0235,20
depth_minus_depth0,k5_f10,5,10,5,f1,-0.20572354769413592,-0.3420441484169425,-0.07226280606648255,0.003,20
depth_minus_depth0,k10_f0,10,0,1,em,-0.22000000000000006,-0.31500000000000006,-0.11500000000000003,0.0001,20
depth_minus_depth0,k10_f0,10,0,1,f1,-0.2961189130917392,-0.3798154835653477,-0.21681632072637513,0.0,20
depth_minus_depth0,k10_f0,10,0,3,em,-0.21999999999999997,-0.32500000000000007,-0.10000000000000002,0.0004,20
depth_minus_depth0,k10_f0,10,0,3,f1,-0.29693763603546214,-0.3897958007119692,-0.20426466009835575,0.0,20
depth_minus_depth0,k10_f0,10,0,5,em,-0.25499999999999995,-0.3600000000000001,-0.14,0.0001,20
depth_minus_depth0,k10_f0,10,0,5,f1,-0.32469315829098433,-0.4205812575558499,-0.22772349754713891,0.0,20
depth_minus_depth0,k10_f5,10,5,1,em,-0.19,-0.3350000000000001,-0.044999999999999984,0.0115,20
depth_minus_depth0,k10_f5,10,5,1,f1,-0.23852084599155204,-0.3846583608069441,-0.09535119640715668,0.0008,20
depth_minus_depth0,k10_f5,10,5,3,em,-0.26,-0.4050000000000001,-0.11000000000000001,0.0003,20
depth_minus_depth0,k10_f5,10,5,3,f1,-0.2949250555733932,-0.446631143347216,-0.14372903552560687,0.0001,20
depth_minus_depth0,k10_f5,10,5,5,em,-0.34500000000000003,-0.47000000000000003,-0.21500000000000002,0.0,20
depth_minus_depth0,k10_f5,10,5,5,f1,-0.3480666776815115,-0.48546469038438833,-0.20933351533785208,0.0,20
depth_minus_depth0,k10_f10,10,10,1,em,-0.22000000000000003,-0.37499999999999994,-0.05499999999999998,0.006,20
depth_minus_depth0,k10_f10,10,10,1,f1,-0.2922317507034642,-0.4294030260186037,-0.14731185931173657,0.0,20
depth_minus_depth0,k10_f10,10,10,3,em,-0.32999999999999996,-0.485,-0.1598750000000018,0.0001,20
depth_minus_depth0,k10_f10,10,10,3,f1,-0.39637412684584034,-0.5406005853166173,-0.23829513480050968,0.0,20
depth_minus_depth0,k10_f10,10,10,5,em,-0.37,-0.5,-0.22999999999999998,0.0,20
depth_minus_depth0,k10_f10,10,10,5,f1,-0.427476117447831,-0.5519234951686025,-0.29080376014882336,0.0,20
