condition,k,f,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,gold_survival,gold_survival_lo,gold_survival_hi,filler_survival,handoff_chars,compression_ratio
k2_f0,2,0,0,20,0.675,0.5,0.825,0.8249,0.7052,0.9264,,,,,,
k2_f0,2,0,1,20,0.65,0.475,0.825,0.7717,0.6247,0.9067,0.925,0.85,1.0,nan,1280.8,0.8645
k2_f0,2,0,3,20,0.625,0.5,0.75,0.7661,0.6637,0.867,0.825,0.7,0.95,nan,1023.9,0.6843
k2_f0,2,0,5,20,0.5,0.35,0.65,0.6177,0.4695,0.7583,0.7,0.55,0.825,nan,1066.5,0.724
k2_f5,2,5,0,20,0.575,0.4,0.75,0.7419,0.6119,0.8566,,,,,,
k2_f5,2,5,1,20,0.65,0.5,0.775,0.7834,0.6765,0.8798,0.925,0.85,1.0,0.17,1259.8,0.2382
k2_f5,2,5,3,20,0.5,0.325,0.675,0.5986,0.4441,0.7442,0.6,0.425,0.75,0.16,1139.8,0.2183
k2_f5,2,5,5,20,0.425,0.25,0.6,0.5452,0.3902,0.6999,0.575,0.4,0.725,0.11,1120.2,0.2037
k2_f10,2,10,0,20,0.725,0.575,0.875,0.864,0.7682,0.9474,,,,,,
k2_f10,2,10,1,20,0.55,0.35,0.75,0.6783,0.5149,0.8314,0.75,0.575,0.9,0.12,1549.3,0.1654
k2_f10,2,10,3,20,0.4,0.25,0.55,0.5451,0.4187,0.6694,0.6,0.425,0.75,0.085,933.5,0.1004
k2_f10,2,10,5,20,0.4,0.275,0.525,0.4961,0.3775,0.6101,0.575,0.425,0.725,0.085,1098.5,0.1179
k5_f0,5,0,0,20,0.82,0.75,0.88,0.8951,0.8403,0.9418,,,,,,
k5_f0,5,0,1,20,0.63,0.55,0.71,0.7465,0.6783,0.8078,0.86,0.79,0.93,nan,2686.3,0.7357
k5_f0,5,0,3,20,0.56,0.44,0.67,0.6674,0.5634,0.7687,0.74,0.66,0.82,nan,2158.7,0.5891
k5_f0,5,0,5,20,0.57,0.49,0.65,0.6713,0.5834,0.7542,0.75,0.67,0.83,nan,2263.7,0.6227
k5_f5,5,5,0,20,0.78,0.7098,0.85,0.8717,0.8232,0.917,,,,,,
k5_f5,5,5,1,20,0.48,0.38,0.58,0.5774,0.4596,0.6953,0.64,0.51,0.76,0.19,2649.2,0.3456
k5_f5,5,5,3,20,0.36,0.25,0.47,0.476,0.3459,0.6074,0.47,0.31,0.63,0.17,1385.0,0.185
k5_f5,5,5,5,20,0.34,0.22,0.47,0.4437,0.3037,0.5881,0.46,0.31,0.61,0.12,1334.0,0.177
k5_f10,5,10,0,20,0.7,0.6,0.79,0.8146,0.742,0.8798,,,,,,
k5_f10,5,10,1,20,0.61,0.46,0.75,0.68,0.5312,0.8155,0.71,0.56,0.84,0.14,2244.1,0.195
k5_f10,5,10,3,20,0.52,0.39,0.65,0.6066,0.4578,0.742,0.6,0.44,0.75,0.085,1460.7,0.1272
k5_f10,5,10,5,20,0.53,0.39,0.66,0.6088,0.4666,0.7389,0.58,0.42,0.73,0.095,1443.2,0.1251
k10_f0,10,0,0,20,0.655,0.535,0.76,0.7994,0.7281,0.8629,,,,,,
k10_f0,10,0,1,20,0.435,0.365,0.52,0.5033,0.4232,0.5918,0.535,0.45,0.63,nan,3020.4,0.4094
k10_f0,10,0,3,20,0.435,0.355,0.515,0.5025,0.4151,0.5948,0.495,0.38,0.61,nan,2021.6,0.28
k10_f0,10,0,5,20,0.4,0.315,0.495,0.4747,0.3823,0.5736,0.485,0.37,0.6,nan,2166.2,0.2998
k10_f5,10,5,0,20,0.72,0.645,0.795,0.8455,0.7929,0.8953,,,,,,
k10_f5,10,5,1,20,0.53,0.405,0.66,0.607,0.4755,0.7371,0.635,0.5,0.765,0.17,2392.4,0.2103
k10_f5,10,5,3,20,0.46,0.33,0.595,0.5506,0.4094,0.691,0.56,0.41,0.705,0.05,1550.2,0.1371
k10_f5,10,5,5,20,0.375,0.255,0.505,0.4975,0.3598,0.6368,0.53,0.38,0.675,0.05,1936.1,0.1705
k10_f10,10,10,0,20,0.66,0.54,0.77,0.7941,0.7222,0.8568,,,,,,
k10_f10,10,10,1,20,0.44,0.325,0.565,0.5019,0.3811,0.6292,0.51,0.385,0.645,0.115,2698.2,0.1757
k10_f10,10,10,3,20,0.33,0.215,0.45,0.3977,0.269,0.5346,0.435,0.31,0.565,0.14,2327.0,0.1517
k10_f10,10,10,5,20,0.29,0.18,0.415,0.3666,0.251,0.4942,0.4,0.275,0.535,0.12,2351.4,0.1538
