comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,0.05,-0.15,0.25,0.8251,20
depth_minus_direct,conditioned,target,1,f1,0.0017171717171717172,-0.14045454545454544,0.12222222222222223,0.9817,20
depth_minus_direct,conditioned,target,1,bertscore_f1,-0.05061,-0.16904727124999994,0.03158660249999996,0.322,20
depth_minus_direct,conditioned,target,3,em,-0.25,-0.5,0.0,0.1059,20
depth_minus_direct,conditioned,target,3,f1,-0.2147130647130647,-0.40876068376068375,-0.03375992063492062,0.0226,20
depth_minus_direct,conditioned,target,3,bertscore_f1,-0.18976405000000002,-0.33263527125,-0.06296215250000001,0.0057,20
depth_minus_direct,conditioned,target,5,em,-0.4,-0.6,-0.2,0.0004,20
depth_minus_direct,conditioned,target,5,f1,-0.32418276168276167,-0.4946248196248195,-0.16139686702186704,0.0002,20
depth_minus_direct,conditioned,target,5,bertscore_f1,-0.23010334999999998,-0.3777532624999998,-0.10475233375000002,0.0019,20
depth_minus_direct,generic,target,1,em,-0.25,-0.5,0.05,0.1082,20
depth_minus_direct,generic,target,1,f1,-0.29292929292929293,-0.5136426767676767,-0.07499999999999998,0.0088,20
depth_minus_direct,generic,target,1,bertscore_f1,-0.2361179,-0.38927682874999997,-0.09083994500000002,0.0021,20
depth_minus_direct,generic,target,3,em,-0.3,-0.55,-0.05,0.0278,20
depth_minus_direct,generic,target,3,f1,-0.3061111111111111,-0.5283333333333333,-0.08998611111111128,0.0065,20
depth_minus_direct,generic,target,3,bertscore_f1,-0.2180644,-0.37031139249999995,-0.0752934200000001,0.0038,20
depth_minus_direct,generic,target,5,em,-0.35,-0.6,-0.1,0.0098,20
depth_minus_direct,generic,target,5,f1,-0.3478654970760234,-0.5599999999999999,-0.1378654970760234,0.0009,20
depth_minus_direct,generic,target,5,bertscore_f1,-0.27809340000000005,-0.41476319375000004,-0.14614932125000002,0.0002,20
conditioned_minus_generic,conditioned_minus_generic,target,1,em,0.3,0.1,0.5,0.0053,20
conditioned_minus_generic,conditioned_minus_generic,target,1,f1,0.29464646464646466,0.12469696969696968,0.47570707070707063,0.0009,20
conditioned_minus_generic,conditioned_minus_generic,target,1,bertscore_f1,0.18550790000000003,0.0721069125000001,0.3110524125,0.0023,20
conditioned_minus_generic,conditioned_minus_generic,target,3,em,0.05,-0.15,0.25,0.8204,20
conditioned_minus_generic,conditioned_minus_generic,target,3,f1,0.09139804639804641,-0.11057814407814398,0.3029107142857142,0.3948,20
conditioned_minus_generic,conditioned_minus_generic,target,3,bertscore_f1,0.02830035000000001,-0.099645305,0.16461913499999992,0.6839,20
conditioned_minus_generic,conditioned_minus_generic,target,5,em,-0.05,-0.2,0.1,0.7637,20
conditioned_minus_generic,conditioned_minus_generic,target,5,f1,0.02368273539326171,-0.15614709851551956,0.20810968344520975,0.8014,20
conditioned_minus_generic,conditioned_minus_generic,target,5,bertscore_f1,0.04799004999999999,-0.09214234874999996,0.18523872874999997,0.4915,20
depth_minus_direct,conditioned,heldout,1,em,-0.75,-0.95,-0.55,0.0,20
depth_minus_direct,conditioned,heldout,1,f1,-0.77,-0.95,-0.5900000000000001,0.0,20
depth_minus_direct,conditioned,heldout,1,bertscore_f1,-0.65325485,-0.8002448,-0.4888592300000001,0.0,20
depth_minus_direct,conditioned,heldout,3,em,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,conditioned,heldout,3,f1,-0.8699999999999999,-1.0,-0.72,0.0,20
depth_minus_direct,conditioned,heldout,3,bertscore_f1,-0.731224,-0.8484508324999999,-0.59271044625,0.0,20
depth_minus_direct,conditioned,heldout,5,em,-0.7,-0.9,-0.5,0.0,20
depth_minus_direct,conditioned,heldout,5,f1,-0.72,-0.9,-0.52,0.0,20
depth_minus_direct,conditioned,heldout,5,bertscore_f1,-0.61905085,-0.7741528787499999,-0.4528001300000001,0.0,20
depth_minus_direct,generic,heldout,1,em,-0.4,-0.6,-0.2,0.0003,20
depth_minus_direct,generic,heldout,1,f1,-0.37757575757575756,-0.5775757575757576,-0.18666666666666668,0.0001,20
depth_minus_direct,generic,heldout,1,bertscore_f1,-0.27601234999999996,-0.41929389499999997,-0.13809915,0.0,20
depth_minus_direct,generic,heldout,3,em,-0.4,-0.6,-0.2,0.0003,20
depth_minus_direct,generic,heldout,3,f1,-0.38666666666666666,-0.5900000000000001,-0.19,0.0001,20
depth_minus_direct,generic,heldout,3,bertscore_f1,-0.29669739999999994,-0.45607123624999996,-0.14630151625000004,0.0002,20
depth_minus_direct,generic,heldout,5,em,-0.45,-0.65,-0.25,0.0,20
depth_minus_direct,generic,heldout,5,f1,-0.39666666666666667,-0.6,-0.2033333333333333,0.0,20
