comparison,condition,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,signal_1_0,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_1_0,1,f1,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_1_0,1,bertscore_f1,-0.0374275,-0.074855,0.0,0.5054,2
depth_minus_depth0,signal_1_0,3,em,-0.5,-1.0,0.0,0.5054,2
depth_minus_depth0,signal_1_0,3,f1,-0.5,-1.0,0.0,0.5054,2
depth_minus_depth0,signal_1_0,3,bertscore_f1,-0.19494149999999993,-0.38988299999999987,0.0,0.5054,2
depth_minus_depth0,signal_1_0,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_1_0,5,f1,-0.08333333333333331,-0.16666666666666663,0.0,0.5054,2
depth_minus_depth0,signal_1_0,5,bertscore_f1,-0.08159549999999999,-0.16319099999999997,0.0,0.5054,2
depth_minus_depth0,signal_0_5,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_5,1,f1,-0.1333333333333333,-0.2666666666666666,0.0,0.5054,2
depth_minus_depth0,signal_0_5,1,bertscore_f1,-0.10305700000000001,-0.20611400000000002,0.0,0.5054,2
depth_minus_depth0,signal_0_5,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_5,3,f1,-0.1333333333333333,-0.2666666666666666,0.0,0.5054,2
depth_minus_depth0,signal_0_5,3,bertscore_f1,-0.10305700000000001,-0.20611400000000002,0.0,0.5054,2
depth_minus_depth0,signal_0_5,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_5,5,f1,-0.1333333333333333,-0.2666666666666666,0.0,0.5054,2
depth_minus_depth0,signal_0_5,5,bertscore_f1,-0.11143,-0.22286,0.0,0.5054,2
depth_minus_depth0,signal_0_1,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_1,1,f1,-0.1333333333333333,-0.2666666666666666,0.0,0.5054,2
depth_minus_depth0,signal_0_1,1,bertscore_f1,-0.10305700000000001,-0.20611400000000002,0.0,0.5054,2
depth_minus_depth0,signal_0_1,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_1,3,f1,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_1,3,bertscore_f1,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_1,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,signal_0_1,5,f1,-0.1333333333333333,-0.2666666666666666,0.0,0.5054,2
depth_minus_depth0,signal_0_1,5,bertscore_f1,-0.10305700000000001,-0.20611400000000002,0.0,0.5054,2
