arm,arm_group,depth,n,document_rate,parametric_rate,both_rate,other_rate,document_n,parametric_n,both_n,other_n
concise_shrink,baseline,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
concise_shrink,baseline,1,26,0.8461538461538461,0.11538461538461539,0.0,0.038461538461538464,22,3,0,1
concise_shrink,baseline,2,26,0.8461538461538461,0.11538461538461539,0.0,0.038461538461538464,22,3,0,1
concise_shrink,baseline,3,26,0.8461538461538461,0.11538461538461539,0.0,0.038461538461538464,22,3,0,1
control,baseline,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
control,baseline,1,26,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,20,4,0,2
control,baseline,2,26,0.8076923076923077,0.11538461538461539,0.0,0.07692307692307693,21,3,0,2
control,baseline,3,26,0.8076923076923077,0.07692307692307693,0.0,0.11538461538461539,21,2,0,3
inform_expand,expand,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
inform_expand,expand,1,26,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,20,4,0,2
inform_expand,expand,2,26,0.7307692307692307,0.15384615384615385,0.0,0.11538461538461539,19,4,0,3
inform_expand,expand,3,26,0.7692307692307693,0.11538461538461539,0.0,0.11538461538461539,20,3,0,3
inform_lsl,trajectory,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
inform_lsl,trajectory,1,26,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,20,4,0,2
inform_lsl,trajectory,2,26,0.6538461538461539,0.2692307692307692,0.0,0.07692307692307693,17,7,0,2
inform_lsl,trajectory,3,26,0.6923076923076923,0.19230769230769232,0.0,0.11538461538461539,18,5,0,3
inform_shrink,shrink,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
inform_shrink,shrink,1,26,0.7692307692307693,0.11538461538461539,0.0,0.11538461538461539,20,3,0,3
inform_shrink,shrink,2,26,0.7692307692307693,0.11538461538461539,0.0,0.11538461538461539,20,3,0,3
inform_shrink,shrink,3,26,0.7307692307692307,0.15384615384615385,0.0,0.11538461538461539,19,4,0,3
resize_expand,expand,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_expand,expand,1,26,0.8461538461538461,0.11538461538461539,0.0,0.038461538461538464,22,3,0,1
resize_expand,expand,2,26,0.6538461538461539,0.23076923076923078,0.0,0.11538461538461539,17,6,0,3
resize_expand,expand,3,26,0.6538461538461539,0.19230769230769232,0.0,0.15384615384615385,17,5,0,4
resize_lsl,trajectory,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_lsl,trajectory,1,26,0.8461538461538461,0.11538461538461539,0.0,0.038461538461538464,22,3,0,1
resize_lsl,trajectory,2,26,0.7307692307692307,0.11538461538461539,0.0,0.15384615384615385,19,3,0,4
resize_lsl,trajectory,3,26,0.6923076923076923,0.2692307692307692,0.0,0.038461538461538464,18,7,0,1
resize_shrink,shrink,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_shrink,shrink,1,26,0.6923076923076923,0.19230769230769232,0.0,0.11538461538461539,18,5,0,3
resize_shrink,shrink,2,26,0.6538461538461539,0.23076923076923078,0.0,0.11538461538461539,17,6,0,3
resize_shrink,shrink,3,26,0.6538461538461539,0.2692307692307692,0.0,0.07692307692307693,17,7,0,2
resize_sse,trajectory,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_sse,trajectory,1,26,0.6923076923076923,0.19230769230769232,0.0,0.11538461538461539,18,5,0,3
resize_sse,trajectory,2,26,0.6538461538461539,0.23076923076923078,0.0,0.11538461538461539,17,6,0,3
resize_sse,trajectory,3,26,0.5769230769230769,0.3076923076923077,0.0,0.11538461538461539,15,8,0,3
