policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,80,retained,future,f1,0.21907260233153092,0.20591193188012386,0.23160556686616957,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,retained,future,judge_correct,0.2070684523809524,0.19143787202380957,0.2226934523809524,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,channel,message,delivered_words,73.8125,72.890625,74.703125,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,channel,message,fill_ratio,0.92265625,0.9111328125,0.9337890625,16,64,mistral_stack,split,l0,0.0,False,0.0
split__l1,40,utility,now,em,0.71875,0.640625,0.796875,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,now,f1,0.8196428571428571,0.746875,0.8851190476190476,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,now,judge_correct,0.96875,0.921875,1.0,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,future,em,0.14375,0.12395833333333334,0.16666666666666669,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,future,f1,0.2135358796296296,0.18520477843915345,0.24336396329365073,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,future,judge_correct,0.246875,0.21250000000000002,0.28229166666666666,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,gap,em,0.575,0.4905989583333335,0.6583333333333334,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,gap,f1,0.6061069775132275,0.5318546006944446,0.6764395461309524,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,utility,gap,judge_correct,0.721875,0.6614583333333333,0.7739583333333333,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,regret,now,em,0.078125,0.0,0.140625,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,regret,now,f1,0.023586309523809523,-0.01793526785714284,0.06577752976190471,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,regret,now,judge_correct,0.03125,0.0,0.078125,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,regret,future,em,0.7114583333333333,0.6614583333333334,0.759375,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,regret,future,f1,0.6799710648148148,0.6382414641203704,0.7230062624007937,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,regret,future,judge_correct,0.7489583333333334,0.709375,0.7864583333333334,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,retained,now,em,0.8854166666666666,0.8123697916666672,0.9583333333333333,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,retained,now,f1,0.9271081349206349,0.8790172371031746,0.9670386904761905,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,retained,now,judge_correct,0.96875,0.921875,1.0,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,retained,future,em,0.16963982198357197,0.14542770597458096,0.1956584951506826,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,retained,future,f1,0.22954822954822954,0.19915629292582418,0.261232681814713,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,retained,future,judge_correct,0.24851190476190477,0.2130803571428572,0.2849702380952381,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,channel,message,delivered_words,36.546875,36.030859375,37.0625,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,40,channel,message,fill_ratio,0.913671875,0.900771484375,0.9265625,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,now,em,0.796875,0.734375,0.859375,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,now,f1,0.8566220238095238,0.7989341517857143,0.911313244047619,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,now,judge_correct,1.0,1.0,1.0,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,future,em,0.2989583333333333,0.25520833333333337,0.34270833333333334,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,future,f1,0.35238826566951564,0.3064454571759259,0.3961058201058201,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,future,judge_correct,0.3958333333333333,0.3489583333333333,0.43854166666666666,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,gap,em,0.4979166666666667,0.42500000000000004,0.5771093749999997,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,gap,f1,0.5042337581400081,0.43403130087505093,0.5765223452762515,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,utility,gap,judge_correct,0.6041666666666667,0.5614583333333334,0.6510416666666667,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,regret,now,em,0.0,-0.046875,0.046875,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,regret,now,f1,-0.013392857142857142,-0.03688616071428547,0.004464285714285716,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,regret,now,judge_correct,0.0,0.0,0.0,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,regret,future,em,0.55625,0.5062500000000001,0.6062500000000001,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,regret,future,f1,0.5411186787749288,0.49391581132987383,0.5917495246362434,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,regret,future,judge_correct,0.6,0.5541666666666667,0.6489583333333333,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,retained,now,em,0.984375,0.953125,1.0,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,retained,now,f1,0.9720734126984127,0.947296626984127,0.9924268353174601,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,retained,now,judge_correct,1.0,1.0,1.0,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,retained,future,em,0.34862515956265955,0.30179259976134976,0.3937087326735764,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,retained,future,f1,0.3817406171870457,0.3307519059974417,0.4284478821443107,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,retained,future,judge_correct,0.3968005952380952,0.34895833333333337,0.44047619047619047,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,channel,message,delivered_words,71.421875,69.125,73.1875,16,64,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,channel,message,fill_ratio,0.8927734374999999,0.8640625,0.91484375,16,64,mistral_stack,split,l1,1.0,False,0.5
split__linf,40,utility,now,em,0.3125,0.203125,0.4375,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,now,f1,0.42775297619047614,0.300132068452381,0.5572247023809523,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,now,judge_correct,0.515625,0.390625,0.640625,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,future,em,0.24583333333333332,0.20729166666666665,0.2885416666666667,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,future,f1,0.3143568121693122,0.2799709821428571,0.3507941674933862,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,future,judge_correct,0.37187499999999996,0.33541666666666664,0.4072916666666667,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,gap,em,0.06666666666666668,-0.04583333333333334,0.19583333333333336,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,gap,f1,0.11339616402116402,-0.01448691716269839,0.24457992311507928,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,utility,gap,judge_correct,0.14375000000000002,0.003124999999999996,0.288567708333333,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,regret,now,em,0.484375,0.359375,0.59375,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,regret,now,f1,0.41547619047619044,0.28958333333333336,0.5450892857142857,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,regret,now,judge_correct,0.484375,0.359375,0.609375,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,regret,future,em,0.609375,0.5562500000000001,0.6625000000000001,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,regret,future,f1,0.5791501322751322,0.5346848544973546,0.6213857266865079,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,regret,future,judge_correct,0.6239583333333334,0.5854166666666667,0.6625000000000001,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,retained,now,em,0.36979166666666663,0.23958333333333331,0.5104166666666666,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,retained,now,f1,0.4509424603174603,0.3202876984126985,0.5821478174603173,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,retained,now,judge_correct,0.515625,0.390625,0.640625,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,retained,future,em,0.2807913440725941,0.23832537254412253,0.32869305824383943,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,retained,future,f1,0.33471687352825746,0.2993865158743786,0.37467208537060653,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,retained,future,judge_correct,0.3703869047619047,0.33436383928571434,0.40580357142857143,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,channel,message,delivered_words,37.171875,36.15625,38.0,16,64,mistral_stack,split,linf,,True,1.0
split__linf,40,channel,message,fill_ratio,0.929296875,0.9039062499999999,0.9500000000000001,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,now,em,0.359375,0.25,0.46875,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,now,f1,0.4526785714285714,0.3515625,0.5529129464285711,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,now,judge_correct,0.578125,0.484375,0.671875,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,future,em,0.3989583333333333,0.35625000000000007,0.44895833333333335,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,future,f1,0.47414021164021164,0.4327770130621693,0.5182267691798941,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,future,judge_correct,0.546875,0.5,0.5895833333333333,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,gap,em,-0.03958333333333333,-0.15,0.07395833333333335,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,gap,f1,-0.021461640211640202,-0.12152356150793646,0.07725233548280415,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,utility,gap,judge_correct,0.03125000000000001,-0.05937499999999999,0.12395833333333334,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,regret,now,em,0.4375,0.359375,0.515625,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,regret,now,f1,0.3905505952380952,0.2989583333333333,0.4864583333333333,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,regret,now,judge_correct,0.421875,0.328125,0.515625,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,regret,future,em,0.45625000000000004,0.3978906250000001,0.5104166666666667,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,regret,future,f1,0.4193667328042328,0.3686168568121693,0.47080034722222225,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,regret,future,judge_correct,0.44895833333333335,0.4083333333333333,0.49375,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,retained,now,em,0.4114583333333333,0.2863281250000005,0.53125,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,retained,now,f1,0.47683531746031743,0.37266865079365075,0.5783978174603174,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,retained,now,judge_correct,0.578125,0.484375,0.671875,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,retained,future,em,0.45962587759462764,0.40954749243811744,0.5187052617521368,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,retained,future,f1,0.5137714220303506,0.46717512339471046,0.5640140435581283,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,retained,future,judge_correct,0.5477678571428571,0.5017857142857143,0.5895833333333333,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,channel,message,delivered_words,75.078125,73.624609375,76.3125,16,64,mistral_stack,split,linf,,True,1.0
split__linf,80,channel,message,fill_ratio,0.9384765625,0.9203076171875,0.95390625,16,64,mistral_stack,split,linf,,True,1.0
