policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered,replication,family,preference_id,lambda,lambda_infinite,future_share
split__l0,40,34,64,34.3125,5.560275772537426,19.0,40.0,0.8578125000000001,0.265625,0.265625,0.265625,0.859375,0.46875,1.296875,0.0,54,128,136.40625,65.6875,False,mistral_stack,split,l0,0.0,False,0.0
split__l0,80,68,64,73.8125,3.3469958100333725,66.0,80.0,0.9226562500000001,0.03125,0.03125,0.03125,0.921875,0.140625,1.390625,0.0,108,227,242.46875,141.84375,False,mistral_stack,split,l0,0.0,False,0.0
split__l1,40,34,64,36.546875,2.2320158694036745,29.0,40.0,0.913671875,0.09375,0.546875,0.546875,1.0,2.390625,0.953125,0.008789046875,54,256,245.28125,73.453125,False,mistral_stack,split,l1,1.0,False,0.5
split__l1,80,68,64,71.421875,7.448883345524891,37.0,79.0,0.8927734374999999,0.15625,0.515625,0.515625,1.0,2.703125,0.96875,0.001722828125,108,256,430.46875,143.25,False,mistral_stack,split,l1,1.0,False,0.5
split__linf,40,34,64,37.171875,4.061255914513958,17.0,40.0,0.9292968749999999,0.078125,0.53125,0.53125,1.0,2.59375,0.078125,0.0,54,128,336.40625,78.515625,False,mistral_stack,split,linf,,True,1.0
split__linf,80,68,64,75.078125,4.149219423626187,58.0,80.0,0.9384765625,0.015625,0.25,0.25,1.0,2.390625,0.0625,0.0,108,227,541.375,152.640625,False,mistral_stack,split,linf,,True,1.0
