comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,fixed,target,5,em,0.2,0.0,0.5,0.2334,10
conditioned_minus_generic,switching,target,5,em,0.2,-0.2,0.6,0.4284,10
switching_minus_fixed,conditioned,target,5,em,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,generic,target,5,em,0.0,-0.3,0.3,1.0,10
conditioning_x_switching_interaction,factorial,target,5,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,fixed,target,5,f1,0.23333333333333334,0.0,0.5,0.0662,10
conditioned_minus_generic,switching,target,5,f1,0.2,-0.1,0.5,0.2293,10
switching_minus_fixed,conditioned,target,5,f1,0.03333333333333334,-0.23333333333333334,0.2666666666666667,0.8376,10
switching_minus_fixed,generic,target,5,f1,0.06666666666666667,-0.23333333333333334,0.36666666666666664,0.7412,10
conditioning_x_switching_interaction,factorial,target,5,f1,-0.03333333333333333,-0.2,0.1,0.8348,10
conditioned_minus_generic,fixed,target,5,judge_correct,0.2,-0.2,0.6,0.4281,10
conditioned_minus_generic,switching,target,5,judge_correct,0.3,-0.1,0.7,0.2165,10
switching_minus_fixed,conditioned,target,5,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,target,5,judge_correct,-0.1,-0.4,0.2,0.7611,10
conditioning_x_switching_interaction,factorial,target,5,judge_correct,0.1,-0.2,0.4,0.7654,10
conditioned_minus_generic,fixed,target,6,em,0.1,-0.2,0.4,0.7646,10
conditioned_minus_generic,switching,target,6,em,0.2,0.0,0.5,0.2272,10
switching_minus_fixed,conditioned,target,6,em,-0.1,-0.4,0.2,0.7653,10
switching_minus_fixed,generic,target,6,em,-0.2,-0.5,0.0,0.2272,10
conditioning_x_switching_interaction,factorial,target,6,em,0.1,-0.2,0.4,0.7616,10
conditioned_minus_generic,fixed,target,6,f1,0.053333333333333344,-0.29333333333333333,0.4,0.7628,10
conditioned_minus_generic,switching,target,6,f1,0.2733333333333333,0.08,0.4934999999999976,0.0095,10
switching_minus_fixed,conditioned,target,6,f1,0.020000000000000007,-0.36666666666666664,0.36,0.9122,10
switching_minus_fixed,generic,target,6,f1,-0.2,-0.5,0.0,0.2272,10
conditioning_x_switching_interaction,factorial,target,6,f1,0.22000000000000003,-0.12000000000000002,0.5266666666666666,0.1916,10
conditioned_minus_generic,fixed,target,6,judge_correct,0.2,-0.2,0.6,0.4221,10
conditioned_minus_generic,switching,target,6,judge_correct,0.3,-0.1,0.7,0.2172,10
switching_minus_fixed,conditioned,target,6,judge_correct,-0.1,-0.4,0.2,0.7669,10
