contrast,asks,dataset,depth,measure,arm_a,arm_b,n_pairs,shared_stages,mean_a,mean_b,delta,delta_lo,delta_hi,p_value,excludes_zero
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,summary_words,inform_shrink,control,26,0,245.03846153846155,160.96153846153845,84.07692307692308,59.34423076923078,112.07692307692308,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,summary_characters,inform_shrink,control,26,0,1578.6153846153845,1041.2307692307693,537.3846153846154,379.1528846153846,716.6951923076923,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,estimated_tokens,inform_shrink,control,26,0,426.2307692307692,281.03846153846155,145.19230769230768,102.34615384615384,193.73269230769228,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,length_ratio,inform_shrink,control,26,0,1.113980769230769,1.0274923076923077,0.08648846153846156,0.0041992307692307745,0.17314336538461536,0.0446,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,internal_repetition,inform_shrink,control,26,0,0.005120384615384615,0.004461384615384615,0.0006590000000000001,-0.002624409615384614,0.004303408653846151,0.7058,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,novel_token_rate,inform_shrink,control,26,0,0.17594615384615386,0.17113846153846154,0.0048076923076923106,-0.042224807692307666,0.05338548076923075,0.8427,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,retained_token_rate,inform_shrink,control,26,0,0.9019230769230769,0.8347615384615386,0.06716153846153848,0.004035576923076951,0.12943278846153847,0.0336,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,ngram_copy_rate,inform_shrink,control,26,0,0.5688769230769231,0.45316538461538464,0.11571153846153845,-0.0006521153846153737,0.23090423076923075,0.0497,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,target_fact_present,inform_shrink,control,26,0,0.8461538461538461,0.8076923076923077,0.038461538461538464,-0.11538461538461539,0.23076923076923078,0.8198,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,side_fact_retention,inform_shrink,control,26,0,0.7230769230769231,0.5615384615384614,0.16153846153846155,0.05384615384615385,0.2692307692307692,0.0035,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,parametric_present,inform_shrink,control,26,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_count,inform_shrink,control,26,0,2.6153846153846154,2.8461538461538463,-0.23076923076923078,-0.8461538461538461,0.46153846153846156,0.5226,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_invented_count,inform_shrink,control,26,0,2.269230769230769,2.5384615384615383,-0.2692307692307692,-0.8461538461538461,0.38461538461538464,0.4298,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_corrupted_count,inform_shrink,control,26,0,0.34615384615384615,0.3076923076923077,0.038461538461538464,-0.2692307692307692,0.3076923076923077,0.896,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_rate,inform_shrink,control,26,0,0.16284380647262253,0.1961263506644796,-0.03328254419185707,-0.08976749187242071,0.023455423219945412,0.2465,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,tracked_variant_count,inform_shrink,control,26,0,7.384615384615385,5.576923076923077,1.8076923076923077,0.38461538461538464,3.423076923076923,0.0226,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_claims,inform_shrink,control,26,0,1.7692307692307692,1.3846153846153846,0.38461538461538464,-0.15384615384615385,1.0,0.2235,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,semantic_preserved,inform_shrink,control,26,0,0.9615384615384616,0.9230769230769231,0.038461538461538464,-0.057692307692307696,0.1346153846153846,0.5394,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,truncated,inform_shrink,control,26,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,em,inform_shrink,control,26,0,0.7307692307692307,0.6923076923076923,0.038461538461538464,-0.11538461538461539,0.19230769230769232,0.8138,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,f1,inform_shrink,control,26,0,0.75,0.7179487179487178,0.032051282051282055,-0.1282051282051282,0.19230769230769232,0.8016,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,judge_correct,inform_shrink,control,26,0,0.7307692307692307,0.7307692307692307,0.0,-0.15384615384615385,0.15384615384615385,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,parametric_judge_correct,inform_shrink,control,26,0,0.19230769230769232,0.19230769230769232,0.0,-0.19230769230769232,0.19230769230769232,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,side_judge_correct,inform_shrink,control,26,0,0.6923076923076923,0.6153846153846154,0.07692307692307693,-0.07692307692307693,0.23076923076923078,0.439,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,side_f1,inform_shrink,control,26,0,0.5692307692307692,0.5884615384615385,-0.019230769230769232,-0.1346153846153846,0.09615384615384616,0.8737,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,summary_words,inform_shrink,control,26,0,282.0,171.34615384615384,110.65384615384616,79.03750000000001,146.96153846153845,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,summary_characters,inform_shrink,control,26,0,1950.3846153846155,1122.7307692307693,827.6538461538462,517.0759615384616,1243.2567307692304,0.0003,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,estimated_tokens,inform_shrink,control,26,0,526.6923076923077,303.03846153846155,223.65384615384616,139.7298076923077,335.9307692307691,0.0003,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,length_ratio,inform_shrink,control,26,0,1.257223076923077,1.0893038461538462,0.16791923076923077,0.013496634615384662,0.395178173076923,0.0775,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,internal_repetition,inform_shrink,control,26,0,0.014729769230769232,0.003995115384615385,0.010734653846153849,0.005241296153846154,0.017040529807692308,0.0006,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,novel_token_rate,inform_shrink,control,26,0,0.1649807692307692,0.12171153846153844,0.04326923076923077,-0.005551730769230718,0.09002365384615384,0.0748,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,retained_token_rate,inform_shrink,control,26,0,0.9588384615384615,0.9338576923076922,0.024980769230769216,-0.015885480769230777,0.05797346153846151,0.1769,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,ngram_copy_rate,inform_shrink,control,26,0,0.7050423076923078,0.6492884615384615,0.05575384615384614,-0.04336576923076922,0.16314999999999996,0.2903,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,target_fact_present,inform_shrink,control,26,0,0.8461538461538461,0.8076923076923077,0.038461538461538464,-0.11538461538461539,0.23076923076923078,0.8198,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,side_fact_retention,inform_shrink,control,26,0,0.7153846153846153,0.523076923076923,0.19230769230769232,0.09230769230769233,0.2923076923076923,0.0004,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,parametric_present,inform_shrink,control,26,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_count,inform_shrink,control,26,0,3.3461538461538463,3.4615384615384617,-0.11538461538461539,-1.3846153846153846,1.3461538461538463,0.887,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_invented_count,inform_shrink,control,26,0,2.8076923076923075,3.0384615384615383,-0.23076923076923078,-1.2307692307692308,0.8846153846153846,0.6966,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_corrupted_count,inform_shrink,control,26,0,0.5384615384615384,0.4230769230769231,0.11538461538461539,-0.2692307692307692,0.5769230769230769,0.6611,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_rate,inform_shrink,control,26,0,0.17023202942171745,0.24459076171664446,-0.07435873229492704,-0.13217183384311068,-0.01931233484868674,0.0104,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,tracked_variant_count,inform_shrink,control,26,0,9.615384615384615,5.8076923076923075,3.8076923076923075,1.3076923076923077,7.153846153846154,0.0146,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_claims,inform_shrink,control,26,0,2.1538461538461537,1.6153846153846154,0.5384615384615384,-0.11538461538461539,1.1538461538461537,0.0995,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,semantic_preserved,inform_shrink,control,26,0,0.9807692307692307,1.0,-0.019230769230769232,-0.057692307692307696,0.0,0.6228,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,truncated,inform_shrink,control,26,0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.11538461538461539,0.6227,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,em,inform_shrink,control,26,0,0.7692307692307693,0.6153846153846154,0.15384615384615385,0.0,0.34615384615384615,0.1298,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,f1,inform_shrink,control,26,0,0.7884615384615384,0.6602564102564101,0.12820512820512822,-0.038461538461538464,0.3012820512820513,0.1415,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,judge_correct,inform_shrink,control,26,0,0.7692307692307693,0.6538461538461539,0.11538461538461539,-0.038461538461538464,0.2692307692307692,0.2335,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,parametric_judge_correct,inform_shrink,control,26,0,0.11538461538461539,0.2692307692307692,-0.15384615384615385,-0.34615384615384615,0.0,0.1281,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,side_judge_correct,inform_shrink,control,26,0,0.6923076923076923,0.6153846153846154,0.07692307692307693,-0.07692307692307693,0.23076923076923078,0.439,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,side_f1,inform_shrink,control,26,0,0.5692307692307692,0.5564102564102564,0.012820512820512822,-0.10256410256410256,0.12820512820512822,0.875,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,summary_words,inform_shrink,control,20,0,334.8,221.3,113.5,78.15,147.65,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,summary_characters,inform_shrink,control,20,0,2113.25,1398.7,714.55,493.1475,924.95625,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,estimated_tokens,inform_shrink,control,20,0,570.6,377.5,193.1,133.34875,249.95124999999996,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,length_ratio,inform_shrink,control,20,0,0.789985,0.521585,0.2684,0.18466387499999998,0.3460509999999999,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,internal_repetition,inform_shrink,control,20,0,0.0057789,0.0028328,0.0029461,-0.0010587062499999979,0.006957296249999997,0.1468,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,novel_token_rate,inform_shrink,control,20,0,0.31957,0.36493000000000003,-0.045360000000000004,-0.09511075,-0.002379750000000009,0.0541,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,retained_token_rate,inform_shrink,control,20,0,0.5231999999999999,0.323885,0.19931499999999996,0.14232887500000002,0.2569048749999999,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,ngram_copy_rate,inform_shrink,control,20,0,0.253695,0.13817,0.11552499999999999,0.0656395,0.16968612500000002,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,target_fact_present,inform_shrink,control,20,0,0.95,0.95,0.0,-0.15,0.15,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,side_fact_retention,inform_shrink,control,20,0,0.6,0.38,0.22000000000000003,0.08000000000000002,0.35000000000000003,0.0007,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_count,inform_shrink,control,20,0,1.4,1.65,-0.25,-0.9,0.4,0.4954,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_invented_count,inform_shrink,control,20,0,1.15,1.5,-0.35,-0.9,0.2,0.237,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_corrupted_count,inform_shrink,control,20,0,0.25,0.15,0.1,-0.2,0.4,0.6276,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_rate,inform_shrink,control,20,0,0.0415132223761824,0.07497217575535652,-0.03345895337917413,-0.0633438564057235,-0.005839457403005827,0.022,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,tracked_variant_count,inform_shrink,control,20,0,2.85,3.2,-0.35,-1.55,0.7,0.5653,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_claims,inform_shrink,control,20,0,2.6,1.8,0.8,-0.05,1.6,0.0661,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,semantic_preserved,inform_shrink,control,20,0,0.475,0.25,0.225,0.075,0.4,0.01,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,truncated,inform_shrink,control,20,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,em,inform_shrink,control,20,0,0.95,0.95,0.0,-0.15,0.15,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,f1,inform_shrink,control,20,0,0.9833333333333332,0.95,0.03333333333333333,-0.05,0.15,0.6261,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,judge_correct,inform_shrink,control,20,0,0.95,0.95,0.0,-0.15,0.15,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,side_judge_correct,inform_shrink,control,20,0,0.6,0.4,0.2,-0.05,0.45,0.1943,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,side_f1,inform_shrink,control,20,0,0.5599999999999999,0.4,0.16,-0.09,0.4,0.2204,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,summary_words,inform_shrink,control,20,0,373.95,228.7,145.25,109.24750000000002,180.0,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,summary_characters,inform_shrink,control,20,0,2364.4,1455.3,909.1,678.1975000000001,1128.75125,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,estimated_tokens,inform_shrink,control,20,0,638.5,392.85,245.65,183.3,305.05,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,length_ratio,inform_shrink,control,20,0,1.13571,1.0392700000000001,0.09644,0.023464249999999985,0.180753125,0.0176,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,internal_repetition,inform_shrink,control,20,0,0.011944050000000001,0.0123663,-0.0004222500000000004,-0.013899436250000001,0.011055662499999994,0.9434,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,novel_token_rate,inform_shrink,control,20,0,0.15211,0.143,0.009109999999999997,-0.030985874999999996,0.050305374999999986,0.6629,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,retained_token_rate,inform_shrink,control,20,0,0.953275,0.87232,0.08095500000000003,0.04237987500000001,0.120665,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,ngram_copy_rate,inform_shrink,control,20,0,0.7030000000000001,0.536835,0.166165,0.08605000000000004,0.24487274999999994,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,target_fact_present,inform_shrink,control,20,0,0.95,0.95,0.0,-0.15,0.15,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,side_fact_retention,inform_shrink,control,20,0,0.5900000000000001,0.38,0.21000000000000002,0.07999999999999999,0.33999999999999997,0.0011,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,unsupported_count,inform_shrink,control,20,0,2.7,2.7,0.0,-1.1,1.35,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,unsupported_invented_count,inform_shrink,control,20,0,2.45,2.45,0.0,-1.1,1.35,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,unsupported_corrupted_count,inform_shrink,control,20,0,0.25,0.25,0.0,-0.25,0.25,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,unsupported_rate,inform_shrink,control,20,0,0.059621036595218876,0.10908978496181188,-0.049468748366593,-0.08005146997316048,-0.018802497757001893,0.0017,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,tracked_variant_count,inform_shrink,control,20,0,3.75,3.35,0.4,-0.5012499999999889,1.35,0.4362,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,unsupported_claims,inform_shrink,control,20,0,2.65,1.45,1.2,0.3,2.05,0.0077,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,semantic_preserved,inform_shrink,control,20,0,1.0,1.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,truncated,inform_shrink,control,20,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,em,inform_shrink,control,20,0,0.9,0.95,-0.05,-0.2,0.1,0.762,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,f1,inform_shrink,control,20,0,0.9333333333333332,0.95,-0.016666666666666673,-0.16666666666666669,0.13333333333333333,0.8243,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,judge_correct,inform_shrink,control,20,0,0.9,0.95,-0.05,-0.2,0.1,0.762,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,side_judge_correct,inform_shrink,control,20,0,0.6,0.4,0.2,-0.05,0.45,0.1943,False
