comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,conditioned_minus_generic,target,3,judge_correct,0.8,0.5,1.0,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,4,em,0.6,0.3,0.9,0.0003,10
conditioned_minus_generic,conditioned_minus_generic,target,4,f1,0.7523809523809525,0.48571428571428565,0.9666666666666666,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,4,judge_correct,0.8,0.5,1.0,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,5,em,0.5,0.2,0.8,0.0024,10
conditioned_minus_generic,conditioned_minus_generic,target,5,f1,0.6523809523809525,0.36666666666666664,0.9,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,5,judge_correct,0.7,0.4,1.0,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,6,em,0.5,0.2,0.8,0.0024,10
conditioned_minus_generic,conditioned_minus_generic,target,6,f1,0.6523809523809525,0.36666666666666664,0.9,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,6,judge_correct,0.7,0.4,1.0,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,7,em,0.5,0.2,0.8,0.0024,10
conditioned_minus_generic,conditioned_minus_generic,target,7,f1,0.6523809523809525,0.36666666666666664,0.9,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,7,judge_correct,0.7,0.4,1.0,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,8,em,0.5,0.2,0.8,0.0024,10
conditioned_minus_generic,conditioned_minus_generic,target,8,f1,0.6066666666666667,0.3333333333333333,0.8666666666666666,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,8,judge_correct,0.6,0.3,0.9,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,9,em,0.5,0.2,0.8,0.0024,10
conditioned_minus_generic,conditioned_minus_generic,target,9,f1,0.6523809523809525,0.36666666666666664,0.9,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,9,judge_correct,0.7,0.4,1.0,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,10,em,0.5,0.2,0.8,0.0024,10
conditioned_minus_generic,conditioned_minus_generic,target,10,f1,0.6523809523809525,0.36666666666666664,0.9,0.0,10
conditioned_minus_generic,conditioned_minus_generic,target,10,judge_correct,0.7,0.4,1.0,0.0,10
depth_minus_direct,conditioned,heldout,1,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,1,f1,-0.8300000000000001,-1.0,-0.6,0.0,10
depth_minus_direct,conditioned,heldout,1,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,conditioned,heldout,2,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,2,f1,-0.8400000000000001,-1.0,-0.62,0.0,10
depth_minus_direct,conditioned,heldout,2,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,conditioned,heldout,3,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,3,f1,-0.8400000000000001,-1.0,-0.62,0.0,10
depth_minus_direct,conditioned,heldout,3,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,conditioned,heldout,4,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,4,f1,-0.8400000000000001,-1.0,-0.62,0.0,10
depth_minus_direct,conditioned,heldout,4,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,conditioned,heldout,5,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,5,f1,-0.8400000000000001,-1.0,-0.62,0.0,10
depth_minus_direct,conditioned,heldout,5,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,conditioned,heldout,6,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,6,f1,-0.8,-0.96,-0.58,0.0,10
depth_minus_direct,conditioned,heldout,6,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,conditioned,heldout,7,em,-0.7,-1.0,-0.4,0.0,10
depth_minus_direct,conditioned,heldout,7,f1,-0.74,-0.96,-0.48,0.0,10
depth_minus_direct,conditioned,heldout,7,judge_correct,-0.9,-1.0,-0.7,0.0,10
depth_minus_direct,conditioned,heldout,8,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,8,f1,-0.79,-0.96,-0.57,0.0,10
depth_minus_direct,conditioned,heldout,8,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,conditioned,heldout,9,em,-0.7,-1.0,-0.4,0.0,10
depth_minus_direct,conditioned,heldout,9,f1,-0.6799999999999999,-0.9,-0.43,0.0,10
depth_minus_direct,conditioned,heldout,9,judge_correct,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,conditioned,heldout,10,em,-0.7,-1.0,-0.4,0.0,10
depth_minus_direct,conditioned,heldout,10,f1,-0.73,-0.95,-0.45,0.0,10
depth_minus_direct,conditioned,heldout,10,judge_correct,-0.9,-1.0,-0.7,0.0,10
depth_minus_direct,generic,heldout,1,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,1,f1,-0.8694736842105263,-1.0,-0.6694736842105262,0.0,10
depth_minus_direct,generic,heldout,1,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,2,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,2,f1,-0.8800000000000001,-1.0,-0.6799999999999999,0.0,10
depth_minus_direct,generic,heldout,2,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,3,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,3,f1,-0.8800000000000001,-1.0,-0.6799999999999999,0.0,10
depth_minus_direct,generic,heldout,3,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,4,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,4,f1,-0.8800000000000001,-1.0,-0.6799999999999999,0.0,10
depth_minus_direct,generic,heldout,4,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,5,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,5,f1,-0.86,-1.0,-0.64,0.0,10
depth_minus_direct,generic,heldout,5,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,6,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,6,f1,-0.8800000000000001,-1.0,-0.6799999999999999,0.0,10
depth_minus_direct,generic,heldout,6,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,7,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,7,f1,-0.8400000000000001,-1.0,-0.62,0.0,10
depth_minus_direct,generic,heldout,7,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,8,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,8,f1,-0.8800000000000001,-1.0,-0.6799999999999999,0.0,10
depth_minus_direct,generic,heldout,8,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,9,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,9,f1,-0.8400000000000001,-1.0,-0.62,0.0,10
depth_minus_direct,generic,heldout,9,judge_correct,-1.0,-1.0,-1.0,0.0,10
depth_minus_direct,generic,heldout,10,em,-0.8,-1.0,-0.5,0.0,10
depth_minus_direct,generic,heldout,10,f1,-0.8400000000000001,-1.0,-0.62,0.0,10
depth_minus_direct,generic,heldout,10,judge_correct,-1.0,-1.0,-1.0,0.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,1,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,1,f1,0.039473684210526314,-0.031578947368421054,0.15,0.605,10
conditioned_minus_generic,conditioned_minus_generic,heldout,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,2,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,2,f1,0.04,0.0,0.12000000000000002,0.6148,10
conditioned_minus_generic,conditioned_minus_generic,heldout,2,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,3,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,3,f1,0.04,0.0,0.12000000000000002,0.6148,10
conditioned_minus_generic,conditioned_minus_generic,heldout,3,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,4,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,4,f1,0.04,0.0,0.12000000000000002,0.6148,10
conditioned_minus_generic,conditioned_minus_generic,heldout,4,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,5,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,5,f1,0.02,-0.06000000000000001,0.12000000000000002,0.835,10
conditioned_minus_generic,conditioned_minus_generic,heldout,5,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,6,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,6,f1,0.08,0.0,0.2,0.2321,10
conditioned_minus_generic,conditioned_minus_generic,heldout,6,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,7,em,0.1,0.0,0.3,0.618,10
conditioned_minus_generic,conditioned_minus_generic,heldout,7,f1,0.1,0.0,0.3,0.618,10
conditioned_minus_generic,conditioned_minus_generic,heldout,7,judge_correct,0.1,0.0,0.3,0.618,10
conditioned_minus_generic,conditioned_minus_generic,heldout,8,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,8,f1,0.09,0.0,0.22000000000000003,0.1998,10
conditioned_minus_generic,conditioned_minus_generic,heldout,8,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,conditioned_minus_generic,heldout,9,em,0.1,0.0,0.3,0.618,10
conditioned_minus_generic,conditioned_minus_generic,heldout,9,f1,0.16,0.0,0.38,0.0986,10
conditioned_minus_generic,conditioned_minus_generic,heldout,9,judge_correct,0.2,0.0,0.5,0.2333,10
conditioned_minus_generic,conditioned_minus_generic,heldout,10,em,0.1,0.0,0.3,0.618,10
conditioned_minus_generic,conditioned_minus_generic,heldout,10,f1,0.11000000000000001,0.0,0.31,0.2248,10
conditioned_minus_generic,conditioned_minus_generic,heldout,10,judge_correct,0.1,0.0,0.3,0.618,10
