baseline,metric,mean,lo,hi,n_contexts,n_answers
direct_context,em,0.84375,0.796875,0.88671875,16,256
direct_context,f1,0.9255208333333333,0.9035123697916666,0.9462272135416667,16,256
direct_context,judge_correct,0.9921875,0.9765625,1.0,16,256
closed_book,em,0.0,0.0,0.0,16,768
closed_book,f1,0.011613343253968253,0.005536954365079365,0.018272569444444442,16,768
closed_book,judge_correct,0.0,0.0,0.0,16,768
