dataset,context_variant,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,em_f1_disagree,documents_mean,context_characters_mean,handoff_characters_mean,chain_tokens_mean,answer_tokens_mean,judge_correct,judge_correct_lo,judge_correct_hi,f1_delta_from_depth0,em_delta_from_depth0,judge_correct_delta_from_depth0
hotpotqa,short,9,30,0.5333,0.3667,0.7,0.7196,0.5991,0.8317,0.2,2.0,796.6,377.8,3111.3,197.4,0.9333,0.85,1.0,-0.0633,-0.1,0.0
hotpotqa,short,10,30,0.5333,0.3667,0.7,0.7196,0.5991,0.8317,0.2,2.0,796.6,376.8,3440.9,197.1,0.9333,0.85,1.0,-0.0633,-0.1,0.0
musique,full,0,30,0.4,0.2333,0.5667,0.4281,0.2615,0.6,0.0,20.0,9815.2,9815.2,0.0,2595.7,0.5333,0.3667,0.7,0.0,0.0,0.0
musique,full,1,30,0.5167,0.35,0.6833,0.5863,0.4354,0.7319,0.0667,20.0,9815.2,1075.4,2869.3,357.8,0.6833,0.5333,0.8333,0.1582,0.1167,0.15
musique,full,2,30,0.55,0.4,0.7,0.5874,0.4409,0.7294,0.0,20.0,9815.2,788.5,3454.8,291.8,0.6833,0.5333,0.8167,0.1593,0.15,0.15
musique,full,3,30,0.5167,0.35,0.6833,0.5572,0.4007,0.7065,0.0,20.0,9815.2,679.6,3950.2,267.9,0.6667,0.5167,0.8,0.1291,0.1167,0.1333
musique,full,4,30,0.5667,0.4167,0.7167,0.6037,0.462,0.7398,0.0,20.0,9815.2,650.3,4413.1,259.6,0.7,0.5667,0.8333,0.1756,0.1667,0.1667
musique,full,5,30,0.5333,0.3833,0.6833,0.5844,0.4398,0.7251,0.0,20.0,9815.2,629.6,4862.9,254.6,0.6833,0.5333,0.8167,0.1562,0.1333,0.15
musique,full,6,30,0.55,0.4,0.7,0.6005,0.4616,0.7368,0.0,20.0,9815.2,615.2,5304.1,250.9,0.7,0.5667,0.8333,0.1723,0.15,0.1667
musique,full,7,30,0.55,0.4,0.7,0.6138,0.474,0.7506,0.0,20.0,9815.2,597.6,5737.3,246.3,0.7167,0.5667,0.85,0.1857,0.15,0.1833
musique,full,8,30,0.55,0.4,0.7,0.6215,0.4831,0.7565,0.0333,20.0,9815.2,593.5,6165.2,245.2,0.7167,0.5667,0.85,0.1933,0.15,0.1833
musique,full,9,30,0.5667,0.4167,0.7167,0.627,0.4869,0.7637,0.0333,20.0,9815.2,587.1,6590.2,242.9,0.7167,0.5667,0.85,0.1989,0.1667,0.1833
musique,full,10,30,0.55,0.4,0.7,0.6104,0.465,0.7507,0.0333,20.0,9815.2,577.8,7011.3,241.5,0.7,0.55,0.8333,0.1822,0.15,0.1667
musique,medium,0,30,0.7,0.5333,0.8667,0.7448,0.5915,0.8815,0.0333,5.0,2382.2,2382.2,0.0,704.8,0.8,0.6667,0.9333,0.0,0.0,0.0
musique,medium,1,30,0.65,0.4667,0.8167,0.6973,0.5389,0.8428,0.0,5.0,2382.2,764.9,905.7,284.0,0.8167,0.6667,0.9333,-0.0475,-0.05,0.0167
musique,medium,2,30,0.6167,0.45,0.7833,0.6714,0.5138,0.8178,0.0,5.0,2382.2,608.2,1372.2,247.4,0.8333,0.7167,0.9333,-0.0734,-0.0833,0.0333
musique,medium,3,30,0.6167,0.45,0.7833,0.665,0.5061,0.8123,0.0,5.0,2382.2,591.0,1799.2,245.3,0.8,0.6667,0.9167,-0.0799,-0.0833,0.0
musique,medium,4,30,0.6167,0.45,0.7833,0.6631,0.5028,0.812,0.0,5.0,2382.2,577.0,2219.2,240.5,0.8,0.6667,0.9167,-0.0818,-0.0833,0.0
musique,medium,5,30,0.6167,0.45,0.7833,0.6703,0.5111,0.8166,0.0,5.0,2382.2,576.7,2635.5,240.7,0.8,0.6667,0.9167,-0.0746,-0.0833,0.0
musique,medium,6,30,0.6,0.4333,0.7667,0.6558,0.4937,0.8036,0.0,5.0,2382.2,574.6,3050.5,239.7,0.8,0.6667,0.9167,-0.089,-0.1,0.0
