dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
hotpotqa,short,4,f1,-0.03775515334338864,-0.11313939165409752,0.03224484665661136,0.3091,30
hotpotqa,short,4,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,5,em,-0.06666666666666667,-0.21666666666666667,0.08333333333333333,0.441,30
hotpotqa,short,5,f1,-0.0529400991165697,-0.14380083315377426,0.028174603174603175,0.2331,30
hotpotqa,short,5,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,6,em,-0.06666666666666667,-0.2,0.06666666666666667,0.3959,30
hotpotqa,short,6,f1,-0.040313150901386194,-0.11792521367521365,0.03198843640020112,0.2924,30
hotpotqa,short,6,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,7,em,-0.11666666666666667,-0.26666666666666666,0.0,0.1092,30
hotpotqa,short,7,f1,-0.0648210874093227,-0.15030912159735688,0.010544566544566543,0.1142,30
hotpotqa,short,7,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,8,em,-0.13333333333333333,-0.3,0.0,0.1239,30
hotpotqa,short,8,f1,-0.07737937969175293,-0.1653447409025502,-0.0005555555555555536,0.0664,30
hotpotqa,short,8,judge_correct,-0.016666666666666666,-0.05,0.0,0.6244,30
hotpotqa,short,9,em,-0.1,-0.25,0.05,0.2187,30
hotpotqa,short,9,f1,-0.06332020557510754,-0.15436372269705603,0.018645606390704433,0.1496,30
hotpotqa,short,9,judge_correct,0.0,-0.05,0.05,1.0,30
hotpotqa,short,10,em,-0.1,-0.25,0.05,0.2187,30
hotpotqa,short,10,f1,-0.06332020557510754,-0.15436372269705603,0.018645606390704433,0.1496,30
hotpotqa,short,10,judge_correct,0.0,-0.05,0.05,1.0,30
musique,full,1,em,0.11666666666666667,-0.03333333333333333,0.26666666666666666,0.1394,30
musique,full,1,f1,0.15815359477124183,0.038529411764705875,0.28888888888888886,0.012,30
musique,full,1,judge_correct,0.15,0.0,0.3,0.073,30
musique,full,2,em,0.15,0.03333333333333333,0.26666666666666666,0.0123,30
musique,full,2,f1,0.15925925925925927,0.053148148148148146,0.2753842592592591,0.0042,30
musique,full,2,judge_correct,0.15,0.0,0.3,0.057,30
musique,full,3,em,0.11666666666666667,0.016666666666666666,0.23333333333333334,0.0504,30
musique,full,3,f1,0.12906432748538013,0.030175438596491223,0.24424488304093556,0.0162,30
musique,full,3,judge_correct,0.13333333333333333,-0.016666666666666666,0.2833333333333333,0.0914,30
musique,full,4,em,0.16666666666666666,0.05,0.2833333333333333,0.0066,30
musique,full,4,f1,0.17555555555555555,0.06666666666666665,0.2922361111111109,0.0021,30
musique,full,4,judge_correct,0.16666666666666666,0.016666666666666666,0.31666666666666665,0.0375,30
musique,full,5,em,0.13333333333333333,0.016666666666666666,0.26666666666666666,0.0434,30
musique,full,5,f1,0.15620915032679736,0.04705637254901962,0.2729738562091503,0.0052,30
musique,full,5,judge_correct,0.15,0.0,0.3,0.057,30
musique,full,6,em,0.15,0.03333333333333333,0.2833333333333333,0.0219,30
musique,full,6,f1,0.17232026143790852,0.06166666666666666,0.2922222222222222,0.0026,30
musique,full,6,judge_correct,0.16666666666666666,0.016666666666666666,0.31666666666666665,0.0375,30
musique,full,7,em,0.15,0.03333333333333333,0.2833333333333333,0.0219,30
musique,full,7,f1,0.18565359477124183,0.0673202614379085,0.3138888888888889,0.0028,30
musique,full,7,judge_correct,0.18333333333333332,0.03333333333333333,0.35,0.0313,30
musique,full,8,em,0.15,0.03333333333333333,0.2833333333333333,0.0228,30
musique,full,8,f1,0.19333333333333333,0.0716527777777779,0.325,0.0022,30
musique,full,8,judge_correct,0.18333333333333332,0.03333333333333333,0.35,0.0313,30
musique,full,9,em,0.16666666666666666,0.05,0.2833333333333333,0.0066,30
musique,full,9,f1,0.1988888888888889,0.07944444444444444,0.3289027777777776,0.0018,30
musique,full,9,judge_correct,0.18333333333333332,0.03333333333333333,0.35,0.0313,30
musique,full,10,em,0.15,0.05,0.26666666666666666,0.0128,30
musique,full,10,f1,0.18222222222222223,0.06444444444444444,0.31222222222222223,0.0037,30
musique,full,10,judge_correct,0.16666666666666666,0.016666666666666666,0.31666666666666665,0.0469,30
musique,medium,1,em,-0.05,-0.16666666666666666,0.06666666666666667,0.4809,30
musique,medium,1,f1,-0.04753251579338536,-0.16209401709401708,0.0647916666666666,0.3877,30
musique,medium,1,judge_correct,0.016666666666666666,-0.1,0.13333333333333333,0.9049,30
musique,medium,2,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.23,30
musique,medium,2,f1,-0.07342995169082125,-0.19444444444444445,0.029347826086956522,0.1975,30
musique,medium,2,judge_correct,0.03333333333333333,-0.06666666666666667,0.15,0.6574,30
musique,medium,3,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.23,30
musique,medium,3,f1,-0.07985500162919518,-0.19986620234604097,0.02260557184750725,0.1596,30
musique,medium,3,judge_correct,0.0,-0.11666666666666667,0.11666666666666667,1.0,30
musique,medium,4,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.23,30
musique,medium,4,f1,-0.08176328502415459,-0.20621014492753617,0.024057971014492748,0.163,30
musique,medium,4,judge_correct,0.0,-0.11666666666666667,0.11666666666666667,1.0,30
musique,medium,5,em,-0.08333333333333333,-0.21666666666666667,0.03333333333333333,0.23,30
musique,medium,5,f1,-0.07455197132616487,-0.20177419354838708,0.036009408602150454,0.215,30
musique,medium,5,judge_correct,0.0,-0.11666666666666667,0.11666666666666667,1.0,30
musique,medium,6,em,-0.1,-0.23333333333333334,0.016666666666666666,0.1501,30
musique,medium,6,f1,-0.08897274548378113,-0.21500741436925644,0.017674266310938568,0.136,30
musique,medium,6,judge_correct,0.0,-0.13333333333333333,0.15,1.0,30
musique,medium,7,em,-0.06666666666666667,-0.18333333333333332,0.03333333333333333,0.2987,30
musique,medium,7,f1,-0.07344086021505376,-0.19010752688172042,0.023225806451612905,0.1738,30
musique,medium,7,judge_correct,0.0,-0.11666666666666667,0.11666666666666667,1.0,30
musique,medium,8,em,-0.08333333333333333,-0.2,0.016666666666666666,0.1956,30
musique,medium,8,f1,-0.07239044004698654,-0.18738690476190473,0.02502304147465438,0.1769,30
musique,medium,8,judge_correct,0.05,-0.06666666666666667,0.18333333333333332,0.5156,30
musique,medium,9,em,-0.1,-0.21666666666666667,0.0,0.0907,30
