comparison,slots,endpoint,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,4,immediate,em,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,1
conditioned_minus_generic,4,immediate,f1,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,1
conditioned_minus_generic,4,reusable,em,-0.06666666666666665,-0.06666666666666665,-0.06666666666666665,0.0,1
conditioned_minus_generic,4,reusable,f1,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,1
conditioned_minus_generic,4,support,announced_card_selected,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,1
conditioned_minus_generic,4,support,hidden_card_selection_rate,-0.06666666666666665,-0.06666666666666665,-0.06666666666666665,0.0,1
conditioned_minus_generic,4,channel,selection_valid,0.0,0.0,0.0,1.0,1
conditioned_minus_generic,4,channel,handoff_characters,2.6666666666666856,2.6666666666666856,2.6666666666666856,0.0,1
conditioned_minus_generic,4,channel,handoff_words,0.0,0.0,0.0,1.0,1
conditioned_minus_generic,4,channel,handoff_estimated_tokens,0.6666666666666714,0.6666666666666714,0.6666666666666714,0.0,1
specialization_interaction,4,immediate_minus_reusable,em,0.4,0.4,0.4,0.0,1
specialization_interaction,4,immediate_minus_reusable,f1,0.3833333333333334,0.3833333333333334,0.3833333333333334,0.0,1
