scope,family,arm,n_dossiers,n_observations,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi,a_present_stage1,a_present_stage1_lo,a_present_stage1_hi,b_present_stage1_base,b_present_stage1_base_lo,b_present_stage1_base_hi,b_present_relay_input,b_present_relay_input_lo,b_present_relay_input_hi,b_present_stage2,b_present_stage2_lo,b_present_stage2_hi,stage1_compliant,stage1_compliant_lo,stage1_compliant_hi,stage2_compliant,stage2_compliant_lo,stage2_compliant_hi,overall_compliant,overall_compliant_lo,overall_compliant_hi
compliant,llama,llama_sl_sham,20,80,0.35,0.275,0.425,0.382083,0.294583,0.4675,0.3625,0.2875,0.4375,0.9875,0.9625,1.0,0.3625,0.2875,0.4375,0.3625,0.2875,0.4375,0.35,0.275,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,llama,llama_ss,20,80,0.2875,0.2125,0.3625,0.324405,0.244643,0.402083,0.3,0.225,0.375,0.9875,0.9625,1.0,0.3625,0.2875,0.4375,0.3625,0.2875,0.4375,0.3,0.225,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,qwen,qwen_ll,20,66,0.408333,0.312396,0.5125,0.455417,0.35375,0.558333,0.4375,0.341667,0.5375,1.0,1.0,1.0,0.4375,0.345833,0.5375,0.4375,0.345833,0.5375,0.4375,0.341667,0.5375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,qwen,qwen_ls,20,73,0.358333,0.274896,0.445833,0.408611,0.314167,0.504306,0.3875,0.295833,0.4875,1.0,1.0,1.0,0.4,0.308333,0.5,0.4,0.3125,0.5,0.3875,0.3,0.4875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,qwen,qwen_sl,20,65,0.475,0.358333,0.591667,0.49625,0.385,0.60625,0.491667,0.383333,0.6,1.0,1.0,1.0,0.491667,0.383333,0.6,0.491667,0.383333,0.6,0.491667,0.383333,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,qwen,qwen_sl_reopen,20,79,0.8875,0.825,0.95,0.94625,0.912917,0.976667,0.9875,0.9625,1.0,1.0,1.0,1.0,0.408333,0.320833,0.4875,1.0,1.0,1.0,0.9875,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,qwen,qwen_sl_restore,20,79,0.9,0.8375,0.9625,0.95875,0.930833,0.983333,1.0,1.0,1.0,1.0,1.0,1.0,0.408333,0.320833,0.4875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,qwen,qwen_sl_sham,20,67,0.483333,0.358333,0.6125,0.49875,0.378333,0.621667,0.5,0.383333,0.616667,1.0,1.0,1.0,0.483333,0.375,0.591667,0.483333,0.375,0.595833,0.483333,0.370833,0.591667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
compliant,qwen,qwen_ss,20,73,0.429167,0.316667,0.541667,0.446667,0.337073,0.552917,0.441667,0.3375,0.55,1.0,1.0,1.0,0.454167,0.35,0.558333,0.454167,0.345833,0.558333,0.441667,0.333333,0.545833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qa_eligible,llama,llama_ll,20,80,0.3375,0.25,0.425,0.393333,0.311667,0.481667,0.3875,0.3125,0.4625,1.0,1.0,1.0,0.3875,0.3125,0.4625,0.3875,0.3125,0.4625,0.3875,0.3125,0.4625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
