scope,population,comparison,treatment,control,measure,delta,lo,hi,p_value,n_dossiers,n_paired_observations,equivalence_margin,equivalent_within_margin,family
itt,all,llama:large_first_order,llama_ls,llama_sl,f1,-0.027679,-0.115179,0.063772,0.576942,20,80,0.05,0,llama
itt,all,llama:large_first_order,llama_ls,llama_sl,judge_correct,-0.0125,-0.100312,0.0875,1.0,20,80,0.05,0,llama
itt,all,llama:large_first_order,llama_ls,llama_sl,b_present_stage2,-0.0125,-0.1125,0.0875,1.0,20,80,0.05,0,llama
compliant,all,llama:large_first_order,llama_ls,llama_sl,f1,-0.027679,-0.116429,0.067147,0.571243,20,80,0.05,0,llama
compliant,all,llama:large_first_order,llama_ls,llama_sl,judge_correct,-0.0125,-0.1,0.0875,1.0,20,80,0.05,0,llama
compliant,all,llama:large_first_order,llama_ls,llama_sl,b_present_stage2,-0.0125,-0.1125,0.0875,1.0,20,80,0.05,0,llama
qa_eligible,all,llama:large_first_order,llama_ls,llama_sl,f1,-0.027679,-0.117857,0.06625,0.564344,20,80,0.05,0,llama
qa_eligible,all,llama:large_first_order,llama_ls,llama_sl,judge_correct,-0.0125,-0.1,0.0875,1.0,20,80,0.05,0,llama
qa_eligible,all,llama:large_first_order,llama_ls,llama_sl,b_present_stage2,-0.0125,-0.1,0.0875,1.0,20,80,0.05,0,llama
itt,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,f1,0.879167,0.815,0.9375,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,judge_correct,0.983333,0.95,1.0,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,f1,0.879167,0.816667,0.9375,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,judge_correct,0.983333,0.95,1.0,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,f1,0.879167,0.815833,0.9375,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,judge_correct,0.983333,0.95,1.0,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:restore_vs_sham,llama_sl_restore,llama_sl_sham,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,f1,0.895833,0.835833,0.95,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,judge_correct,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,f1,0.895833,0.836667,0.949167,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,judge_correct,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
