kind,measure,n_dossiers,n_questions,mean,lo,hi
direct_cards,em,20,80,0.9,0.8375,0.9625
direct_cards,f1,20,80,0.9587499999999999,0.9312500000000001,0.9833333333333332
direct_cards,judge_correct,20,80,1.0,1.0,1.0
closed_book,em,20,80,0.0,0.0,0.0
closed_book,f1,20,80,0.0,0.0,0.0
closed_book,judge_correct,20,80,0.0,0.0,0.0
