comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,generic,target,10,f1,-0.36444444444444446,-0.5794583333333332,-0.14998611111111132,0.0009,20
depth_minus_direct,generic,target,10,judge_correct,-0.4,-0.6,-0.2,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,target,1,em,0.3,0.1,0.5,0.0053,20
conditioned_minus_generic,conditioned_minus_generic,target,1,f1,0.29464646464646466,0.12469696969696968,0.47570707070707063,0.0009,20
conditioned_minus_generic,conditioned_minus_generic,target,1,judge_correct,0.4,0.2,0.6,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,target,2,em,0.2,0.0,0.4,0.1209,20
conditioned_minus_generic,conditioned_minus_generic,target,2,f1,0.21769841269841267,0.03333333333333333,0.41666666666666663,0.0252,20
conditioned_minus_generic,conditioned_minus_generic,target,2,judge_correct,0.35,0.15,0.55,0.0013,20
conditioned_minus_generic,conditioned_minus_generic,target,3,em,0.05,-0.15,0.25,0.8204,20
conditioned_minus_generic,conditioned_minus_generic,target,3,f1,0.09139804639804641,-0.11057814407814398,0.3029107142857142,0.3948,20
conditioned_minus_generic,conditioned_minus_generic,target,3,judge_correct,0.15,-0.05,0.35,0.2351,20
conditioned_minus_generic,conditioned_minus_generic,target,4,em,-0.05,-0.3,0.2,0.8521,20
conditioned_minus_generic,conditioned_minus_generic,target,4,f1,0.03367077367077367,-0.20277777777777778,0.26827633477633467,0.7852,20
conditioned_minus_generic,conditioned_minus_generic,target,4,judge_correct,0.1,-0.15,0.35,0.5327,20
conditioned_minus_generic,conditioned_minus_generic,target,5,em,-0.05,-0.2,0.1,0.7637,20
conditioned_minus_generic,conditioned_minus_generic,target,5,f1,0.02368273539326171,-0.15614709851551956,0.20810968344520975,0.8014,20
conditioned_minus_generic,conditioned_minus_generic,target,5,judge_correct,0.15,-0.05,0.35,0.2349,20
conditioned_minus_generic,conditioned_minus_generic,target,6,em,0.0,-0.2,0.2,1.0,20
conditioned_minus_generic,conditioned_minus_generic,target,6,f1,0.01224220224220226,-0.16226086413586405,0.18644855144855146,0.8926,20
conditioned_minus_generic,conditioned_minus_generic,target,6,judge_correct,0.05,-0.15,0.25,0.8245,20
conditioned_minus_generic,conditioned_minus_generic,target,7,em,0.0,-0.15,0.15,1.0,20
conditioned_minus_generic,conditioned_minus_generic,target,7,f1,0.0831837606837607,-0.05153846153846153,0.2400805860805861,0.2694,20
conditioned_minus_generic,conditioned_minus_generic,target,7,judge_correct,0.1,-0.1,0.3,0.4381,20
conditioned_minus_generic,conditioned_minus_generic,target,8,em,-0.15,-0.35,0.05,0.2389,20
conditioned_minus_generic,conditioned_minus_generic,target,8,f1,-0.07756105006105005,-0.29962156593406586,0.14482905982905983,0.4985,20
conditioned_minus_generic,conditioned_minus_generic,target,8,judge_correct,-0.1,-0.35,0.15,0.5325,20
conditioned_minus_generic,conditioned_minus_generic,target,9,em,-0.15,-0.4,0.1,0.3249,20
conditioned_minus_generic,conditioned_minus_generic,target,9,f1,-0.12035714285714286,-0.3392857142857143,0.10107142857142856,0.285,20
conditioned_minus_generic,conditioned_minus_generic,target,9,judge_correct,-0.05,-0.25,0.15,0.8216,20
