condition,signal_ratio,depth,n,available_em,available_em_lo,available_em_hi,overall_em,available_f1,available_f1_lo,available_f1_hi,overall_f1,available_bertscore_f1,available_bertscore_f1_lo,available_bertscore_f1_hi,overall_bertscore_f1
signal_1_0,1.0,0,2,0.6,0.6,0.6,0.6,0.8657,0.8572,0.8742,0.8657,0.7391,0.7083,0.7699,0.7391
signal_1_0,1.0,1,2,0.6,0.6,0.6,0.6,0.7384,0.6667,0.8101,0.7384,0.6818,0.644,0.7196,0.6818
signal_1_0,1.0,3,2,0.25,0.0,0.5,0.25,0.5038,0.289,0.7186,0.5038,0.4974,0.3366,0.6582,0.4974
signal_1_0,1.0,5,2,0.2,0.0,0.4,0.2,0.4264,0.1841,0.6686,0.4264,0.4524,0.2884,0.6163,0.4524
signal_0_5,0.5,0,2,0.3,0.2,0.4,0.15,0.6483,0.5576,0.739,0.3473,0.5484,0.4926,0.6041,0.3834
signal_0_5,0.5,1,2,0.4,0.2,0.6,0.2,0.5934,0.3,0.8869,0.2967,0.5014,0.2918,0.711,0.3885
signal_0_5,0.5,3,2,0.2,0.0,0.4,0.15,0.3938,0.0619,0.7257,0.3714,0.3917,0.1943,0.5892,0.4602
signal_0_5,0.5,5,2,0.4,0.0,0.8,0.2,0.5303,0.1272,0.9333,0.338,0.4863,0.1623,0.8102,0.3881
signal_0_1,0.1,0,2,0.5,0.0,1.0,0.05,0.9667,0.9333,1.0,0.1383,0.7803,0.6619,0.8988,0.2607
signal_0_1,0.1,1,2,0.5,0.0,1.0,0.15,0.9444,0.8889,1.0,0.2944,0.8455,0.6909,1.0,0.3755
signal_0_1,0.1,3,2,0.0,0.0,0.0,0.0,0.6136,0.5,0.7273,0.1714,0.7116,0.6227,0.8004,0.2981
signal_0_1,0.1,5,2,0.0,0.0,0.0,0.0,0.5441,0.5,0.5882,0.146,0.6063,0.4459,0.7667,0.2566
