baseline,metric,n_dossiers,n_fact_sample_rows,mean,lo,hi
direct_source,em,20,120,0.8583333333333334,0.8083333333333332,0.9083333333333334
direct_source,f1,20,120,0.9207341269841269,0.8830357142857143,0.9551810515873014
direct_source,judge_correct,20,120,0.9916666666666666,0.975,1.0
direct_cards,em,20,120,0.8416666666666666,0.7749999999999999,0.9083333333333334
direct_cards,f1,20,120,0.9105952380952381,0.8598005952380953,0.9541666666666666
direct_cards,judge_correct,20,120,1.0,1.0,1.0
closed_book,em,20,360,0.0,0.0,0.0
closed_book,f1,20,360,0.0003703703703703704,0.0,0.0011111111111111111
closed_book,judge_correct,20,360,0.0,0.0,0.0
