mode,slots,endpoint,metric,n_dossiers,n_rotations,mean,lo,hi
generic,2,immediate,em,20,120,0.32499999999999996,0.2666666666666666,0.3833333333333333
conditioned,2,immediate,em,20,120,0.8583333333333334,0.7999999999999999,0.9166666666666666
generic,2,immediate,f1,20,120,0.353611111111111,0.30777777777777776,0.39888888888888885
conditioned,2,immediate,f1,20,120,0.9058333333333334,0.8574999999999999,0.9497222222222221
generic,2,immediate,judge_correct,20,120,0.3749999999999999,0.3499999999999999,0.4083333333333333
conditioned,2,immediate,judge_correct,20,120,0.9833333333333334,0.9583333333333334,1.0
generic,2,reusable,em,20,120,0.32499999999999996,0.2666666666666666,0.3833333333333333
conditioned,2,reusable,em,20,120,0.20833333333333334,0.18666666666666668,0.23333333333333334
generic,2,reusable,f1,20,120,0.353611111111111,0.30777777777777776,0.39888888888888885
conditioned,2,reusable,f1,20,120,0.22932804232804233,0.20722982804232806,0.25484153439153434
generic,2,reusable,judge_correct,20,120,0.3749999999999999,0.3499999999999999,0.4083333333333333
conditioned,2,reusable,judge_correct,20,120,0.22833333333333336,0.21000000000000002,0.24999999999999994
generic,2,support,announced_card_selected,20,120,0.33333333333333326,0.33333333333333326,0.33333333333333326
conditioned,2,support,announced_card_selected,20,120,0.9833333333333334,0.9583333333333334,1.0
generic,2,support,hidden_card_selection_rate,20,120,0.3333333333333333,0.33333333333333326,0.3333333333333333
conditioned,2,support,hidden_card_selection_rate,20,120,0.20333333333333337,0.2,0.20833333333333334
generic,2,channel,selection_valid,20,120,1.0,1.0,1.0
conditioned,2,channel,selection_valid,20,120,1.0,1.0,1.0
generic,2,channel,handoff_characters,20,120,216.55,188.09875,246.50124999999997
conditioned,2,channel,handoff_characters,20,120,231.54166666666666,213.6166666666667,250.76729166666664
generic,2,channel,handoff_words,20,120,39.5,34.94875000000001,44.35
conditioned,2,channel,handoff_words,20,120,41.56666666666667,38.97500000000001,44.27520833333334
generic,2,channel,handoff_estimated_tokens,20,120,58.0,50.3,66.05
conditioned,2,channel,handoff_estimated_tokens,20,120,62.025,57.199791666666655,67.23333333333332
generic,4,immediate,em,20,120,0.55,0.4999999999999999,0.5999999999999999
conditioned,4,immediate,em,20,120,0.85,0.7916666666666667,0.9083333333333332
generic,4,immediate,f1,20,120,0.6238888888888888,0.5858333333333332,0.6608333333333333
conditioned,4,immediate,f1,20,120,0.9152777777777779,0.8716666666666667,0.9544444444444442
generic,4,immediate,judge_correct,20,120,0.6749999999999998,0.6666666666666665,0.6916666666666667
