condition,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,bertscore_f1,bertscore_f1_lo,bertscore_f1_hi
good,0,2,0.0,0.0,0.0,0.2788,0.2545,0.303,0.2266,0.169,0.2842
good,1,2,0.0,0.0,0.0,0.3067,0.1923,0.4211,0.1369,0.076,0.1978
good,3,2,0.0,0.0,0.0,0.2626,0.2222,0.303,0.1461,0.1308,0.1614
good,5,2,0.0,0.0,0.0,0.2028,0.1026,0.303,0.1853,0.1614,0.2091
medium,0,2,0.0,0.0,0.0,0.1934,0.1176,0.2692,0.1368,-0.0483,0.322
medium,1,2,0.0,0.0,0.0,0.1381,0.1224,0.1538,0.0401,-0.0129,0.0931
medium,3,2,0.0,0.0,0.0,0.098,0.0784,0.1176,-0.0733,-0.185,0.0384
medium,5,2,0.0,0.0,0.0,0.0392,0.0,0.0784,-0.1107,-0.185,-0.0364
bad,0,2,0.0,0.0,0.0,0.1181,0.1111,0.125,0.0656,0.0481,0.083
bad,1,2,0.0,0.0,0.0,0.0545,0.0,0.1091,-0.0809,-0.0862,-0.0755
bad,3,2,0.0,0.0,0.0,0.219,0.1154,0.3226,0.0363,-0.1036,0.1762
bad,5,2,0.0,0.0,0.0,0.0577,0.0,0.1154,-0.0639,-0.1036,-0.0241
