comparison,condition,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,good,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,good,1,f1,0.027892283155441067,-0.06223776223776223,0.11802232854864436,0.5002,2
depth_minus_depth0,good,1,bertscore_f1,-0.0896535,-0.09299,-0.086317,0.0,2
depth_minus_depth0,good,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,good,3,f1,-0.016161616161616155,-0.03232323232323231,0.0,0.5002,2
depth_minus_depth0,good,3,bertscore_f1,-0.08045000000000001,-0.122758,-0.03814200000000001,0.0,2
depth_minus_depth0,good,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,good,5,f1,-0.07599067599067598,-0.15198135198135196,0.0,0.5002,2
depth_minus_depth0,good,5,bertscore_f1,-0.0413115,-0.122758,0.040135000000000004,0.5002,2
depth_minus_depth0,medium,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,medium,1,f1,-0.05529134730815405,-0.1467817896389325,0.03619909502262442,0.5002,2
depth_minus_depth0,medium,1,bertscore_f1,-0.096772,-0.22888399999999998,0.035339999999999996,0.5002,2
depth_minus_depth0,medium,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,medium,3,f1,-0.09539969834087479,-0.15158371040723978,-0.0392156862745098,0.0,2
depth_minus_depth0,medium,3,bertscore_f1,-0.21018149999999997,-0.28361899999999995,-0.136744,0.0,2
depth_minus_depth0,medium,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,medium,5,f1,-0.15422322775263952,-0.2692307692307692,-0.0392156862745098,0.0,2
depth_minus_depth0,medium,5,bertscore_f1,-0.2475815,-0.358419,-0.136744,0.0,2
depth_minus_depth0,bad,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,bad,1,f1,-0.06351010101010102,-0.12500000000000003,-0.0020202020202020055,0.0,2
depth_minus_depth0,bad,1,bertscore_f1,-0.1464505,-0.169223,-0.123678,0.0,2
depth_minus_depth0,bad,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,bad,3,f1,0.10092707471739729,0.004273504273504286,0.19758064516129029,0.0,2
depth_minus_depth0,bad,3,bertscore_f1,-0.0293075,-0.151746,0.09313099999999999,0.5002,2
depth_minus_depth0,bad,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,bad,5,f1,-0.06036324786324787,-0.12500000000000003,0.004273504273504286,0.5002,2
depth_minus_depth0,bad,5,bertscore_f1,-0.129461,-0.151746,-0.10717600000000001,0.0,2
good_minus_bad,good_minus_bad,0,em,0.0,0.0,0.0,1.0,2
good_minus_bad,good_minus_bad,0,f1,0.16073232323232323,0.14343434343434341,0.178030303030303,0.0,2
good_minus_bad,good_minus_bad,0,bertscore_f1,0.1609805,0.120851,0.20111,0.0,2
good_minus_bad,good_minus_bad,1,em,0.0,0.0,0.0,1.0,2
good_minus_bad,good_minus_bad,1,f1,0.2521347073978653,0.08321678321678319,0.4210526315789474,0.0,2
good_minus_bad,good_minus_bad,1,bertscore_f1,0.2177775,0.15153899999999998,0.28401600000000005,0.0,2
good_minus_bad,good_minus_bad,3,em,0.0,0.0,0.0,1.0,2
good_minus_bad,good_minus_bad,3,f1,0.04364363235330977,-0.019550342130987275,0.10683760683760682,0.4934,2
good_minus_bad,good_minus_bad,3,bertscore_f1,0.109838,-0.014778999999999987,0.234455,0.4934,2
good_minus_bad,good_minus_bad,5,em,0.0,0.0,0.0,1.0,2
good_minus_bad,good_minus_bad,5,f1,0.1451048951048951,-0.01282051282051283,0.30303030303030304,0.4934,2
good_minus_bad,good_minus_bad,5,bertscore_f1,0.24913000000000002,0.18552800000000003,0.312732,0.0,2
