comparison,kind,treatment,control,from_depth,query_type,answerer_role,depth,metric,delta,lo,hi,p_value,n
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,1,em,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,2,em,-0.058823529411764705,-0.23529411764705882,0.11764705882352941,0.7626,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,3,em,0.0,-0.17647058823529413,0.17647058823529413,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,4,em,-0.058823529411764705,-0.17647058823529413,0.0,0.6228,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,5,em,-0.058823529411764705,-0.23529411764705882,0.11764705882352941,0.7548,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,6,em,-0.058823529411764705,-0.17647058823529413,0.0,0.616,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,1,f1,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,2,f1,-0.04971988795518206,-0.20588235294117646,0.07703081232492999,0.512,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,3,f1,-0.02521008403361344,-0.17226890756302524,0.08823529411764706,0.7187,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,4,f1,-0.022536287242169592,-0.08581614463967405,0.019607843137254898,0.4496,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,5,f1,-0.0546218487394958,-0.2507352941176467,0.11764705882352941,0.5633,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,6,f1,-0.02521008403361344,-0.18207282913165265,0.10644257703081234,0.7341,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,1,judge_correct,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,2,judge_correct,-0.058823529411764705,-0.23529411764705882,0.11764705882352941,0.7645,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,3,judge_correct,-0.17647058823529413,-0.35294117647058826,0.0,0.1012,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,4,judge_correct,-0.11764705882352941,-0.29411764705882354,0.0,0.2481,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,5,judge_correct,-0.17647058823529413,-0.35294117647058826,0.0,0.0971,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,6,judge_correct,-0.17647058823529413,-0.35294117647058826,0.0,0.0966,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,1,em,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,2,em,-0.11764705882352941,-0.29411764705882354,0.0,0.2482,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,3,em,0.11764705882352941,0.0,0.29411764705882354,0.2502,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,4,em,0.11764705882352941,0.0,0.29411764705882354,0.2454,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,5,em,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,6,em,0.11764705882352941,0.0,0.29411764705882354,0.2598,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,1,f1,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,2,f1,-0.07843137254901962,-0.21568627450980393,0.0,0.2378,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,3,f1,0.07843137254901962,0.0,0.21568627450980393,0.2437,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,4,f1,0.08823529411764706,0.0,0.23529411764705882,0.2414,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,5,f1,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,6,f1,0.1512605042016807,0.0,0.3277310924369748,0.0855,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,1,judge_correct,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,2,judge_correct,-0.11764705882352941,-0.29411764705882354,0.0,0.2482,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,3,judge_correct,0.11764705882352941,0.0,0.29411764705882354,0.2502,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,4,judge_correct,0.058823529411764705,0.0,0.17647058823529413,0.6236,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,5,judge_correct,0.0,0.0,0.0,1.0,17
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,6,judge_correct,0.058823529411764705,-0.11764705882352941,0.23529411764705882,0.7617,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,1,em,0.0,0.0,0.0,1.0,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,2,em,0.29411764705882354,0.11764705882352941,0.5294117647058824,0.0127,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,3,em,0.17647058823529413,0.0,0.35294117647058826,0.1021,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,4,em,0.4117647058823529,0.17647058823529413,0.6470588235294118,0.0006,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,5,em,0.29411764705882354,0.11764705882352941,0.5294117647058824,0.0129,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,6,em,0.17647058823529413,0.0,0.35294117647058826,0.0996,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,1,f1,0.0,0.0,0.0,1.0,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,2,f1,0.15,0.029411764705882366,0.29411764705882354,0.0254,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,3,f1,0.12941176470588237,0.023235294117649664,0.27058823529411763,0.0548,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,4,f1,0.18095238095238095,0.0565826330532213,0.32941176470588235,0.0092,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,5,f1,0.18095238095238098,0.03529411764705882,0.3574229691876751,0.025,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,6,f1,0.09901960784313726,-0.014705882352941176,0.24705882352941183,0.1422,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,1,judge_correct,0.0,0.0,0.0,1.0,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,2,judge_correct,0.058823529411764705,0.0,0.17647058823529413,0.6254,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,3,judge_correct,0.058823529411764705,0.0,0.17647058823529413,0.6254,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,4,judge_correct,0.058823529411764705,0.0,0.17647058823529413,0.6254,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,5,judge_correct,0.058823529411764705,0.0,0.17647058823529413,0.6254,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,6,judge_correct,0.058823529411764705,0.0,0.17647058823529413,0.6254,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,1,em,0.0,0.0,0.0,1.0,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,2,em,0.23529411764705882,0.0,0.47058823529411764,0.1209,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,3,em,0.17647058823529413,-0.058823529411764705,0.4117647058823529,0.2279,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,4,em,0.17647058823529413,-0.058823529411764705,0.4117647058823529,0.2299,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,5,em,0.058823529411764705,-0.11764705882352941,0.23529411764705882,0.7632,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,6,em,0.0,-0.17647058823529413,0.17647058823529413,1.0,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,1,f1,0.0,0.0,0.0,1.0,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,2,f1,0.18758169934640523,0.034640522875816995,0.3647058823529412,0.0255,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,3,f1,0.14159663865546218,-0.06722689075630252,0.35507352941176434,0.1913,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,4,f1,0.10588235294117646,-0.10588235294117646,0.31764705882352945,0.3368,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,5,f1,0.058823529411764705,-0.11764705882352941,0.23529411764705882,0.5773,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,6,f1,0.029411764705882353,-0.14705882352941177,0.19999999999999998,0.753,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,1,judge_correct,0.0,0.0,0.0,1.0,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,2,judge_correct,0.11764705882352941,0.0,0.29411764705882354,0.2539,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,3,judge_correct,0.11764705882352941,-0.11764705882352941,0.35294117647058826,0.4318,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,4,judge_correct,0.058823529411764705,-0.11764705882352941,0.23529411764705882,0.7628,17
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,5,judge_correct,0.0,-0.23529411764705882,0.23529411764705882,1.0,17
