comparison,treatment,control,measure,treatment_mean,control_mean,delta,lo,hi,p_value,n
growing_vs_flat_within_family,same_family_size_larger,same_family_size_same,length_ratio,1.0201,1.0143,0.00580341119333948,-0.04544797243823239,0.06857100699342804,0.8446,20
growing_vs_flat_within_family,same_family_size_larger,same_family_size_same,current_characters,421.1417,475.7854,-54.643700855689175,-156.3460182749383,53.701229667745906,0.3102,20
growing_vs_flat_within_family,same_family_size_larger,same_family_size_same,semantic_preserved,0.9875,0.9889,-0.0013500231267345119,-0.03009559050262104,0.016458068339500444,0.8877,20
growing_vs_flat_within_family,same_family_size_larger,same_family_size_same,fact_A_survived,0.7917,0.8209,-0.02925146469318532,-0.17855626541782296,0.10270390070921986,0.681,20
growing_vs_flat_within_family,same_family_size_larger,same_family_size_same,fact_B_survived,0.15,0.2542,-0.1042177382053654,-0.19766065853376502,0.003034468470551966,0.0409,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,lexical_similarity,0.8445,0.873,-0.02843425127197046,-0.06339547461359081,0.005731900456271094,0.1061,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,novel_token_rate,0.1305,0.1141,0.016369823273203812,-0.018415406457177007,0.055208959822116856,0.3826,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,retained_token_rate,0.8514,0.8715,-0.0200929053923836,-0.05930505785778986,0.01813588035046636,0.3166,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,ngram_copy_rate,0.5642,0.6074,-0.04314565111393772,-0.13434880357211684,0.043128900314138116,0.3445,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,length_ratio,1.0695,1.0143,0.055233827860006156,-0.04350351646334419,0.17913013575634051,0.337,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,current_characters,453.0333,475.7854,-22.752034189022503,-112.52909892460684,69.75844337804504,0.6324,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,semantic_preserved,0.9417,0.9889,-0.04718335646006784,-0.09362722353916127,-0.008473876426148644,0.0301,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,fact_A_survived,0.8333,0.8209,0.012415201973481343,-0.12438535884983043,0.13559469434165894,0.8552,20
shrinking_vs_flat_within_family,same_family_size_smaller,same_family_size_same,fact_B_survived,0.1667,0.2542,-0.08755107153869876,-0.17264856517884666,-0.006116322656490915,0.0397,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,lexical_similarity,0.7007,0.7098,-0.009171049062049042,-0.04910710264249638,0.035818129053932155,0.6765,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,novel_token_rate,0.2915,0.2761,0.015405791486291481,-0.026381651204004323,0.05759336477723665,0.4774,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,retained_token_rate,0.7322,0.7502,-0.017995129870129876,-0.058761234199134184,0.028107971257214998,0.4291,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,ngram_copy_rate,0.2139,0.34,-0.12610791774891775,-0.1779431482097763,-0.07074231417748916,0.0,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,length_ratio,1.2121,1.2777,-0.06555823069985574,-0.2267628730248918,0.10968866627885974,0.4378,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,current_characters,407.603,428.7136,-21.110663780663778,-47.86296888528137,4.329812499999994,0.1169,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,semantic_preserved,0.9835,0.9399,0.0435479797979798,0.007772366522366525,0.08253503787878788,0.0224,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,fact_A_survived,0.7395,0.7051,0.03443181818181819,-0.01680938852813852,0.08770810786435786,0.1974,20
growing_vs_flat_cross_family,cross_family_size_larger,cross_family_size_same,fact_B_survived,0.1638,0.1571,0.006607142857142858,-0.030113636363636363,0.04425324675324675,0.6997,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,lexical_similarity,0.7786,0.7098,0.06872286255411257,0.031166690395021613,0.11225676235569984,0.002,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,novel_token_rate,0.186,0.2761,-0.09016309992784992,-0.13009979051226553,-0.053023496085858574,0.0,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,retained_token_rate,0.7742,0.7502,0.02397747871572874,-0.01833586976911973,0.0710100310335498,0.2961,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,ngram_copy_rate,0.4057,0.34,0.0657319357864358,0.007306568831168817,0.12235824644660898,0.0251,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,length_ratio,0.9912,1.2777,-0.28649891883116885,-0.42338052913961033,-0.15631633134920644,0.0,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,current_characters,421.3463,428.7136,-7.367305194805195,-42.94791044372296,32.59103544372293,0.6981,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,semantic_preserved,0.9746,0.9399,0.03469696969696971,-0.002449990981240973,0.07460718795093797,0.0796,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,fact_A_survived,0.8162,0.7051,0.11106060606060605,0.03968605699855699,0.18902101370851368,0.0037,20
shrinking_vs_flat_cross_family,cross_family_size_smaller,cross_family_size_same,fact_B_survived,0.1687,0.1571,0.011544011544011546,-0.033910533910533905,0.06645021645021645,0.6706,20
