comparison,kind,treatment,control,from_depth,query_type,answerer_role,depth,metric,delta,lo,hi,p_value,n
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,5,em,-0.05,-0.25,0.1,0.7619,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,6,em,-0.05,-0.15,0.0,0.621,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,1,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,2,f1,-0.06726190476190476,-0.20476190476190476,0.05,0.3218,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,3,f1,-0.021428571428571425,-0.15,0.075,0.7265,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,4,f1,-0.0048701298701298665,-0.06583333333333304,0.04642857142857144,0.8504,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,5,f1,-0.04642857142857142,-0.22142857142857145,0.1,0.5748,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,6,f1,-0.021428571428571425,-0.15476190476190474,0.09047619047619049,0.7324,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,2,judge_correct,-0.05,-0.2,0.1,0.7579,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,3,judge_correct,-0.15,-0.3,0.0,0.0977,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,4,judge_correct,-0.1,-0.25,0.0,0.2475,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,5,judge_correct,-0.15,-0.3,0.0,0.1059,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,primary,6,judge_correct,-0.15,-0.3,0.0,0.1066,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,1,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,2,em,-0.1,-0.25,0.0,0.2501,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,3,em,0.1,0.0,0.25,0.2437,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,4,em,0.1,0.0,0.25,0.2567,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,5,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,6,em,0.1,0.0,0.25,0.2519,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,1,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,2,f1,-0.06666666666666668,-0.18333333333333335,0.0,0.2425,20
