arm,block,derived,size_pattern,family_mode,query_type,answerer_role,depth,n,n_family_transitions,n_tier_transitions,mean_parameters_b,chain_short_codes,material_characters_mean,empty_handoff_chain_fraction,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
homog_large_gemma,matched_large,False,all_large,fixed_named,target,secondary,5,20,0,0,27.4,G27-G27-G27-G27-G27,473.4,0.0,0.65,0.45,0.85,0.8029,0.6479,0.9329,0.95,0.85,1.0
homog_large_gemma,matched_large,False,all_large,fixed_named,target,secondary,6,20,0,0,27.4,G27-G27-G27-G27-G27-G27,461.3,0.0,0.7,0.5,0.9,0.81,0.655,0.94,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,primary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.8333,0.6667,0.9833,0.9,0.75,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,primary,1,20,0,0,70.6,L70,652.1,0.0,0.25,0.05,0.45,0.3619,0.1786,0.5536,0.55,0.35,0.75
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,primary,2,20,0,0,70.6,L70-L70,565.8,0.0,0.35,0.15,0.55,0.4036,0.2036,0.6037,0.5,0.3,0.7
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,primary,3,20,0,0,70.6,L70-L70-L70,532.0,0.0,0.2,0.05,0.4,0.3725,0.1988,0.5523,0.45,0.25,0.7
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,primary,4,20,0,0,70.6,L70-L70-L70-L70,491.2,0.0,0.35,0.15,0.55,0.4036,0.2036,0.6036,0.45,0.25,0.65
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,primary,5,20,0,0,70.6,L70-L70-L70-L70-L70,485.4,0.0,0.2,0.05,0.4,0.3119,0.1369,0.494,0.4,0.2,0.6
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,primary,6,20,0,0,70.6,L70-L70-L70-L70-L70-L70,471.6,0.0,0.2,0.05,0.4,0.321,0.1508,0.5051,0.35,0.15,0.55
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,secondary,0,20,0,0,,direct,7954.1,0.0,0.85,0.7,1.0,0.875,0.725,1.0,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,secondary,1,20,0,0,70.6,L70,652.1,0.0,0.4,0.2,0.6,0.4536,0.25,0.6571,0.55,0.35,0.75
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,secondary,2,20,0,0,70.6,L70-L70,565.8,0.0,0.35,0.15,0.55,0.4036,0.2036,0.6071,0.5,0.3,0.7
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,secondary,3,20,0,0,70.6,L70-L70-L70,532.0,0.0,0.5,0.3,0.7,0.5536,0.35,0.7536,0.55,0.35,0.75
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,secondary,4,20,0,0,70.6,L70-L70-L70-L70,491.2,0.0,0.45,0.25,0.65,0.5036,0.3,0.7036,0.5,0.3,0.7
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,secondary,5,20,0,0,70.6,L70-L70-L70-L70-L70,485.4,0.0,0.4,0.2,0.6,0.4627,0.2591,0.6627,0.45,0.25,0.65
homog_large_llama,matched_large,False,all_large,fixed_named,heldout,secondary,6,20,0,0,70.6,L70-L70-L70-L70-L70-L70,471.6,0.0,0.4,0.2,0.6,0.4627,0.2607,0.6627,0.45,0.25,0.65
homog_large_llama,matched_large,False,all_large,fixed_named,target,primary,0,20,0,0,,direct,7954.1,0.0,0.65,0.45,0.85,0.8278,0.6869,0.9442,0.9,0.75,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,primary,1,20,0,0,70.6,L70,652.1,0.0,0.75,0.55,0.9,0.8983,0.7817,0.9775,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,primary,2,20,0,0,70.6,L70-L70,565.8,0.0,0.8,0.6,0.95,0.9193,0.8293,0.9857,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,primary,3,20,0,0,70.6,L70-L70-L70,532.0,0.0,0.6,0.4,0.8,0.8175,0.69,0.9242,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,primary,4,20,0,0,70.6,L70-L70-L70-L70,491.2,0.0,0.7,0.5,0.9,0.8642,0.7408,0.9608,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,primary,5,20,0,0,70.6,L70-L70-L70-L70-L70,485.4,0.0,0.65,0.45,0.85,0.8318,0.696,0.945,1.0,1.0,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,primary,6,20,0,0,70.6,L70-L70-L70-L70-L70-L70,471.6,0.0,0.55,0.35,0.75,0.8242,0.7226,0.9142,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,secondary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.85,0.69,0.98,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,secondary,1,20,0,0,70.6,L70,652.1,0.0,0.8,0.6,0.95,0.85,0.7,0.975,0.9,0.75,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,secondary,2,20,0,0,70.6,L70-L70,565.8,0.0,0.75,0.55,0.9,0.8558,0.7167,0.9667,0.9,0.75,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,secondary,3,20,0,0,70.6,L70-L70-L70,532.0,0.0,0.65,0.45,0.85,0.8142,0.6758,0.9317,0.9,0.75,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,secondary,4,20,0,0,70.6,L70-L70-L70-L70,491.2,0.0,0.6,0.4,0.8,0.7258,0.5483,0.8825,0.85,0.7,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,secondary,5,20,0,0,70.6,L70-L70-L70-L70-L70,485.4,0.0,0.65,0.45,0.85,0.8033,0.65,0.9301,0.95,0.85,1.0
homog_large_llama,matched_large,False,all_large,fixed_named,target,secondary,6,20,0,0,70.6,L70-L70-L70-L70-L70-L70,471.6,0.0,0.65,0.45,0.85,0.8033,0.65,0.9301,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,heldout,primary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.8333,0.6667,0.9833,0.9,0.75,1.0
homog_large_matched,matched_large,True,all_large,start,heldout,primary,1,20,0,0,24.0,rotates (4 start models),509.5,0.0,0.25,0.1,0.45,0.348,0.1718,0.5389,0.45,0.25,0.65
homog_large_matched,matched_large,True,all_large,start,heldout,primary,2,20,0,0,24.0,rotates (4 start models),475.6,0.0,0.25,0.1,0.45,0.3036,0.125,0.5036,0.4,0.2,0.6
homog_large_matched,matched_large,True,all_large,start,heldout,primary,3,20,0,0,24.0,rotates (4 start models),449.1,0.0,0.1,0.0,0.25,0.2086,0.075,0.3657,0.4,0.2,0.6
