comparison,condition,depth,metric,delta,lo,hi,p_value,n
available_depth_minus_depth0,signal_1_0,1,em,-0.2,-0.30999999999999994,-0.1,0.0004,20
available_depth_minus_depth0,signal_1_0,1,f1,-0.23883997111612204,-0.3260305817028688,-0.1533897972672715,0.0,20
available_depth_minus_depth0,signal_1_0,1,bertscore_f1,-0.13636165500000003,-0.20541626975,-0.07065565087500002,0.0003,20
available_depth_minus_depth0,signal_1_0,3,em,-0.2699999999999999,-0.4000000000000001,-0.13999999999999999,0.0001,20
available_depth_minus_depth0,signal_1_0,3,f1,-0.3078266856262919,-0.4331765614733486,-0.18953380696499506,0.0,20
available_depth_minus_depth0,signal_1_0,3,bertscore_f1,-0.19994417000000003,-0.30990870400000003,-0.09603470087500003,0.0003,20
available_depth_minus_depth0,signal_1_0,5,em,-0.3549999999999999,-0.48999999999999994,-0.22000000000000003,0.0,20
available_depth_minus_depth0,signal_1_0,5,f1,-0.37005091269245594,-0.492151305894239,-0.25153099806553375,0.0,20
available_depth_minus_depth0,signal_1_0,5,bertscore_f1,-0.24256232500000002,-0.34863323512499994,-0.13962883900000012,0.0,20
available_depth_minus_depth0,signal_0_5,1,em,-0.16,-0.28,-0.05,0.0072,20
available_depth_minus_depth0,signal_0_5,1,f1,-0.16644484763602413,-0.292155695611578,-0.05150652321534677,0.0066,20
available_depth_minus_depth0,signal_0_5,1,bertscore_f1,-0.15967443,-0.2630878747499999,-0.06479840725000005,0.0016,20
available_depth_minus_depth0,signal_0_5,3,em,-0.3000000000000001,-0.4000000000000001,-0.2,0.0,20
available_depth_minus_depth0,signal_0_5,3,f1,-0.2745295037206802,-0.39534304635995815,-0.15714005301615594,0.0,20
available_depth_minus_depth0,signal_0_5,3,bertscore_f1,-0.23589125000000002,-0.321599821,-0.1508252855,0.0,20
available_depth_minus_depth0,signal_0_5,5,em,-0.29000000000000004,-0.43999999999999995,-0.14,0.0001,20
available_depth_minus_depth0,signal_0_5,5,f1,-0.2998380025203555,-0.4524402453102454,-0.15126637042695867,0.0002,20
available_depth_minus_depth0,signal_0_5,5,bertscore_f1,-0.23258911,-0.35127908199999996,-0.11618585075000011,0.0001,20
available_depth_minus_depth0,signal_0_1,1,em,0.05,-0.2,0.3,0.8453,20
available_depth_minus_depth0,signal_0_1,1,f1,0.02219421101774044,-0.17144841269841252,0.20676937441643325,0.8185,20
available_depth_minus_depth0,signal_0_1,1,bertscore_f1,0.03450255000000001,-0.12209769999999998,0.19727941749999997,0.6749,20
available_depth_minus_depth0,signal_0_1,3,em,-0.2,-0.4,0.0,0.1218,20
available_depth_minus_depth0,signal_0_1,3,f1,-0.15850564468211528,-0.3640612002376708,0.04606951871657753,0.1276,20
available_depth_minus_depth0,signal_0_1,3,bertscore_f1,-0.0978243,-0.2543973725,0.05460914124999981,0.2148,20
available_depth_minus_depth0,signal_0_1,5,em,-0.05,-0.25,0.15,0.8217,20
available_depth_minus_depth0,signal_0_1,5,f1,-0.14942577030812326,-0.3529698879551821,0.04941176470588236,0.1455,20
available_depth_minus_depth0,signal_0_1,5,bertscore_f1,-0.056378000000000004,-0.22938731499999995,0.10410375374999996,0.5138,20
