scope,population,comparison,treatment,control,measure,delta,lo,hi,p_value,n_dossiers,n_paired_observations,equivalence_margin,equivalent_within_margin,family
itt,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
compliant,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
compliant,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:early_selector_at_large_relay,llama_ll,llama_sl,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
compliant,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
compliant,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:larger_relay_after_small_selector,llama_sl,llama_ss,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
compliant,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
compliant,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:smaller_relay_after_large_selector,llama_ls,llama_ll,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,llama:large_first_order,llama_ls,llama_sl,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,llama:large_first_order,llama_ls,llama_sl,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
compliant,all,llama:large_first_order,llama_ls,llama_sl,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
