policy,budget_words,relation,kind,metric,mean,lo,hi,n_contexts,n_cells
conditioned,160,paraphrase,utility,f1,0.8447916666666666,0.7854166666666667,0.9005208333333333,16,64
conditioned,160,paraphrase,regret,f1,0.030208333333333334,-0.019791666666666666,0.08645833333333333,16,64
conditioned,160,paraphrase,utility,judge_correct,0.96875,0.921875,1.0,16,64
conditioned,160,paraphrase,regret,judge_correct,0.015625,-0.03125,0.0625,16,64
conditioned,160,same_entity,utility,em,0.484375,0.359375,0.609375,16,64
conditioned,160,same_entity,regret,em,0.359375,0.234375,0.484375,16,64
conditioned,160,same_entity,utility,f1,0.515625,0.375,0.6510416666666666,16,64
conditioned,160,same_entity,regret,f1,0.4286458333333333,0.3,0.5526171874999998,16,64
conditioned,160,same_entity,utility,judge_correct,0.578125,0.46875,0.6875,16,64
conditioned,160,same_entity,regret,judge_correct,0.421875,0.3125,0.53125,16,64
conditioned,160,same_topic,utility,em,0.484375,0.359375,0.609375,16,64
conditioned,160,same_topic,regret,em,0.46875,0.34375,0.59375,16,64
conditioned,160,same_topic,utility,f1,0.4984375,0.38125,0.6171875,16,64
conditioned,160,same_topic,regret,f1,0.4859375,0.37135416666666665,0.6015625,16,64
conditioned,160,same_topic,utility,judge_correct,0.484375,0.359375,0.609375,16,64
conditioned,160,same_topic,regret,judge_correct,0.515625,0.390625,0.640625,16,64
conditioned,160,orthogonal,utility,em,0.03255208333333333,0.013020833333333336,0.0546875,16,768
conditioned,160,orthogonal,regret,em,0.8111979166666666,0.7643229166666666,0.8541666666666666,16,768
conditioned,160,orthogonal,utility,f1,0.0481095943986569,0.02971797733516485,0.06933177011790292,16,768
conditioned,160,orthogonal,regret,f1,0.8774112389346764,0.8462540898771367,0.9044094718215812,16,768
conditioned,160,orthogonal,utility,judge_correct,0.040364583333333336,0.022135416666666664,0.06119791666666667,16,768
conditioned,160,orthogonal,regret,judge_correct,0.9518229166666666,0.92578125,0.9752604166666666,16,768
generic,20,paraphrase,utility,em,0.046875,0.0,0.09375,16,64
generic,20,paraphrase,regret,em,0.734375,0.671875,0.796875,16,64
generic,20,paraphrase,utility,f1,0.14427083333333332,0.1015625,0.18854166666666666,16,64
generic,20,paraphrase,regret,f1,0.7307291666666667,0.6697916666666667,0.7864583333333333,16,64
generic,20,paraphrase,utility,judge_correct,0.140625,0.078125,0.203125,16,64
generic,20,paraphrase,regret,judge_correct,0.84375,0.78125,0.90625,16,64
generic,20,same_entity,utility,em,0.09375,0.03125,0.171875,16,64
generic,20,same_entity,regret,em,0.75,0.65625,0.828125,16,64
generic,20,same_entity,utility,f1,0.13098958333333333,0.06328125,0.2078125,16,64
generic,20,same_entity,regret,f1,0.81328125,0.746875,0.87421875,16,64
generic,20,same_entity,utility,judge_correct,0.109375,0.046875,0.1875,16,64
generic,20,same_entity,regret,judge_correct,0.890625,0.8125,0.953125,16,64
generic,20,same_topic,utility,em,0.03125,0.0,0.078125,16,64
generic,20,same_topic,regret,em,0.921875,0.84375,0.984375,16,64
generic,20,same_topic,utility,f1,0.09322916666666665,0.03854166666666667,0.159375,16,64
generic,20,same_topic,regret,f1,0.8911458333333333,0.8255208333333334,0.9479166666666667,16,64
generic,20,same_topic,utility,judge_correct,0.03125,0.0,0.078125,16,64
generic,20,same_topic,regret,judge_correct,0.96875,0.921875,1.0,16,64
generic,20,orthogonal,utility,em,0.0546875,0.03125,0.08203125,16,768
generic,20,orthogonal,regret,em,0.7890625,0.74609375,0.83203125,16,768
generic,20,orthogonal,utility,f1,0.13093377976190476,0.10326450892857143,0.15865908668154763,16,768
generic,20,orthogonal,regret,f1,0.7945870535714286,0.7614183407738095,0.8290941220238095,16,768
generic,20,orthogonal,utility,judge_correct,0.10546875,0.078125,0.12890625,16,768
generic,20,orthogonal,regret,judge_correct,0.88671875,0.859375,0.9140625,16,768
generic,40,paraphrase,utility,em,0.203125,0.125,0.296875,16,64
generic,40,paraphrase,regret,em,0.578125,0.484375,0.65625,16,64
generic,40,paraphrase,utility,f1,0.29092261904761907,0.21674107142857144,0.38020833333333337,16,64
generic,40,paraphrase,regret,f1,0.5840773809523809,0.515327380952381,0.6470982142857142,16,64
generic,40,paraphrase,utility,judge_correct,0.328125,0.25,0.421875,16,64
generic,40,paraphrase,regret,judge_correct,0.65625,0.5625,0.734375,16,64
generic,40,same_entity,utility,em,0.109375,0.046875,0.1875,16,64
generic,40,same_entity,regret,em,0.734375,0.625,0.84375,16,64
generic,40,same_entity,utility,f1,0.15907738095238097,0.07723028273809526,0.24925595238095238,16,64
generic,40,same_entity,regret,f1,0.7851934523809524,0.6921875,0.8700148809523809,16,64
generic,40,same_entity,utility,judge_correct,0.125,0.046875,0.21875,16,64
generic,40,same_entity,regret,judge_correct,0.875,0.78125,0.953125,16,64
generic,40,same_topic,utility,em,0.046875,0.0,0.09375,16,64
generic,40,same_topic,regret,em,0.90625,0.796875,0.984375,16,64
generic,40,same_topic,utility,f1,0.11488095238095238,0.06770833333333333,0.1644345238095238,16,64
generic,40,same_topic,regret,f1,0.8694940476190477,0.8088541666666667,0.923139880952381,16,64
generic,40,same_topic,utility,judge_correct,0.0625,0.015625,0.125,16,64
generic,40,same_topic,regret,judge_correct,0.9375,0.875,0.984375,16,64
generic,40,orthogonal,utility,em,0.1484375,0.11328125,0.19140625,16,768
generic,40,orthogonal,regret,em,0.6953125,0.6328125,0.75,16,768
generic,40,orthogonal,utility,f1,0.21941964285714285,0.18444893973214285,0.26123558407738096,16,768
generic,40,orthogonal,regret,f1,0.7061011904761905,0.6593359375,0.7496098400297618,16,768
generic,40,orthogonal,utility,judge_correct,0.21484375,0.171875,0.2578125,16,768
generic,40,orthogonal,regret,judge_correct,0.77734375,0.734375,0.8203125,16,768
generic,80,paraphrase,utility,em,0.203125,0.109375,0.296875,16,64
generic,80,paraphrase,regret,em,0.578125,0.484375,0.671875,16,64
generic,80,paraphrase,utility,f1,0.37395833333333334,0.28854166666666664,0.4619791666666666,16,64
generic,80,paraphrase,regret,f1,0.5010416666666666,0.4078125,0.59375,16,64
generic,80,paraphrase,utility,judge_correct,0.46875,0.390625,0.546875,16,64
generic,80,paraphrase,regret,judge_correct,0.515625,0.421875,0.609375,16,64
generic,80,same_entity,utility,em,0.109375,0.046875,0.1875,16,64
generic,80,same_entity,regret,em,0.734375,0.671875,0.796875,16,64
generic,80,same_entity,utility,f1,0.19441964285714286,0.12566964285714285,0.26822916666666663,16,64
generic,80,same_entity,regret,f1,0.7498511904761904,0.6916629464285714,0.8069940476190476,16,64
generic,80,same_entity,utility,judge_correct,0.1875,0.125,0.25,16,64
