quantity,policy,metric,low_budget_words,high_budget_words,delta,lo,hi,p_value,n,cohens_dz
gap_low_minus_high,conditioned,em,20,160,0.07916666666666662,0.00833333333333329,0.146875,0.0258,16,0.5389845005614661
gap_low_minus_high,conditioned,f1,20,160,0.09603587962962959,0.048891915954415936,0.14941865794795475,0.0002,16,0.9053788446637283
gap_low_minus_high,conditioned,judge_correct,20,160,0.12187500000000001,0.08020833333333335,0.16979166666666667,0.0,16,1.2698202472136353
gap_low_minus_high,generic,em,20,160,-0.03750000000000002,-0.11250000000000002,0.04166666666666666,0.3222,16,-0.2297194409333656
gap_low_minus_high,generic,f1,20,160,-0.04634920634920636,-0.11982465277777779,0.029058035714285703,0.2289,16,-0.29282550643952565
gap_low_minus_high,generic,judge_correct,20,160,-0.0625,-0.1375,0.016666666666666677,0.1336,16,-0.37264732695013514
gap_low_minus_high,lm_conditioned,em,20,160,-0.4041666666666667,-0.509375,-0.29166666666666663,0.0,16,-1.7583547000859656
gap_low_minus_high,lm_conditioned,f1,20,160,-0.4658791994361847,-0.5612198775744273,-0.36106565771340604,0.0,16,-2.2052861912831347
gap_low_minus_high,lm_conditioned,judge_correct,20,160,-0.5197916666666667,-0.6239843749999998,-0.4052083333333334,0.0,16,-2.2466964597776076
gap_low_minus_high,lm_generic,em,20,160,-0.01666666666666668,-0.07500000000000001,0.041666666666666664,0.5362,16,-0.13299879414973298
gap_low_minus_high,lm_generic,f1,20,160,-0.02590686274509805,-0.0803513071895425,0.030001633986928063,0.3577,16,-0.21977746333325252
gap_low_minus_high,lm_generic,judge_correct,20,160,-0.016666666666666673,-0.07500000000000001,0.04166666666666666,0.54,16,-0.13558153613666016
gap_low_minus_high,nonllm_conditioned,em,20,160,-0.4729166666666667,-0.55,-0.4,0.0,16,-2.9846382000707856
gap_low_minus_high,nonllm_conditioned,f1,20,160,-0.540247585679571,-0.5982102933320764,-0.48015937591649915,0.0,16,-4.308368712865916
gap_low_minus_high,nonllm_conditioned,judge_correct,20,160,-0.6052083333333333,-0.6625000000000001,-0.5395833333333334,0.0,16,-4.638106032035876
gap_low_minus_high,nonllm_generic,em,20,160,-0.03333333333333334,-0.10416666666666666,0.03333333333333331,0.3255,16,-0.23483410915693112
gap_low_minus_high,nonllm_generic,f1,20,160,-0.03150159208982739,-0.09133662749287748,0.02955761375062843,0.3155,16,-0.24330281707260906
gap_low_minus_high,nonllm_generic,judge_correct,20,160,-0.02916666666666668,-0.09166666666666667,0.03333333333333331,0.3277,16,-0.22260955995021828
gap_low_minus_high,oracle,em,20,160,0.07083333333333333,0.012500000000000002,0.12916666666666668,0.0202,16,0.5765749303488216
gap_low_minus_high,oracle,f1,20,160,0.024039051226551235,-0.020340999278499278,0.06935878878066377,0.2894,16,0.25974162515336424
gap_low_minus_high,oracle,judge_correct,20,160,0.008333333333333325,-0.02500000000000001,0.04166666666666665,0.7164,16,0.11490963994423031
gap_low_minus_high,paraphrase,em,20,160,0.0625,-0.012500000000000008,0.12916666666666665,0.091,16,0.4194375478508363
gap_low_minus_high,paraphrase,f1,20,160,0.026855158730158733,-0.02296750992063492,0.07490104166666665,0.2825,16,0.2614270204337505
gap_low_minus_high,paraphrase,judge_correct,20,160,0.04583333333333334,-0.016666666666666684,0.1125,0.1823,16,0.3343068706201569
gap_low_minus_high,passthrough,em,20,160,-0.03750000000000001,-0.09583333333333335,0.01666666666666666,0.1656,16,-0.3214285714285715
gap_low_minus_high,passthrough,f1,20,160,-0.04321837068160598,-0.09195130621693123,0.005121231131341413,0.0817,16,-0.41734625686494
gap_low_minus_high,passthrough,judge_correct,20,160,-0.08333333333333334,-0.12083333333333335,-0.04166666666666667,0.0001,16,-0.9682458365518541
gap_low_minus_high,random_selection,em,20,160,-0.08750000000000001,-0.15833333333333333,-0.016666666666666684,0.0123,16,-0.601425472045537
gap_low_minus_high,random_selection,f1,20,160,-0.0887701106083459,-0.16187988624937152,-0.01708250062845653,0.0178,16,-0.5799971857346992
gap_low_minus_high,random_selection,judge_correct,20,160,-0.08750000000000001,-0.16666666666666669,-0.004166666666666666,0.0365,16,-0.509764799538496
gap_low_minus_high,reusable,em,20,160,0.2104166666666666,0.1343489583333335,0.28440104166666635,0.0,16,1.2949569361938362
gap_low_minus_high,reusable,f1,20,160,0.2422587830985664,0.1864331288627559,0.30203819813536453,0.0,16,1.9662287727366743
gap_low_minus_high,reusable,judge_correct,20,160,0.3,0.23958333333333334,0.3666666666666666,0.0,16,2.20454076850486
conditioning_gap_low_minus_high,conditioned_minus_generic,em,20,160,0.11666666666666664,0.007291666666666606,0.22916666666666669,0.0402,16,0.49780367243653517
conditioning_gap_low_minus_high,conditioned_minus_generic,f1,20,160,0.14238508597883595,0.05122054175569797,0.23460194088319083,0.0019,16,0.736792859190488
conditioning_gap_low_minus_high,conditioned_minus_generic,judge_correct,20,160,0.18437499999999998,0.08020833333333331,0.28541666666666665,0.0002,16,0.8503014274593012
