future_distribution,budget_words,gamma,delta_hv,lo,hi,hv_exp11_only,hv_combined
empirical_cells,40,0.5,0.260631739995841,0.2379754783911649,0.2783748521564275,0.08883073141023737,0.34946247140607833
empirical_cells,80,0.5,0.3396517244156938,0.3126061633832365,0.36202047143374966,0.09443414318288848,0.43408586759858225
relation_balanced,40,0.5,0.22750387131992514,0.2019444941430813,0.24621822465631596,0.1446212442626482,0.37212511558257333
relation_balanced,80,0.5,0.2948078495225791,0.26607744319644505,0.3222312403643509,0.1596883606975116,0.4544962102200907
far,40,0.5,0.2571983031797431,0.23392531686954735,0.27791755674531854,0.0868504398636404,0.3440487430433835
far,80,0.5,0.32793659534785735,0.3004710607949186,0.3510002900739406,0.09872732947926735,0.4266639248271247
