budget_words,gamma,hv_static,hv_all,delta_hv,lo,hi
40,0.25,0.20387146568627448,0.4490508578431372,0.2451793921568627,0.22816483851509559,0.26185782997009655
40,0.5,0.24078315626144997,0.4322434453695176,0.19146028910806762,0.17767880276176448,0.20376239389893616
40,1.0,0.28175715354103104,0.4164210507299371,0.1346638971889061,0.12514637331745743,0.14354812805635794
80,0.25,0.2079731900991477,0.49878896602459777,0.29081577592545005,0.2668535983941712,0.3105502165755061
80,0.5,0.24119541299538994,0.45433924184264,0.21314382884725008,0.19559853375919845,0.2272317968730843
80,1.0,0.2868305278562183,0.4533987607610699,0.16656823290485157,0.15210973692595514,0.1783305773167271
