budget_words,arm_dilution,arm_displacement,shared_tv,difference,lo,hi,n
40.0,preserve__tau1,preserve__sigma0p5,0.44999999999999996,-0.04661458333333325,-0.11277018229166659,0.018369140625000037,64
40.0,pointer__tau1,pointer__sigma0p5,0.44999999999999996,-0.018359374999999997,-0.068359375,0.023837890624999945,64
80.0,preserve__tau1,preserve__sigma0p5,0.44999999999999996,-0.05403645833333329,-0.09402018229166663,-0.013531901041666667,64
80.0,pointer__tau1,pointer__sigma0p5,0.44999999999999996,0.0,0.0,0.0,64
