source,policy,budget_words,n_rotations,u_now,u_future,c_context,c_retrieval,cost,future_distribution
exp12,uncertainty_aware__tau1,40,64,0.890625,0.9339192708333333,13.796875,55.45703125,41.525390625,relation_balanced
exp11,split__l0,80,64,0.984375,0.5029296875,73.5625,0.0,73.5625,relation_balanced
exp11,split__l0p333,80,64,0.984375,0.4661458333333333,71.5625,0.0,71.5625,relation_balanced
exp11,split__l1,80,64,1.0,0.43131510416666674,71.96875,0.0,71.96875,relation_balanced
exp11,split__l3,80,64,1.0,0.400390625,72.6875,0.0,72.6875,relation_balanced
exp11,split__linf,80,64,0.109375,0.240234375,75.203125,0.0,75.203125,relation_balanced
exp12,blind,80,64,1.0,0.5234375,66.140625,0.0,66.140625,relation_balanced
exp12,oracle_exact,80,64,0.984375,0.296875,56.640625,0.0,56.640625,relation_balanced
exp12,pointer__sigma0p5,80,64,1.0,0.9638671875,77.34375,55.453125,105.0703125,relation_balanced
exp12,pointer__sigma1,80,64,0.984375,0.9602864583333334,41.09375,55.453125,68.8203125,relation_balanced
exp12,pointer__tau0,80,64,1.0,0.9635416666666667,77.34375,55.453125,105.0703125,relation_balanced
exp12,pointer__tau0p5,80,64,1.0,0.9638671875,77.34375,55.453125,105.0703125,relation_balanced
exp12,pointer__tau1,80,64,1.0,0.9638671875,77.34375,55.453125,105.0703125,relation_balanced
exp12,preserve__sigma0p5,80,64,1.0,0.39485677083333337,65.03125,0.0,65.03125,relation_balanced
exp12,preserve__sigma1,80,64,0.984375,0.42545572916666663,73.734375,0.0,73.734375,relation_balanced
exp12,preserve__tau0,80,64,0.984375,0.3056640625,59.921875,0.0,59.921875,relation_balanced
exp12,preserve__tau0p5,80,64,0.984375,0.32454427083333337,50.5,0.0,50.5,relation_balanced
exp12,preserve__tau1,80,64,1.0,0.5234375,66.140625,0.0,66.140625,relation_balanced
exp12,retrieval_only,80,64,0.984375,0.9576822916666667,27.578125,55.453125,55.3046875,relation_balanced
exp12,static_conditioned,80,64,0.984375,0.2587890625,27.578125,0.0,27.578125,relation_balanced
exp12,uncertainty_aware__tau0,80,64,0.984375,0.3095703125,59.921875,0.0,59.921875,relation_balanced
exp12,uncertainty_aware__tau1,80,64,0.984375,0.9537760416666667,27.578125,55.453125,55.3046875,relation_balanced
exp11,split__l0,40,64,1.0,0.015625,35.734375,0.0,35.734375,far
exp11,split__l0p333,40,64,1.0,0.08072916666666666,36.96875,0.0,36.96875,far
exp11,split__l1,40,64,1.0,0.10026041666666666,36.3125,0.0,36.3125,far
exp11,split__l3,40,64,0.96875,0.15885416666666666,37.515625,0.0,37.515625,far
exp11,split__linf,40,64,0.21875,0.19661458333333331,37.203125,0.0,37.203125,far
exp12,blind,40,64,0.875,0.009114583333333334,13.921875,0.0,13.921875,far
exp12,oracle_exact,40,64,0.890625,0.16666666666666666,32.046875,0.0,32.046875,far
exp12,pointer__sigma0p5,40,64,0.890625,0.90625,38.015625,55.45703125,65.744140625,far
exp12,pointer__sigma1,40,64,0.90625,0.8984375,27.3125,55.45703125,55.041015625,far
exp12,pointer__tau0,40,64,0.890625,0.9075520833333334,38.015625,55.45703125,65.744140625,far
exp12,pointer__tau0p5,40,64,0.890625,0.90625,38.015625,55.45703125,65.744140625,far
exp12,pointer__tau1,40,64,0.875,0.9049479166666667,38.015625,55.45703125,65.744140625,far
exp12,preserve__sigma0p5,40,64,0.84375,0.12369791666666666,26.75,0.0,26.75,far
exp12,preserve__sigma1,40,64,0.875,0.13151041666666666,35.0,0.0,35.0,far
exp12,preserve__tau0,40,64,0.890625,0.15234375,27.546875,0.0,27.546875,far
exp12,preserve__tau0p5,40,64,0.890625,0.09375,22.15625,0.0,22.15625,far
exp12,preserve__tau1,40,64,0.875,0.009114583333333334,13.921875,0.0,13.921875,far
exp12,retrieval_only,40,64,0.890625,0.8919270833333333,13.796875,55.45703125,41.525390625,far
exp12,static_conditioned,40,64,0.890625,0.007812499999999999,14.125,0.0,14.125,far
exp12,uncertainty_aware__tau0,40,64,0.890625,0.15364583333333331,27.546875,0.0,27.546875,far
exp12,uncertainty_aware__tau1,40,64,0.890625,0.8919270833333333,13.796875,55.45703125,41.525390625,far
exp11,split__l0,80,64,0.984375,0.011718749999999998,73.5625,0.0,73.5625,far
exp11,split__l0p333,80,64,0.984375,0.11458333333333331,71.5625,0.0,71.5625,far
exp11,split__l1,80,64,1.0,0.20963541666666669,71.96875,0.0,71.96875,far
exp11,split__l3,80,64,1.0,0.2421875,72.6875,0.0,72.6875,far
exp11,split__linf,80,64,0.109375,0.3203125,75.203125,0.0,75.203125,far
exp12,blind,80,64,1.0,0.296875,66.140625,0.0,66.140625,far
exp12,oracle_exact,80,64,0.984375,0.171875,56.640625,0.0,56.640625,far
exp12,pointer__sigma0p5,80,64,1.0,0.91796875,77.34375,55.453125,105.0703125,far
exp12,pointer__sigma1,80,64,0.984375,0.9036458333333334,41.09375,55.453125,68.8203125,far
exp12,pointer__tau0,80,64,1.0,0.9166666666666667,77.34375,55.453125,105.0703125,far
exp12,pointer__tau0p5,80,64,1.0,0.91796875,77.34375,55.453125,105.0703125,far
exp12,pointer__tau1,80,64,1.0,0.91796875,77.34375,55.453125,105.0703125,far
exp12,preserve__sigma0p5,80,64,1.0,0.28255208333333337,65.03125,0.0,65.03125,far
exp12,preserve__sigma1,80,64,0.984375,0.18619791666666663,73.734375,0.0,73.734375,far
exp12,preserve__tau0,80,64,0.984375,0.20703125,59.921875,0.0,59.921875,far
exp12,preserve__tau0p5,80,64,0.984375,0.20442708333333331,50.5,0.0,50.5,far
exp12,preserve__tau1,80,64,1.0,0.296875,66.140625,0.0,66.140625,far
exp12,retrieval_only,80,64,0.984375,0.8932291666666667,27.578125,55.453125,55.3046875,far
exp12,static_conditioned,80,64,0.984375,0.00390625,27.578125,0.0,27.578125,far
exp12,uncertainty_aware__tau0,80,64,0.984375,0.20703125,59.921875,0.0,59.921875,far
exp12,uncertainty_aware__tau1,80,64,0.984375,0.8932291666666667,27.578125,55.453125,55.3046875,far
