policy,display,budget_words,slice,n_cells,n_contexts,span_survival,span_survival_lo,span_survival_hi,accuracy,accuracy_lo,accuracy_hi,accuracy_given_survival,n_contexts_with_survival,survival_shortfall
nonllm_conditioned,nonllm_elimination_conditioned,80,orthogonal,768,16,0.09375,0.07942708333333334,0.10807291666666666,0.09505208333333334,0.07942708333333334,0.11067708333333334,0.9642857142857143,16,-0.0013020833333333426
nonllm_conditioned,nonllm_elimination_conditioned,160,q_now,64,16,0.96875,0.921875,1.0,0.953125,0.90625,1.0,0.984375,16,0.015625
nonllm_conditioned,nonllm_elimination_conditioned,160,any_future,960,16,0.33229166666666665,0.3052083333333333,0.3614583333333333,0.3260416666666667,0.30104166666666665,0.3520833333333333,0.9855769230769231,16,0.006249999999999978
nonllm_conditioned,nonllm_elimination_conditioned,160,paraphrase,64,16,0.96875,0.921875,1.0,0.953125,0.90625,1.0,0.984375,16,0.015625
nonllm_conditioned,nonllm_elimination_conditioned,160,same_entity,64,16,0.25,0.171875,0.34375,0.25,0.171875,0.328125,1.0,12,0.0
nonllm_conditioned,nonllm_elimination_conditioned,160,same_topic,64,16,0.328125,0.21875,0.4375,0.328125,0.21875,0.4375,1.0,12,0.0
nonllm_conditioned,nonllm_elimination_conditioned,160,orthogonal,768,16,0.2864583333333333,0.2578125,0.31640625,0.27994791666666663,0.2552083333333333,0.3046875,0.984375,16,0.006510416666666685
random_selection,random_selection,20,q_now,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
random_selection,random_selection,20,any_future,960,16,0.004166666666666667,0.0,0.0125,0.015625,0.0,0.034375,1.0,1,-0.011458333333333334
random_selection,random_selection,20,paraphrase,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
random_selection,random_selection,20,same_entity,64,16,0.015625,0.0,0.046875,0.015625,0.0,0.046875,1.0,1,0.0
random_selection,random_selection,20,same_topic,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
random_selection,random_selection,20,orthogonal,768,16,0.00390625,0.0,0.01171875,0.015625,0.0,0.03515625,1.0,1,-0.01171875
random_selection,random_selection,40,q_now,64,16,0.046875,0.0,0.09375,0.046875,0.0,0.09375,1.0,3,0.0
random_selection,random_selection,40,any_future,960,16,0.05520833333333333,0.035416666666666666,0.0750260416666663,0.06354166666666666,0.040625,0.0875,1.0,11,-0.008333333333333331
random_selection,random_selection,40,paraphrase,64,16,0.046875,0.0,0.09375,0.0625,0.0,0.140625,1.0,3,-0.015625
random_selection,random_selection,40,same_entity,64,16,0.03125,0.0,0.078125,0.03125,0.0,0.078125,1.0,2,0.0
random_selection,random_selection,40,same_topic,64,16,0.09375,0.03125,0.15625,0.109375,0.046875,0.171875,1.0,6,-0.015625
random_selection,random_selection,40,orthogonal,768,16,0.0546875,0.03515625,0.078125,0.0625,0.0390625,0.0859375,1.0,11,-0.0078125
random_selection,random_selection,80,q_now,64,16,0.1875,0.09375,0.28125,0.1875,0.09375,0.28125,1.0,9,0.0
random_selection,random_selection,80,any_future,960,16,0.14583333333333331,0.10833333333333334,0.18333333333333335,0.15,0.11145833333333333,0.1875,1.0,15,-0.00416666666666668
random_selection,random_selection,80,paraphrase,64,16,0.1875,0.09375,0.28125,0.203125,0.109375,0.296875,1.0,9,-0.015625
random_selection,random_selection,80,same_entity,64,16,0.15625,0.0625,0.265625,0.15625,0.078125,0.265625,1.0,8,0.0
random_selection,random_selection,80,same_topic,64,16,0.0625,0.015625,0.125,0.0625,0.015625,0.125,1.0,4,0.0
random_selection,random_selection,80,orthogonal,768,16,0.1484375,0.109375,0.1875,0.15234375,0.11328125,0.19140625,1.0,15,-0.00390625
random_selection,random_selection,160,q_now,64,16,0.46875,0.359375,0.578125,0.46875,0.359375,0.578125,1.0,15,0.0
random_selection,random_selection,160,any_future,960,16,0.38125,0.33125,0.42812500000000003,0.38125,0.33125000000000004,0.4291666666666667,1.0,16,0.0
random_selection,random_selection,160,paraphrase,64,16,0.46875,0.359375,0.578125,0.46875,0.359375,0.578125,1.0,15,0.0
random_selection,random_selection,160,same_entity,64,16,0.296875,0.21875,0.390625,0.296875,0.21875,0.390625,1.0,14,0.0
random_selection,random_selection,160,same_topic,64,16,0.3125,0.203125,0.421875,0.3125,0.203125,0.421875,1.0,12,0.0
random_selection,random_selection,160,orthogonal,768,16,0.38671875,0.33203125,0.4375,0.38671875,0.33203125,0.4375,1.0,16,0.0
oracle,summary_oracle,20,q_now,64,16,0.25,0.25,0.25,0.25,0.25,0.25,1.0,16,0.0
oracle,summary_oracle,20,any_future,960,16,0.17083333333333334,0.15,0.19166666666666668,0.17916666666666667,0.16249999999999998,0.19583333333333336,1.0,16,-0.008333333333333331
oracle,summary_oracle,20,paraphrase,64,16,0.25,0.25,0.25,0.25,0.25,0.25,1.0,16,0.0
oracle,summary_oracle,20,same_entity,64,16,0.140625,0.078125,0.203125,0.171875,0.109375,0.21875,1.0,9,-0.03125
oracle,summary_oracle,20,same_topic,64,16,0.0625,0.015625,0.125,0.0625,0.015625,0.125,1.0,4,0.0
oracle,summary_oracle,20,orthogonal,768,16,0.17578125,0.15625,0.1953125,0.18359375,0.16796875,0.19921875,1.0,16,-0.0078125
oracle,summary_oracle,40,q_now,64,16,0.515625,0.4375,0.59375,0.515625,0.4375,0.59375,1.0,16,0.0
oracle,summary_oracle,40,any_future,960,16,0.4114583333333333,0.3760416666666667,0.44375,0.3989583333333333,0.36250000000000004,0.43333333333333335,0.9711538461538461,16,0.012500000000000011
oracle,summary_oracle,40,paraphrase,64,16,0.515625,0.4375,0.59375,0.484375,0.390625,0.578125,0.9375,16,0.03125
oracle,summary_oracle,40,same_entity,64,16,0.34375,0.265625,0.421875,0.328125,0.265625,0.390625,0.9666666666666667,15,0.015625
oracle,summary_oracle,40,same_topic,64,16,0.296875,0.25,0.34375,0.296875,0.25,0.34375,1.0,16,0.0
oracle,summary_oracle,40,orthogonal,768,16,0.41796875,0.37890625,0.453125,0.40625,0.3671875,0.44140625,0.9732142857142857,16,0.01171875
oracle,summary_oracle,80,q_now,64,16,0.765625,0.671875,0.859375,0.75,0.671875,0.828125,0.96875,16,0.015625
oracle,summary_oracle,80,any_future,960,16,0.690625,0.6145833333333334,0.7614583333333333,0.6916666666666667,0.625,0.7500260416666663,0.9837740384615384,16,-0.0010416666666666075
oracle,summary_oracle,80,paraphrase,64,16,0.765625,0.671875,0.859375,0.75,0.671875,0.828125,0.96875,16,0.015625
oracle,summary_oracle,80,same_entity,64,16,0.609375,0.5,0.7035156249999943,0.640625,0.546875,0.734375,1.0,16,-0.03125
oracle,summary_oracle,80,same_topic,64,16,0.640625,0.546875,0.71875,0.640625,0.546875,0.71875,1.0,16,0.0
oracle,summary_oracle,80,orthogonal,768,16,0.6953125,0.62109375,0.765625,0.6953125,0.62890625,0.75390625,0.9827380952380953,16,0.0
oracle,summary_oracle,160,q_now,64,16,0.875,0.796875,0.953125,0.890625,0.8125,0.953125,0.9791666666666666,16,-0.015625
oracle,summary_oracle,160,any_future,960,16,0.8166666666666667,0.7447916666666667,0.8896093749999997,0.828125,0.7552083333333334,0.8989583333333333,0.9901247401247402,16,-0.011458333333333348
oracle,summary_oracle,160,paraphrase,64,16,0.875,0.796875,0.953125,0.890625,0.828125,0.953125,0.984375,16,-0.015625
oracle,summary_oracle,160,same_entity,64,16,0.765625,0.6875,0.84375,0.78125,0.703125,0.875,1.0,16,-0.015625
oracle,summary_oracle,160,same_topic,64,16,0.765625,0.640625,0.875,0.765625,0.640625,0.875,1.0,16,0.0
oracle,summary_oracle,160,orthogonal,768,16,0.8203125,0.75,0.89453125,0.83203125,0.7578125,0.90234375,0.9892857142857143,16,-0.01171875
reusable,summary_reusable,20,q_now,64,16,0.984375,0.953125,1.0,1.0,1.0,1.0,1.0,16,-0.015625
reusable,summary_reusable,20,any_future,960,16,0.071875,0.06666666666666667,0.07604166666666667,0.08124999999999999,0.07604166666666667,0.08645833333333333,0.9875,16,-0.009374999999999994
reusable,summary_reusable,20,paraphrase,64,16,0.984375,0.953125,1.0,0.984375,0.953125,1.0,0.984375,16,0.0
reusable,summary_reusable,20,same_entity,64,16,0.046875,0.0,0.09375,0.046875,0.0,0.09375,1.0,3,0.0
reusable,summary_reusable,20,same_topic,64,16,0.046875,0.0,0.09375,0.0625,0.015625,0.125,1.0,3,-0.015625
reusable,summary_reusable,20,orthogonal,768,16,0.0,0.0,0.0,0.010416666666666666,0.005208333333333333,0.016927083333333332,nan,0,-0.010416666666666666
reusable,summary_reusable,40,q_now,64,16,0.984375,0.953125,1.0,1.0,1.0,1.0,1.0,16,-0.015625
reusable,summary_reusable,40,any_future,960,16,0.09791666666666668,0.08958333333333333,0.10625000000000001,0.103125,0.09270833333333334,0.11354166666666667,1.0,16,-0.005208333333333315
reusable,summary_reusable,40,paraphrase,64,16,0.984375,0.953125,1.0,1.0,1.0,1.0,1.0,16,-0.015625
reusable,summary_reusable,40,same_entity,64,16,0.1875,0.078125,0.3125,0.1875,0.078125,0.3125,1.0,7,0.0
reusable,summary_reusable,40,same_topic,64,16,0.25,0.171875,0.328125,0.25,0.171875,0.328125,1.0,13,0.0
reusable,summary_reusable,40,orthogonal,768,16,0.00390625,0.0,0.010416666666666666,0.009114583333333334,0.0026041666666666665,0.016927083333333332,1.0,2,-0.005208333333333334
reusable,summary_reusable,80,q_now,64,16,0.984375,0.953125,1.0,1.0,1.0,1.0,1.0,16,-0.015625
reusable,summary_reusable,80,any_future,960,16,0.190625,0.17812499999999998,0.20208333333333334,0.196875,0.184375,0.209375,0.9955357142857143,16,-0.0062500000000000056
reusable,summary_reusable,80,paraphrase,64,16,0.984375,0.953125,1.0,1.0,1.0,1.0,1.0,16,-0.015625
reusable,summary_reusable,80,same_entity,64,16,0.640625,0.546875,0.734375,0.671875,0.5625,0.78125,1.0,16,-0.03125
reusable,summary_reusable,80,same_topic,64,16,0.4375,0.328125,0.546875,0.4375,0.328125,0.546875,1.0,15,0.0
reusable,summary_reusable,80,orthogonal,768,16,0.06640625,0.046875,0.08463541666666667,0.0703125,0.05208333333333333,0.08854166666666667,0.9880952380952381,14,-0.00390625
reusable,summary_reusable,160,q_now,64,16,0.953125,0.90625,1.0,0.953125,0.90625,1.0,0.984375,16,0.0
reusable,summary_reusable,160,any_future,960,16,0.33229166666666665,0.30104166666666665,0.36041666666666666,0.334375,0.303125,0.3625,0.9920742753623188,16,-0.002083333333333326
reusable,summary_reusable,160,paraphrase,64,16,0.953125,0.90625,1.0,0.953125,0.90625,1.0,0.984375,16,0.0
reusable,summary_reusable,160,same_entity,64,16,0.75,0.65625,0.84375,0.734375,0.625,0.828125,0.9791666666666666,16,0.015625
reusable,summary_reusable,160,same_topic,64,16,0.671875,0.5625,0.765625,0.671875,0.5625,0.765625,1.0,15,0.0
reusable,summary_reusable,160,orthogonal,768,16,0.21744791666666666,0.17708333333333334,0.25390625,0.22135416666666669,0.1796875,0.26041666666666663,0.9952380952380953,15,-0.003906250000000028
