policy,display,budget_words,slice,n_cells,n_contexts,span_survival,span_survival_lo,span_survival_hi,accuracy,accuracy_lo,accuracy_hi,accuracy_given_survival,n_contexts_with_survival,survival_shortfall
conditioned,summary_conditioned,160,same_entity,64,16,0.578125,0.484375,0.671875,0.578125,0.46875,0.6875,0.96875,16,0.0
conditioned,summary_conditioned,160,same_topic,64,16,0.484375,0.359375,0.609375,0.484375,0.359375,0.609375,1.0,15,0.0
conditioned,summary_conditioned,160,orthogonal,768,16,0.0390625,0.020833333333333332,0.06119791666666666,0.040364583333333336,0.022135416666666664,0.061197916666666664,1.0,10,-0.0013020833333333356
paraphrase,paraphrase,20,q_now,64,16,0.109375,0.046875,0.171875,0.140625,0.0625,0.21875,1.0,7,-0.03125
paraphrase,paraphrase,20,any_future,960,16,0.05520833333333333,0.029166666666666667,0.08229166666666668,0.07395833333333333,0.03854166666666667,0.11145833333333333,1.0,8,-0.018750000000000003
paraphrase,paraphrase,20,paraphrase,64,16,0.109375,0.046875,0.171875,0.125,0.0625,0.1875,1.0,7,-0.015625
paraphrase,paraphrase,20,same_entity,64,16,0.015625,0.0,0.046875,0.015625,0.0,0.046875,1.0,1,0.0
paraphrase,paraphrase,20,same_topic,64,16,0.0,0.0,0.0,0.03125,0.0,0.078125,nan,0,-0.03125
paraphrase,paraphrase,20,orthogonal,768,16,0.05859375,0.03125,0.0859375,0.078125,0.0390625,0.1171875,1.0,8,-0.01953125
paraphrase,paraphrase,40,q_now,64,16,0.140625,0.078125,0.203125,0.1875,0.109375,0.265625,1.0,9,-0.046875
paraphrase,paraphrase,40,any_future,960,16,0.10729166666666667,0.06666666666666667,0.146875,0.13749999999999998,0.09062500000000001,0.1875,1.0,11,-0.03020833333333331
paraphrase,paraphrase,40,paraphrase,64,16,0.140625,0.078125,0.203125,0.171875,0.109375,0.25,1.0,9,-0.03125
paraphrase,paraphrase,40,same_entity,64,16,0.140625,0.0625,0.234375,0.171875,0.09375,0.25,1.0,7,-0.03125
paraphrase,paraphrase,40,same_topic,64,16,0.015625,0.0,0.046875,0.03125,0.0,0.09375,1.0,1,-0.015625
paraphrase,paraphrase,40,orthogonal,768,16,0.109375,0.06640625,0.1484375,0.140625,0.09375,0.19140625,1.0,11,-0.03125
paraphrase,paraphrase,80,q_now,64,16,0.28125,0.21875,0.34375,0.296875,0.21875,0.375,0.9333333333333333,15,-0.015625
paraphrase,paraphrase,80,any_future,960,16,0.22708333333333333,0.18125000000000002,0.275,0.24687499999999998,0.20520833333333333,0.2885416666666667,0.9708333333333333,16,-0.019791666666666652
paraphrase,paraphrase,80,paraphrase,64,16,0.28125,0.21875,0.34375,0.296875,0.21875,0.375,0.9333333333333333,15,-0.015625
paraphrase,paraphrase,80,same_entity,64,16,0.21875,0.125,0.3125,0.265625,0.171875,0.359375,1.0,10,-0.046875
paraphrase,paraphrase,80,same_topic,64,16,0.140625,0.078125,0.203125,0.140625,0.078125,0.203125,1.0,9,0.0
paraphrase,paraphrase,80,orthogonal,768,16,0.23046875,0.18359375,0.27734375,0.25,0.20703125,0.29296875,0.96875,16,-0.01953125
paraphrase,paraphrase,160,q_now,64,16,0.40625,0.296875,0.515625,0.40625,0.296875,0.515625,0.9333333333333333,15,0.0
paraphrase,paraphrase,160,any_future,960,16,0.36875,0.3041666666666667,0.4354166666666667,0.3854166666666667,0.32291666666666663,0.44791666666666663,0.984494884910486,16,-0.016666666666666663
paraphrase,paraphrase,160,paraphrase,64,16,0.40625,0.296875,0.515625,0.4375,0.328125,0.53125,1.0,15,-0.03125
paraphrase,paraphrase,160,same_entity,64,16,0.375,0.265625,0.484375,0.390625,0.296875,0.46875,0.9761904761904762,14,-0.015625
paraphrase,paraphrase,160,same_topic,64,16,0.296875,0.21875,0.375,0.3125,0.234375,0.390625,1.0,14,-0.015625
paraphrase,paraphrase,160,orthogonal,768,16,0.37109375,0.3046875,0.4375,0.38671875,0.3203125,0.44921875,0.982638888888889,16,-0.015625
passthrough,passthrough (prefix),20,q_now,64,16,0.015625,0.0,0.046875,0.03125,0.0,0.078125,1.0,1,-0.015625
passthrough,passthrough (prefix),20,any_future,960,16,0.019791666666666666,0.004166666666666667,0.03854166666666667,0.03125,0.011458333333333334,0.053125000000000006,1.0,4,-0.011458333333333334
passthrough,passthrough (prefix),20,paraphrase,64,16,0.015625,0.0,0.046875,0.03125,0.0,0.078125,1.0,1,-0.015625
passthrough,passthrough (prefix),20,same_entity,64,16,0.046875,0.0,0.09375,0.046875,0.0,0.09375,1.0,3,0.0
passthrough,passthrough (prefix),20,same_topic,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
passthrough,passthrough (prefix),20,orthogonal,768,16,0.01953125,0.00390625,0.0390625,0.03125,0.01171875,0.0546875,1.0,4,-0.01171875
passthrough,passthrough (prefix),40,q_now,64,16,0.125,0.0625,0.1875,0.125,0.0625,0.1875,1.0,8,0.0
passthrough,passthrough (prefix),40,any_future,960,16,0.06666666666666667,0.03645833333333333,0.096875,0.07083333333333333,0.040625,0.1,1.0,9,-0.004166666666666666
passthrough,passthrough (prefix),40,paraphrase,64,16,0.125,0.0625,0.1875,0.125,0.0625,0.1875,1.0,8,0.0
passthrough,passthrough (prefix),40,same_entity,64,16,0.03125,0.0,0.078125,0.03125,0.0,0.078125,1.0,2,0.0
passthrough,passthrough (prefix),40,same_topic,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
passthrough,passthrough (prefix),40,orthogonal,768,16,0.0703125,0.0390625,0.1015625,0.07421875,0.04296875,0.10546875,1.0,9,-0.00390625
passthrough,passthrough (prefix),80,q_now,64,16,0.265625,0.25,0.296875,0.265625,0.25,0.296875,1.0,16,0.0
passthrough,passthrough (prefix),80,any_future,960,16,0.17395833333333333,0.15416666666666667,0.19687499999999997,0.17812499999999998,0.15416666666666667,0.20208333333333334,1.0,16,-0.004166666666666652
passthrough,passthrough (prefix),80,paraphrase,64,16,0.265625,0.25,0.296875,0.265625,0.25,0.296875,1.0,16,0.0
passthrough,passthrough (prefix),80,same_entity,64,16,0.171875,0.109375,0.21875,0.171875,0.109375,0.21875,1.0,11,0.0
passthrough,passthrough (prefix),80,same_topic,64,16,0.015625,0.0,0.046875,0.03125,0.0,0.078125,1.0,1,-0.015625
passthrough,passthrough (prefix),80,orthogonal,768,16,0.1796875,0.16015625,0.203125,0.18359375,0.16015625,0.20703125,1.0,16,-0.00390625
passthrough,passthrough (prefix),160,q_now,64,16,0.46875,0.421875,0.5,0.453125,0.40625,0.5,0.96875,16,0.015625
passthrough,passthrough (prefix),160,any_future,960,16,0.36875,0.3416666666666667,0.3927083333333333,0.36979166666666663,0.34791666666666665,0.38958333333333334,0.9927884615384616,16,-0.0010416666666666075
passthrough,passthrough (prefix),160,paraphrase,64,16,0.46875,0.421875,0.5,0.484375,0.453125,0.5,1.0,16,-0.015625
