policy,display,context_id,rotation_id,target_words,delivered_words,fill_ratio,source_words,retention_fraction,selected_unit_count,declared_selected_unit_count,units_skipped_for_fit,empty_message,over_budget
conditioned,summary_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,80,74,0.925,419,0.1766109785202864,0,,,False,False
conditioned,summary_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,80,71,0.8875,419,0.16945107398568018,0,,,False,False
generic,summary_generic,rel:15,-,160,141,0.88125,419,0.33651551312649164,0,,,False,False
generic,summary_generic,rel:15,-,20,19,0.95,419,0.045346062052505964,0,,,False,False
generic,summary_generic,rel:15,-,40,36,0.9,419,0.08591885441527446,0,,,False,False
generic,summary_generic,rel:15,-,80,76,0.95,419,0.18138424821002386,0,,,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,160,145,0.90625,419,0.3460620525059666,6,6,9,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,160,142,0.8875,419,0.33890214797136037,5,5,10,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,160,145,0.90625,419,0.3460620525059666,6,6,9,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,160,160,1.0,419,0.3818615751789976,6,6,9,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,40,32,0.8,419,0.07637231503579953,1,1,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,40,35,0.875,419,0.08353221957040573,1,1,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,40,29,0.725,419,0.06921241050119331,1,1,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,40,39,0.975,419,0.09307875894988067,2,2,13,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,80,78,0.975,419,0.18615751789976134,3,3,12,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,80,64,0.8,419,0.15274463007159905,2,2,13,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,80,68,0.85,419,0.162291169451074,3,3,12,False,False
lm_conditioned,lm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,80,74,0.925,419,0.1766109785202864,3,3,12,False,False
lm_generic,lm_elimination_generic,rel:15,-,160,152,0.95,419,0.3627684964200477,5,5,10,False,False
lm_generic,lm_elimination_generic,rel:15,-,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
lm_generic,lm_elimination_generic,rel:15,-,40,25,0.625,419,0.059665871121718374,1,1,14,False,False
lm_generic,lm_elimination_generic,rel:15,-,80,79,0.9875,419,0.18854415274463007,3,3,12,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,160,159,0.99375,419,0.3794749403341289,6,6,9,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,160,147,0.91875,419,0.35083532219570407,5,5,10,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,160,159,0.99375,419,0.3794749403341289,6,6,9,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,160,160,1.0,419,0.3818615751789976,6,6,9,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
