policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered
conditioned,40,34,64,35.34375,4.814721966951739,20.0,40.0,0.88359375,0.15625,0.171875,0.171875,0.96875,0.671875,1.484375,0.0,54,128,168.1875,65.484375,False
conditioned,80,68,64,71.921875,5.207761873411527,58.0,80.0,0.8990234374999999,0.125,0.1875,0.1875,0.84375,0.40625,1.359375,0.0,108,238,283.46875,135.25,False
generic,40,34,16,36.75,2.6708300832013507,31.0,40.0,0.91875,0.1875,0.25,0.25,1.0,1.875,0.1875,0.0,54,128,247.4375,68.8125,False
generic,80,68,16,72.9375,4.281257603399574,68.0,80.0,0.9117187499999999,0.0,0.0625,0.0625,0.6875,1.125,0.0625,0.0,108,238,294.5625,133.4375,False
oracle,40,34,16,32.4375,10.929890209878597,11.0,40.0,0.8109375000000001,0.25,0.5625,0.5625,1.0,2.75,0.0625,0.0,54,128,447.4375,70.5625,False
oracle,80,68,16,71.8125,4.292920528808642,62.0,77.0,0.89765625,0.125,0.25,0.25,0.9375,1.625,0.0625,0.0,108,238,444.625,140.625,False
reusable,40,34,64,35.90625,3.0897616387234446,25.0,40.0,0.89765625,0.078125,0.09375,0.09375,0.5625,0.734375,0.375,0.0,54,128,139.8125,66.671875,False
reusable,80,68,64,73.25,4.159517676556658,60.0,80.0,0.915625,0.0625,0.109375,0.109375,0.546875,0.53125,0.578125,0.0,108,238,255.0625,136.28125,False
