comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,conditioned,generic,80,retained,now,em,0.32291666666666663,0.18229166666666669,0.46354166666666663,0.0,16,1.1132177606688194
conditioned_minus_generic,conditioned,generic,80,retained,now,f1,0.2236111111111111,0.11076388888888888,0.3321223958333333,0.0,16,0.9555835765738937
conditioned_minus_generic,conditioned,generic,80,retained,now,judge_correct,0.265625,0.15625,0.375,0.0,16,1.1440615418736018
conditioned_minus_generic,conditioned,generic,80,retained,future,em,-0.351176341020091,-0.42726859078421575,-0.27887123293373295,0.0,16,-2.2756592641599145
conditioned_minus_generic,conditioned,generic,80,retained,future,f1,-0.385464362026862,-0.4359046474358974,-0.33586620497558,0.0,16,-3.6872958701988443
conditioned_minus_generic,conditioned,generic,80,retained,future,judge_correct,-0.42008928571428567,-0.4773809523809523,-0.36041666666666666,0.0,16,-3.418324257403905
conditioned_minus_generic,conditioned,generic,80,specialisation_did,now_minus_future,em,0.5708333333333333,0.46664062500000014,0.6625000000000001,0.0,16,2.8274581405520904
conditioned_minus_generic,conditioned,generic,80,specialisation_did,now_minus_future,f1,0.555604332010582,0.4676487268518519,0.6281406663359789,0.0,16,3.3408733042795395
conditioned_minus_generic,conditioned,generic,80,specialisation_did,now_minus_future,judge_correct,0.6875,0.6114322916666668,0.7614583333333333,0.0,16,4.34652225767814
conditioned_minus_reusable,conditioned,reusable,40,utility,now,em,-0.078125,-0.15625,0.0,0.052,16,-0.5190342490858748
conditioned_minus_reusable,conditioned,reusable,40,utility,now,f1,-0.05171130952380953,-0.1015625,-0.006696428571428575,0.037,16,-0.5117122980413418
conditioned_minus_reusable,conditioned,reusable,40,utility,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,40,utility,future,em,-0.05729166666666667,-0.07395833333333333,-0.04166666666666667,0.0,16,-1.7196458822604703
conditioned_minus_reusable,conditioned,reusable,40,utility,future,f1,-0.06549437830687829,-0.08217555390211638,-0.048266224371693124,0.0,16,-1.8382618026747144
conditioned_minus_reusable,conditioned,reusable,40,utility,future,judge_correct,-0.07395833333333333,-0.09583333333333333,-0.053125000000000006,0.0,16,-1.6542373342654286
conditioned_minus_reusable,conditioned,reusable,40,utility,gap,em,-0.020833333333333356,-0.09791666666666667,0.05729166666666664,0.5898,16,-0.12762191162964767
conditioned_minus_reusable,conditioned,reusable,40,utility,gap,f1,0.013783068783068744,-0.04395161623677254,0.06615391451719574,0.631,16,0.11782340345306565
conditioned_minus_reusable,conditioned,reusable,40,utility,gap,judge_correct,0.07395833333333332,0.05312499999999999,0.09583333333333334,0.0,16,1.6542373342654273
conditioned_minus_reusable,conditioned,reusable,40,regret,now,em,0.078125,0.0,0.15625,0.052,16,0.5190342490858748
conditioned_minus_reusable,conditioned,reusable,40,regret,now,f1,0.05171130952380953,0.006696428571428575,0.1015625,0.037,16,0.5117122980413418
conditioned_minus_reusable,conditioned,reusable,40,regret,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,40,regret,future,em,0.05729166666666667,0.04166666666666666,0.07395833333333329,0.0,16,1.7196458822604708
conditioned_minus_reusable,conditioned,reusable,40,regret,future,f1,0.06549437830687833,0.04826622437169313,0.08217555390211642,0.0,16,1.8382618026747155
conditioned_minus_reusable,conditioned,reusable,40,regret,future,judge_correct,0.07395833333333333,0.053125,0.09583333333333335,0.0,16,1.6542373342654277
conditioned_minus_reusable,conditioned,reusable,40,retained,now,em,-0.11458333333333334,-0.21354166666666669,-0.020833333333333336,0.0214,16,-0.5684925335338721
conditioned_minus_reusable,conditioned,reusable,40,retained,now,f1,-0.07328869047619047,-0.13282180059523804,-0.024181547619047616,0.0086,16,-0.6471641539349524
conditioned_minus_reusable,conditioned,reusable,40,retained,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,40,retained,future,em,-0.06400665306915307,-0.08171163688741814,-0.045499843038905544,0.0,16,-1.6954487828437923
conditioned_minus_reusable,conditioned,reusable,40,retained,future,f1,-0.07043213813303098,-0.08974371681765653,-0.04960087977498694,0.0,16,-1.6776536432876696
conditioned_minus_reusable,conditioned,reusable,40,retained,future,judge_correct,-0.07299107142857143,-0.09583333333333333,-0.052083333333333336,0.0,16,-1.5936909509733328
conditioned_minus_reusable,conditioned,reusable,40,specialisation_did,now_minus_future,em,-0.020833333333333356,-0.09687500000000002,0.059401041666666286,0.6014,16,-0.12762191162964767
conditioned_minus_reusable,conditioned,reusable,40,specialisation_did,now_minus_future,f1,0.013783068783068744,-0.044748573908730195,0.06768287037037035,0.6256,16,0.11782340345306565
conditioned_minus_reusable,conditioned,reusable,40,specialisation_did,now_minus_future,judge_correct,0.07395833333333332,0.05416666666666664,0.0958333333333333,0.0,16,1.6542373342654273
conditioned_minus_reusable,conditioned,reusable,80,utility,now,em,0.046875,0.0,0.125,0.2416,16,0.34472891983269127
conditioned_minus_reusable,conditioned,reusable,80,utility,now,f1,0.0390625,0.0,0.09375,0.217,16,0.35787395894616764
conditioned_minus_reusable,conditioned,reusable,80,utility,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,80,utility,future,em,-0.17291666666666666,-0.21979166666666666,-0.12705729166666704,0.0,16,-1.7867582217954765
conditioned_minus_reusable,conditioned,reusable,80,utility,future,f1,-0.17328786375661376,-0.21607597552910052,-0.1315136822089947,0.0,16,-1.96533235377175
conditioned_minus_reusable,conditioned,reusable,80,utility,future,judge_correct,-0.20520833333333333,-0.2520833333333333,-0.15833333333333333,0.0,16,-2.0842962948621575
conditioned_minus_reusable,conditioned,reusable,80,utility,gap,em,0.2197916666666666,0.15104166666666663,0.2947916666666667,0.0,16,1.4929112415041101
conditioned_minus_reusable,conditioned,reusable,80,utility,gap,f1,0.21235036375661373,0.15344733796296295,0.27332401207010565,0.0,16,1.7238816748675354
conditioned_minus_reusable,conditioned,reusable,80,utility,gap,judge_correct,0.20520833333333333,0.15833333333333333,0.2520833333333333,0.0,16,2.084296294862157
conditioned_minus_reusable,conditioned,reusable,80,regret,now,em,-0.046875,-0.125,0.0,0.2416,16,-0.34472891983269127
conditioned_minus_reusable,conditioned,reusable,80,regret,now,f1,-0.0390625,-0.09375,0.0,0.217,16,-0.35787395894616764
conditioned_minus_reusable,conditioned,reusable,80,regret,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,80,regret,future,em,0.17291666666666666,0.12705729166666677,0.21979166666666666,0.0,16,1.7867582217954767
conditioned_minus_reusable,conditioned,reusable,80,regret,future,f1,0.17328786375661379,0.1315136822089947,0.21607597552910052,0.0,16,1.9653323537717498
conditioned_minus_reusable,conditioned,reusable,80,regret,future,judge_correct,0.20520833333333333,0.15833333333333333,0.2520833333333333,0.0,16,2.084296294862157
conditioned_minus_reusable,conditioned,reusable,80,retained,now,em,0.052083333333333336,0.0,0.125,0.217,16,0.3578739589461677
conditioned_minus_reusable,conditioned,reusable,80,retained,now,f1,0.0390625,0.0,0.09375,0.217,16,0.35787395894616764
conditioned_minus_reusable,conditioned,reusable,80,retained,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,80,retained,future,em,-0.20452707015207017,-0.2621324053550616,-0.14808573587870463,0.0,16,-1.7348091683241056
