policy,budget_words,metric,u_now,u_future,cost_words,dominated,dominated_by,dominated_within_budget
conditioned,40,judge_correct,0.984375,0.13437500000000002,35.34375,False,,True
conditioned,80,judge_correct,1.0,0.19166666666666668,71.921875,False,,True
generic,40,judge_correct,0.546875,0.40520833333333334,36.75,True,oracle@40w,True
generic,80,judge_correct,0.734375,0.6135416666666667,72.9375,True,oracle@40w;oracle@80w,True
oracle,40,judge_correct,0.78125,0.7312500000000001,32.4375,False,,False
oracle,80,judge_correct,0.9375,0.925,71.8125,False,,False
reusable,40,judge_correct,0.984375,0.20833333333333331,35.90625,False,,False
reusable,80,judge_correct,1.0,0.396875,73.25,False,,False
