comparison,condition,f,filler_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,f0,0,none,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f0,0,none,1,f1,0.005820527965954577,-0.05586120679276766,0.08196333440294884,0.8727,20
depth_minus_depth0,f0,0,none,3,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f0,0,none,3,f1,-0.039330710860420365,-0.10759166622707483,0.017019568308822352,0.2149,20
depth_minus_depth0,f0,0,none,5,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f0,0,none,5,f1,-0.034367179433120704,-0.10590609440406974,0.02908994129241303,0.3199,20
depth_minus_depth0,f3_inert,3,inert,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f3_inert,3,inert,1,f1,-0.0006178924837943883,-0.03693488038394218,0.03144266994204986,0.9677,20
depth_minus_depth0,f3_inert,3,inert,3,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f3_inert,3,inert,3,f1,-0.041642108877828855,-0.08965160568989321,0.0035832661032881795,0.0798,20
depth_minus_depth0,f3_inert,3,inert,5,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f3_inert,3,inert,5,f1,-0.008258342495137327,-0.04368778665593869,0.02882763103434828,0.6428,20
depth_minus_depth0,f6_inert,6,inert,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f6_inert,6,inert,1,f1,0.07770573298421049,0.009302744598290625,0.16178810948092726,0.0438,20
depth_minus_depth0,f6_inert,6,inert,3,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f6_inert,6,inert,3,f1,0.00993405386343035,-0.05464311900521533,0.08327481671954562,0.7808,20
depth_minus_depth0,f6_inert,6,inert,5,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f6_inert,6,inert,5,f1,-0.038170269732825446,-0.09841655676293316,0.01822344532692594,0.1972,20
depth_minus_depth0,f3_near_miss,3,near_miss,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f3_near_miss,3,near_miss,1,f1,0.012063270551970167,-0.05906032321660691,0.08471935864834103,0.7405,20
depth_minus_depth0,f3_near_miss,3,near_miss,3,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f3_near_miss,3,near_miss,3,f1,0.02672143330820732,-0.05697812355123455,0.11141468584781111,0.5311,20
depth_minus_depth0,f3_near_miss,3,near_miss,5,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f3_near_miss,3,near_miss,5,f1,-0.046255821188465794,-0.12334834754596453,0.02724205870879027,0.2371,20
depth_minus_depth0,f6_near_miss,6,near_miss,1,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f6_near_miss,6,near_miss,1,f1,-0.02814804014202618,-0.07821750446875426,0.01885970319919732,0.2514,20
depth_minus_depth0,f6_near_miss,6,near_miss,3,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f6_near_miss,6,near_miss,3,f1,-0.002479164727239683,-0.04834732750806145,0.04767442848441893,0.9164,20
depth_minus_depth0,f6_near_miss,6,near_miss,5,em,0.0,0.0,0.0,1.0,20
depth_minus_depth0,f6_near_miss,6,near_miss,5,f1,0.0030587017450321883,-0.04993048258312359,0.057190351312752775,0.9056,20
