comparison,condition,f,filler_type,stage,metric,delta,lo,hi,p_value,n
filler_minus_nofiller,f3_inert,3,inert,1,answer_recall,-0.004885800757312373,-0.050605324652211986,0.04556222416323666,0.8429,20
filler_minus_nofiller,f3_inert,3,inert,1,gold_overlap,-0.0047655252263160836,-0.06495053943203512,0.058676404394059724,0.8845,20
filler_minus_nofiller,f3_inert,3,inert,1,answer_f1,0.04252388401045436,-0.052374990221596626,0.13160913973276908,0.3589,20
filler_minus_nofiller,f3_inert,3,inert,3,answer_recall,0.014443384996959994,-0.0673181767597438,0.12081038221319486,0.7607,20
filler_minus_nofiller,f3_inert,3,inert,3,gold_overlap,-0.018405391452160014,-0.08595917591548732,0.04747707188573415,0.5996,20
filler_minus_nofiller,f3_inert,3,inert,3,answer_f1,0.046650906442794834,-0.02636692691929512,0.13023651110313286,0.2446,20
filler_minus_nofiller,f3_inert,3,inert,5,answer_recall,0.03702019738937491,-0.0691360418560085,0.17515396700079305,0.5713,20
filler_minus_nofiller,f3_inert,3,inert,5,gold_overlap,0.01528912566924591,-0.07565508211696055,0.12596467704181993,0.7699,20
filler_minus_nofiller,f3_inert,3,inert,5,answer_f1,0.07507114139818669,0.01152176159487877,0.14630605699423133,0.0275,20
filler_minus_nofiller,f6_inert,6,inert,1,answer_recall,-0.018189785067973734,-0.09849523157553254,0.053939992185959934,0.6467,20
filler_minus_nofiller,f6_inert,6,inert,1,gold_overlap,-0.032610274973666795,-0.10957656770053506,0.04204486976658621,0.3971,20
filler_minus_nofiller,f6_inert,6,inert,1,answer_f1,0.1166036136948436,0.03792894827816933,0.21609098158970913,0.0122,20
filler_minus_nofiller,f6_inert,6,inert,3,answer_recall,-0.0056599386920477,-0.11034929114521833,0.11519873768084583,0.927,20
filler_minus_nofiller,f6_inert,6,inert,3,gold_overlap,-0.05888632604500713,-0.12232722676685957,0.006300780930219032,0.0722,20
filler_minus_nofiller,f6_inert,6,inert,3,answer_f1,0.09398317340043842,0.003172542319191045,0.19354550730284714,0.0515,20
filler_minus_nofiller,f6_inert,6,inert,5,answer_recall,-0.02866844230044669,-0.1546352714755877,0.1072014950847906,0.657,20
filler_minus_nofiller,f6_inert,6,inert,5,gold_overlap,-0.04413455521989833,-0.12523703162940747,0.036545739763703754,0.292,20
filler_minus_nofiller,f6_inert,6,inert,5,answer_f1,0.04091531837688297,-0.032673922589700026,0.11279013226165725,0.2715,20
filler_minus_nofiller,f3_near_miss,3,near_miss,1,answer_recall,-0.025201629283327524,-0.10944672841116403,0.03810172618445698,0.5177,20
filler_minus_nofiller,f3_near_miss,3,near_miss,1,gold_overlap,-0.03441113664493008,-0.09449670225700794,0.016319930926031925,0.2169,20
filler_minus_nofiller,f3_near_miss,3,near_miss,1,answer_f1,0.007253717376544941,-0.08027393880631735,0.09014610633908766,0.8707,20
filler_minus_nofiller,f3_near_miss,3,near_miss,3,answer_recall,-0.024279242183855458,-0.1299829627705892,0.08252719515524051,0.6479,20
filler_minus_nofiller,f3_near_miss,3,near_miss,3,gold_overlap,-0.067642659024753,-0.13995145462470066,-0.003887503090407008,0.0516,20
filler_minus_nofiller,f3_near_miss,3,near_miss,3,answer_f1,0.06706311895915704,-0.024919735460360304,0.16785453539855502,0.1775,20
filler_minus_nofiller,f3_near_miss,3,near_miss,5,answer_recall,0.002051885145287223,-0.10213379845248285,0.1050129696094378,0.9675,20
filler_minus_nofiller,f3_near_miss,3,near_miss,5,gold_overlap,-0.03703179187066494,-0.11013145830073234,0.02663263325515256,0.2939,20
filler_minus_nofiller,f3_near_miss,3,near_miss,5,answer_f1,-0.01087766696481574,-0.09800236424294546,0.07210422330850966,0.8009,20
filler_minus_nofiller,f6_near_miss,6,near_miss,1,answer_recall,-0.0897010626543094,-0.1622045188463785,-0.023457454483269757,0.0107,20
filler_minus_nofiller,f6_near_miss,6,near_miss,1,gold_overlap,-0.0877382212702576,-0.14517894330317815,-0.030305193460937737,0.0028,20
filler_minus_nofiller,f6_near_miss,6,near_miss,1,answer_f1,-0.06440318079614714,-0.1541276359475588,0.019288656840736062,0.1427,20
filler_minus_nofiller,f6_near_miss,6,near_miss,3,answer_recall,-0.036932206318169736,-0.15125185353342613,0.0911270815870373,0.5487,20
filler_minus_nofiller,f6_near_miss,6,near_miss,3,gold_overlap,-0.08477914669642699,-0.1631526832774484,-0.0108449323555969,0.0294,20
filler_minus_nofiller,f6_near_miss,6,near_miss,3,answer_f1,0.00641693344501431,-0.05653133202122765,0.07231325580876792,0.8471,20
filler_minus_nofiller,f6_near_miss,6,near_miss,5,answer_recall,-0.006301689294210082,-0.1069908472382297,0.11154499158669177,0.9099,20
filler_minus_nofiller,f6_near_miss,6,near_miss,5,gold_overlap,-0.045873030945234844,-0.11008173226728969,0.016880967678662255,0.1608,20
filler_minus_nofiller,f6_near_miss,6,near_miss,5,answer_f1,0.006991268489986503,-0.06541419439784922,0.08503226184003813,0.8564,20
