comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,switching,target,5,em,-0.2,-0.6,0.2,0.4311,10
switching_minus_fixed,conditioned,target,5,em,-0.2,-0.5,0.0,0.2265,10
switching_minus_fixed,generic,target,5,em,0.0,-0.4,0.4,1.0,10
conditioning_x_switching_interaction,factorial,target,5,em,-0.2,-0.6,0.2,0.4313,10
conditioned_minus_generic,fixed,target,5,f1,-0.002777777777777779,-0.30277777777777776,0.2972222222222222,0.8674,10
conditioned_minus_generic,switching,target,5,f1,-0.12166666666666667,-0.425,0.2,0.4423,10
switching_minus_fixed,conditioned,target,5,f1,-0.06388888888888891,-0.4,0.22777777777777777,0.7092,10
switching_minus_fixed,generic,target,5,f1,0.05500000000000001,-0.26000000000000006,0.375,0.759,10
conditioning_x_switching_interaction,factorial,target,5,f1,-0.1188888888888889,-0.4133333333333333,0.1733333333333333,0.4181,10
conditioned_minus_generic,fixed,target,5,judge_correct,0.0,-0.4,0.4,1.0,10
conditioned_minus_generic,switching,target,5,judge_correct,-0.2,-0.6,0.3,0.5337,10
switching_minus_fixed,conditioned,target,5,judge_correct,0.0,-0.4,0.4,1.0,10
switching_minus_fixed,generic,target,5,judge_correct,0.2,-0.2,0.6,0.4274,10
conditioning_x_switching_interaction,factorial,target,5,judge_correct,-0.2,-0.7,0.4,0.5846,10
conditioned_minus_generic,fixed,target,6,em,0.1,0.0,0.3,0.6098,10
conditioned_minus_generic,switching,target,6,em,-0.2,-0.5,0.0,0.2272,10
switching_minus_fixed,conditioned,target,6,em,-0.3,-0.6,0.0,0.0714,10
switching_minus_fixed,generic,target,6,em,0.0,-0.3,0.3,1.0,10
conditioning_x_switching_interaction,factorial,target,6,em,-0.3,-0.6,0.0,0.0721,10
conditioned_minus_generic,fixed,target,6,f1,0.09722222222222222,-0.008333333333333337,0.3,0.6007,10
conditioned_minus_generic,switching,target,6,f1,-0.14404761904761904,-0.4440476190476191,0.13333333333333333,0.3688,10
switching_minus_fixed,conditioned,target,6,f1,-0.18055555555555558,-0.55,0.1833333333333333,0.3386,10
switching_minus_fixed,generic,target,6,f1,0.06071428571428571,-0.225,0.3321428571428572,0.7643,10
conditioning_x_switching_interaction,factorial,target,6,f1,-0.24126984126984125,-0.5916666666666667,0.08928571428571427,0.1662,10
conditioned_minus_generic,fixed,target,6,judge_correct,0.0,-0.4,0.4,1.0,10
conditioned_minus_generic,switching,target,6,judge_correct,-0.1,-0.5,0.3,0.8211,10
switching_minus_fixed,conditioned,target,6,judge_correct,-0.1,-0.4,0.2,0.7741,10
switching_minus_fixed,generic,target,6,judge_correct,0.0,-0.3,0.3,1.0,10
conditioning_x_switching_interaction,factorial,target,6,judge_correct,-0.1,-0.6,0.5,0.8513,10
conditioned_minus_generic,fixed,heldout,1,em,-0.2,-0.5,0.0,0.2334,10
conditioned_minus_generic,switching,heldout,1,em,-0.2,-0.5,0.0,0.2334,10
switching_minus_fixed,conditioned,heldout,1,em,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,1,em,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,1,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,heldout,1,f1,-0.2,-0.5,0.0,0.2334,10
conditioned_minus_generic,switching,heldout,1,f1,-0.2,-0.5,0.0,0.2334,10
switching_minus_fixed,conditioned,heldout,1,f1,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,1,f1,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,1,f1,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,heldout,1,judge_correct,-0.3,-0.6,0.0,0.0758,10
conditioned_minus_generic,switching,heldout,1,judge_correct,-0.3,-0.6,0.0,0.0758,10
switching_minus_fixed,conditioned,heldout,1,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,heldout,2,em,-0.3,-0.6,0.0,0.0735,10
conditioned_minus_generic,switching,heldout,2,em,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,conditioned,heldout,2,em,0.2,-0.2,0.6,0.4283,10
switching_minus_fixed,generic,heldout,2,em,-0.1,-0.4,0.2,0.7675,10
conditioning_x_switching_interaction,factorial,heldout,2,em,0.3,0.0,0.6,0.0736,10
conditioned_minus_generic,fixed,heldout,2,f1,-0.3,-0.6,0.0,0.0735,10
conditioned_minus_generic,switching,heldout,2,f1,-0.05,-0.3,0.15,0.8417,10
switching_minus_fixed,conditioned,heldout,2,f1,0.2,-0.2,0.6,0.4283,10
switching_minus_fixed,generic,heldout,2,f1,-0.05,-0.4,0.3,0.903,10
conditioning_x_switching_interaction,factorial,heldout,2,f1,0.25,0.0,0.5,0.0755,10
conditioned_minus_generic,fixed,heldout,2,judge_correct,-0.5,-0.8,-0.2,0.002,10
conditioned_minus_generic,switching,heldout,2,judge_correct,-0.4,-0.7,-0.1,0.021,10
switching_minus_fixed,conditioned,heldout,2,judge_correct,0.2,0.0,0.5,0.2256,10
switching_minus_fixed,generic,heldout,2,judge_correct,0.1,0.0,0.3,0.6084,10
conditioning_x_switching_interaction,factorial,heldout,2,judge_correct,0.1,-0.2,0.4,0.7593,10
conditioned_minus_generic,fixed,heldout,3,em,-0.3,-0.6,0.0,0.0735,10
conditioned_minus_generic,switching,heldout,3,em,-0.1,-0.4,0.2,0.7703,10
switching_minus_fixed,conditioned,heldout,3,em,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,generic,heldout,3,em,-0.2,-0.6,0.2,0.4243,10
conditioning_x_switching_interaction,factorial,heldout,3,em,0.2,-0.2,0.7,0.5326,10
conditioned_minus_generic,fixed,heldout,3,f1,-0.25,-0.6,0.05,0.1709,10
conditioned_minus_generic,switching,heldout,3,f1,-0.1,-0.4,0.2,0.7703,10
switching_minus_fixed,conditioned,heldout,3,f1,-0.05,-0.35,0.25,0.8774,10
switching_minus_fixed,generic,heldout,3,f1,-0.2,-0.6,0.2,0.4243,10
conditioning_x_switching_interaction,factorial,heldout,3,f1,0.15,-0.3,0.65,0.6275,10
