arm,conditioning,schedule,query_type,depth,n,summary_characters_mean,summary_words_mean,language_match_rate,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
generic_fixed,generic,fixed,target,6,10,655.1,97.7,1.0,0.3,0.0,0.6,0.325,0.075,0.625,0.6,0.3,0.9
generic_switching,generic,switching,heldout,1,10,836.4,124.5,1.0,0.4,0.1,0.7,0.4,0.1,0.7,0.8,0.5,1.0
generic_switching,generic,switching,heldout,2,10,836.4,126.8,1.0,0.4,0.1,0.7,0.45,0.15,0.75,1.0,1.0,1.0
generic_switching,generic,switching,heldout,3,10,891.9,137.7,1.0,0.3,0.0,0.6,0.3,0.0,0.6,0.9,0.7,1.0
generic_switching,generic,switching,heldout,4,10,797.3,122.9,0.9,0.3,0.0,0.6,0.3,0.0,0.6,0.9,0.7,1.0
generic_switching,generic,switching,heldout,5,10,731.2,110.1,1.0,0.5,0.2,0.8,0.55,0.25,0.85,0.9,0.7,1.0
generic_switching,generic,switching,heldout,6,10,732.6,109.8,1.0,0.3,0.0,0.6,0.3833,0.1333,0.65,0.9,0.7,1.0
generic_switching,generic,switching,target,1,10,836.4,124.5,1.0,0.4,0.1,0.7,0.425,0.125,0.725,0.7,0.4,1.0
generic_switching,generic,switching,target,2,10,836.4,126.8,1.0,0.4,0.1,0.7,0.4,0.1,0.7,0.8,0.5,1.0
generic_switching,generic,switching,target,3,10,891.9,137.7,1.0,0.3,0.0,0.6,0.38,0.1,0.68,0.7,0.4,1.0
generic_switching,generic,switching,target,4,10,797.3,122.9,0.9,0.3,0.0,0.6,0.38,0.1,0.68,0.8,0.5,1.0
generic_switching,generic,switching,target,5,10,731.2,110.1,1.0,0.4,0.1,0.7,0.48,0.18,0.78,0.8,0.5,1.0
generic_switching,generic,switching,target,6,10,732.6,109.8,1.0,0.3,0.0,0.6,0.3857,0.1,0.6857,0.6,0.3,0.9
