context_id,dataset,rotation_id,cond_qid,policy,budget_words,n_hidden,message_key,delivered_words,fill_ratio,truncated,attempts,message_shared_across_rotations,now_em,future_em,gap_em,ceiling_now_em,ceiling_future_em,regret_now_em,regret_future_em,retained_now_em,retained_future_em,n_ceiling_now_em,n_ceiling_future_em,now_f1,future_f1,gap_f1,ceiling_now_f1,ceiling_future_f1,regret_now_f1,regret_future_f1,retained_now_f1,retained_future_f1,n_ceiling_now_f1,n_ceiling_future_f1,now_judge_correct,future_judge_correct,gap_judge_correct,ceiling_now_judge_correct,ceiling_future_judge_correct,regret_now_judge_correct,regret_future_judge_correct,retained_now_judge_correct,retained_future_judge_correct,n_ceiling_now_judge_correct,n_ceiling_future_judge_correct
rel:11,relation_dossiers,rel:11|cond=rel:11:custom:anchor,rel:11:custom:anchor,oracle,80,15,rel:11|oracle|w80|-,76,0.95,False,4,True,0.0,0.6666666666666666,-0.6666666666666666,1.0,0.8666666666666667,1.0,0.20000000000000007,0.0,0.7692307692307693,1,13,0.0,0.7333333333333333,-0.7333333333333333,1.0,0.9333333333333333,1.0,0.20000000000000007,0.0,0.7333333333333333,1,15,0.0,0.8,-0.8,1.0,1.0,1.0,0.19999999999999996,0.0,0.8,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:custom:anchor,rel:11:custom:anchor,oracle,160,15,rel:11|oracle|w160|-,136,0.85,False,2,True,1.0,0.8666666666666667,0.1333333333333333,1.0,0.8666666666666667,0.0,0.0,1.0,1.0,1,13,1.0,0.9333333333333333,0.06666666666666665,1.0,0.9333333333333333,0.0,0.0,1.0,0.9333333333333333,1,15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:custom:anchor,rel:11:custom:anchor,reusable,20,15,rel:11|reusable|w20|rel:11|cond=rel:11:custom:anchor,18,0.9,False,2,False,1.0,0.06666666666666667,0.9333333333333333,1.0,0.8666666666666667,0.0,0.8,1.0,0.07692307692307693,1,13,1.0,0.06666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.0,0.8666666666666667,1.0,0.06666666666666667,1,15,1.0,0.06666666666666667,0.9333333333333333,1.0,1.0,0.0,0.9333333333333333,1.0,0.06666666666666667,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:custom:anchor,rel:11:custom:anchor,reusable,40,15,rel:11|reusable|w40|rel:11|cond=rel:11:custom:anchor,39,0.975,False,1,False,1.0,0.06666666666666667,0.9333333333333333,1.0,0.8666666666666667,0.0,0.8,1.0,0.07692307692307693,1,13,1.0,0.06666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.0,0.8666666666666667,1.0,0.06666666666666667,1,15,1.0,0.06666666666666667,0.9333333333333333,1.0,1.0,0.0,0.9333333333333333,1.0,0.06666666666666667,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:custom:anchor,rel:11:custom:anchor,reusable,80,15,rel:11|reusable|w80|rel:11|cond=rel:11:custom:anchor,72,0.9,False,1,False,1.0,0.13333333333333333,0.8666666666666667,1.0,0.8666666666666667,0.0,0.7333333333333334,1.0,0.15384615384615385,1,13,1.0,0.13333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.0,0.8,1.0,0.13333333333333333,1,15,1.0,0.13333333333333333,0.8666666666666667,1.0,1.0,0.0,0.8666666666666667,1.0,0.13333333333333333,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:custom:anchor,rel:11:custom:anchor,reusable,160,15,rel:11|reusable|w160|rel:11|cond=rel:11:custom:anchor,139,0.86875,False,1,False,1.0,0.26666666666666666,0.7333333333333334,1.0,0.8666666666666667,0.0,0.6000000000000001,1.0,0.3076923076923077,1,13,1.0,0.26666666666666666,0.7333333333333334,1.0,0.9333333333333333,0.0,0.6666666666666667,1.0,0.26666666666666666,1,15,1.0,0.26666666666666666,0.7333333333333334,1.0,1.0,0.0,0.7333333333333334,1.0,0.26666666666666666,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:facilities:anchor,rel:11:facilities:anchor,conditioned,20,15,rel:11|conditioned|w20|rel:11|cond=rel:11:facilities:anchor,17,0.85,False,1,False,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.9333333333333333,nan,0.0,0,14,0.5,0.075,0.425,0.5,0.9666666666666667,0.0,0.8916666666666667,0.5,0.075,1,15,1.0,0.06666666666666667,0.9333333333333333,1.0,1.0,0.0,0.9333333333333333,1.0,0.06666666666666667,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:facilities:anchor,rel:11:facilities:anchor,conditioned,40,15,rel:11|conditioned|w40|rel:11|cond=rel:11:facilities:anchor,34,0.85,False,2,False,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.9333333333333333,nan,0.0,0,14,0.5,0.075,0.425,0.5,0.9666666666666667,0.0,0.8916666666666667,0.5,0.075,1,15,1.0,0.06666666666666667,0.9333333333333333,1.0,1.0,0.0,0.9333333333333333,1.0,0.06666666666666667,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:facilities:anchor,rel:11:facilities:anchor,conditioned,80,15,rel:11|conditioned|w80|rel:11|cond=rel:11:facilities:anchor,79,0.9875,False,2,False,0.0,0.06666666666666667,-0.06666666666666667,0.0,0.9333333333333333,0.0,0.8666666666666667,nan,0.07142857142857142,0,14,0.5,0.1,0.4,0.5,0.9666666666666667,0.0,0.8666666666666667,0.5,0.1,1,15,1.0,0.13333333333333333,0.8666666666666667,1.0,1.0,0.0,0.8666666666666667,1.0,0.13333333333333333,1,15
rel:11,relation_dossiers,rel:11|cond=rel:11:facilities:anchor,rel:11:facilities:anchor,conditioned,160,15,rel:11|conditioned|w160|rel:11|cond=rel:11:facilities:anchor,147,0.91875,False,2,False,0.0,0.06666666666666667,-0.06666666666666667,0.0,0.9333333333333333,0.0,0.8666666666666667,nan,0.07142857142857142,0,14,0.5,0.12222222222222222,0.37777777777777777,0.5,0.9666666666666667,0.0,0.8444444444444444,0.5,0.12222222222222222,1,15,1.0,0.13333333333333333,0.8666666666666667,1.0,1.0,0.0,0.8666666666666667,1.0,0.13333333333333333,1,15
