baseline,metric,mean,lo,hi,n_contexts,n_answers
direct_context,em,0.84375,0.796875,0.88671875,16,256
direct_context,f1,0.9255208333333333,0.9036458333333333,0.9464843749999999,16,256
direct_context,judge_correct,0.9921875,0.9765625,1.0,16,256
closed_book,em,0.0,0.0,0.0,16,768
closed_book,f1,0.011613343253968254,0.005493551587301587,0.018446180555555552,16,768
closed_book,judge_correct,0.0,0.0,0.0,16,768
