quantity,policy,metric,low_budget_words,high_budget_words,delta,lo,hi,p_value,n,cohens_dz
gap_low_minus_high,conditioned,em,20,160,0.07916666666666662,0.00833333333333329,0.146875,0.0258,16,0.5389845005614661
gap_low_minus_high,conditioned,f1,20,160,0.09603587962962959,0.048891915954415936,0.14941865794795475,0.0002,16,0.9053788446637283
gap_low_minus_high,conditioned,judge_correct,20,160,0.12187500000000001,0.08020833333333335,0.16979166666666667,0.0,16,1.2698202472136353
gap_low_minus_high,generic,em,20,160,-0.03750000000000002,-0.11250000000000002,0.04166666666666666,0.3222,16,-0.2297194409333656
gap_low_minus_high,generic,f1,20,160,-0.04634920634920636,-0.11982465277777779,0.029058035714285703,0.2289,16,-0.29282550643952565
gap_low_minus_high,generic,judge_correct,20,160,-0.0625,-0.1375,0.016666666666666677,0.1336,16,-0.37264732695013514
gap_low_minus_high,oracle,em,20,160,0.07083333333333333,0.012500000000000002,0.12916666666666668,0.0202,16,0.5765749303488216
gap_low_minus_high,oracle,f1,20,160,0.024039051226551235,-0.020340999278499278,0.06935878878066377,0.2894,16,0.25974162515336424
gap_low_minus_high,oracle,judge_correct,20,160,0.008333333333333325,-0.02500000000000001,0.04166666666666665,0.7164,16,0.11490963994423031
gap_low_minus_high,reusable,em,20,160,0.2104166666666666,0.1343489583333335,0.28440104166666635,0.0,16,1.2949569361938362
gap_low_minus_high,reusable,f1,20,160,0.2422587830985664,0.1864331288627559,0.30203819813536453,0.0,16,1.9662287727366743
gap_low_minus_high,reusable,judge_correct,20,160,0.3,0.23958333333333334,0.3666666666666666,0.0,16,2.20454076850486
conditioning_gap_low_minus_high,conditioned_minus_generic,em,20,160,0.11666666666666664,0.007291666666666606,0.22916666666666669,0.0402,16,0.49780367243653517
conditioning_gap_low_minus_high,conditioned_minus_generic,f1,20,160,0.14238508597883595,0.05122054175569797,0.23460194088319083,0.0019,16,0.736792859190488
conditioning_gap_low_minus_high,conditioned_minus_generic,judge_correct,20,160,0.18437499999999998,0.08020833333333331,0.28541666666666665,0.0002,16,0.8503014274593012
