comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,conditioned,generic,40,retained,now,em,0.6770833333333333,0.5729166666666667,0.7760416666666667,0.0,16,3.1507398582135173
conditioned_minus_generic,conditioned,generic,40,retained,now,f1,0.5786954365079364,0.5016121031746033,0.6493055555555556,0.0,16,3.6984956884007802
conditioned_minus_generic,conditioned,generic,40,retained,now,judge_correct,0.6510416666666667,0.5625,0.734375,0.0,16,3.657535849879081
conditioned_minus_generic,conditioned,generic,40,retained,future,em,-0.07913544788544788,-0.12491540360680985,-0.04077105836871462,0.0007,16,-0.882510489516731
conditioned_minus_generic,conditioned,generic,40,retained,future,f1,-0.11255175460335648,-0.1513004972033005,-0.07836976587510007,0.0,16,-1.4359512878333585
conditioned_minus_generic,conditioned,generic,40,retained,future,judge_correct,-0.11328983516483516,-0.15391483516483517,-0.07370650183150183,0.0,16,-1.3427501570442586
conditioned_minus_generic,conditioned,generic,40,specialisation_did,now_minus_future,em,0.6052083333333333,0.5416666666666667,0.66875,0.0,16,4.5403928881385776
conditioned_minus_generic,conditioned,generic,40,specialisation_did,now_minus_future,f1,0.676151688895255,0.6283707600780211,0.723472903271157,0.0,16,6.7464467880598855
conditioned_minus_generic,conditioned,generic,40,specialisation_did,now_minus_future,judge_correct,0.7510416666666666,0.6875,0.8114583333333334,0.0,16,5.726215181201247
conditioned_minus_generic,conditioned,generic,80,utility,now,em,0.515625,0.40625,0.625,0.0,16,2.2208253459899328
conditioned_minus_generic,conditioned,generic,80,utility,now,f1,0.4984375,0.3859375,0.6046875,0.0,16,2.188479865957416
conditioned_minus_generic,conditioned,generic,80,utility,now,judge_correct,0.515625,0.40625,0.609375,0.0,16,2.4153526805476195
conditioned_minus_generic,conditioned,generic,80,utility,future,em,-0.08124999999999999,-0.14166666666666666,-0.022916666666666665,0.0066,16,-0.65
conditioned_minus_generic,conditioned,generic,80,utility,future,f1,-0.15829390516890518,-0.209357831260175,-0.10721168154761904,0.0,16,-1.4651683394390578
conditioned_minus_generic,conditioned,generic,80,utility,future,judge_correct,-0.19791666666666663,-0.25729166666666664,-0.136432291666667,0.0,16,-1.5523649509836395
conditioned_minus_generic,conditioned,generic,80,utility,gap,em,0.596875,0.5010416666666666,0.684375,0.0,16,3.110457676770673
conditioned_minus_generic,conditioned,generic,80,utility,gap,f1,0.6567314051689053,0.5715156202304639,0.7383985471993285,0.0,16,3.736644310755311
conditioned_minus_generic,conditioned,generic,80,utility,gap,judge_correct,0.7135416666666667,0.6375,0.7770833333333333,0.0,16,4.821999056774704
conditioned_minus_generic,conditioned,generic,80,regret,now,em,-0.515625,-0.625,-0.40625,0.0,16,-2.2208253459899328
conditioned_minus_generic,conditioned,generic,80,regret,now,f1,-0.4984375,-0.6046875,-0.3859375,0.0,16,-2.188479865957416
conditioned_minus_generic,conditioned,generic,80,regret,now,judge_correct,-0.515625,-0.609375,-0.40625,0.0,16,-2.4153526805476195
conditioned_minus_generic,conditioned,generic,80,regret,future,em,0.08125,0.022916666666666696,0.14166666666666664,0.006,16,0.6500000000000002
conditioned_minus_generic,conditioned,generic,80,regret,future,f1,0.15829390516890518,0.10721168154761902,0.209357831260175,0.0,16,1.4651683394390576
conditioned_minus_generic,conditioned,generic,80,regret,future,judge_correct,0.19791666666666669,0.1364322916666669,0.2572916666666667,0.0,16,1.55236495098364
conditioned_minus_generic,conditioned,generic,80,retained,now,em,0.671875,0.5104166666666667,0.8229166666666666,0.0,16,2.072823024417079
conditioned_minus_generic,conditioned,generic,80,retained,now,f1,0.5088541666666666,0.39479166666666665,0.6130208333333333,0.0,16,2.1970294497704685
conditioned_minus_generic,conditioned,generic,80,retained,now,judge_correct,0.5052083333333334,0.4010416666666667,0.609375,0.0,16,2.3142516011852177
conditioned_minus_generic,conditioned,generic,80,retained,future,em,-0.09209991397491399,-0.15938653143731266,-0.025670989167082922,0.0059,16,-0.6527215747685373
conditioned_minus_generic,conditioned,generic,80,retained,future,f1,-0.16029119607244607,-0.21210575969169718,-0.10812690463471712,0.0,16,-1.4598620014269366
conditioned_minus_generic,conditioned,generic,80,retained,future,judge_correct,-0.2010187728937729,-0.26039377289377286,-0.1375,0.0,16,-1.5581923646725648
conditioned_minus_generic,conditioned,generic,80,specialisation_did,now_minus_future,em,0.596875,0.5010156250000002,0.6822916666666666,0.0,16,3.110457676770673
conditioned_minus_generic,conditioned,generic,80,specialisation_did,now_minus_future,f1,0.6567314051689053,0.571207905664937,0.7362808811558811,0.0,16,3.736644310755311
conditioned_minus_generic,conditioned,generic,80,specialisation_did,now_minus_future,judge_correct,0.7135416666666667,0.6385416666666667,0.7770833333333333,0.0,16,4.821999056774704
conditioned_minus_generic,conditioned,generic,160,utility,now,em,0.34375,0.25,0.4375,0.0,16,1.7054776006016161
conditioned_minus_generic,conditioned,generic,160,utility,now,f1,0.3078125,0.221875,0.3984375,0.0,16,1.6823479522496945
conditioned_minus_generic,conditioned,generic,160,utility,now,judge_correct,0.359375,0.25,0.46875,0.0,16,1.6113756277207887
conditioned_minus_generic,conditioned,generic,160,utility,future,em,-0.2552083333333333,-0.3260416666666666,-0.19270833333333331,0.0,16,-1.8519835871755648
conditioned_minus_generic,conditioned,generic,160,utility,future,f1,-0.3215569673382173,-0.37926381257631253,-0.2705391245039682,0.0,16,-2.838112925752227
conditioned_minus_generic,conditioned,generic,160,utility,future,judge_correct,-0.3416666666666666,-0.3958333333333333,-0.29166666666666663,0.0,16,-3.0858193347581726
conditioned_minus_generic,conditioned,generic,160,utility,gap,em,0.5989583333333334,0.51875,0.6781250000000001,0.0,16,3.5433930120941617
conditioned_minus_generic,conditioned,generic,160,utility,gap,f1,0.6293694673382173,0.5571449986645299,0.7016556299603174,0.0,16,4.151814940664619
conditioned_minus_generic,conditioned,generic,160,utility,gap,judge_correct,0.7010416666666668,0.6125,0.7864583333333333,0.0,16,3.8689578474930078
conditioned_minus_generic,conditioned,generic,160,regret,now,em,-0.34375,-0.4375,-0.25,0.0,16,-1.7054776006016161
conditioned_minus_generic,conditioned,generic,160,regret,now,f1,-0.3078125,-0.3984375,-0.221875,0.0,16,-1.6823479522496942
conditioned_minus_generic,conditioned,generic,160,regret,now,judge_correct,-0.359375,-0.46875,-0.25,0.0,16,-1.6113756277207887
conditioned_minus_generic,conditioned,generic,160,regret,future,em,0.25520833333333337,0.19270833333333337,0.3260416666666667,0.0,16,1.851983587175565
conditioned_minus_generic,conditioned,generic,160,regret,future,f1,0.3215569673382173,0.2705391245039682,0.3792638125763125,0.0,16,2.8381129257522275
conditioned_minus_generic,conditioned,generic,160,regret,future,judge_correct,0.3416666666666667,0.29166666666666663,0.39583333333333337,0.0,16,3.085819334758173
conditioned_minus_generic,conditioned,generic,160,retained,now,em,0.453125,0.3229166666666667,0.5833333333333333,0.0,16,1.6757231515760997
