policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
conditioned,80,retained,future,f1,0.11980514855514855,0.10592959051943428,0.13451550099206347,16,64
conditioned,80,retained,future,judge_correct,0.11657509157509158,0.103125,0.13115842490842491,16,64
conditioned,80,channel,message,delivered_words,72.875,72.0625,73.640625,16,64
conditioned,80,channel,message,fill_ratio,0.9109375000000001,0.9007812500000001,0.9205078125,16,64
conditioned,160,utility,now,em,0.765625,0.6875,0.84375,16,64
conditioned,160,utility,now,f1,0.8640625,0.8072916666666666,0.9161458333333333,16,64
conditioned,160,utility,now,judge_correct,0.96875,0.921875,1.0,16,64
conditioned,160,utility,future,em,0.1375,0.11666666666666668,0.15729166666666666,16,64
conditioned,160,utility,future,f1,0.16241128663003662,0.14612056433150183,0.1785176234355922,16,64
conditioned,160,utility,future,judge_correct,0.16770833333333335,0.14895833333333336,0.18645833333333334,16,64
conditioned,160,utility,gap,em,0.628125,0.559375,0.6979166666666667,16,64
conditioned,160,utility,gap,f1,0.7016512133699634,0.648128658234127,0.7489784703144079,16,64
conditioned,160,utility,gap,judge_correct,0.8010416666666667,0.7510416666666667,0.8395833333333333,16,64
conditioned,160,regret,now,em,0.03125,0.0,0.078125,16,64
conditioned,160,regret,now,f1,0.034375,-0.004687500000000001,0.084375,16,64
conditioned,160,regret,now,judge_correct,0.015625,-0.03125,0.0625,16,64
conditioned,160,regret,future,em,0.709375,0.671875,0.74375,16,64
conditioned,160,regret,future,f1,0.7649151022588523,0.740504154265873,0.7889262152777777,16,64
conditioned,160,regret,future,judge_correct,0.8250000000000001,0.7979166666666666,0.8489583333333334,16,64
conditioned,160,retained,now,em,0.9635416666666666,0.90625,1.0,16,64
conditioned,160,retained,now,f1,0.8796875,0.8223958333333333,0.9312499999999999,16,64
conditioned,160,retained,now,judge_correct,0.96875,0.921875,1.0,16,64
conditioned,160,retained,future,em,0.16050954254079255,0.13961076033341657,0.18191343812437563,16,64
conditioned,160,retained,future,f1,0.16389393096982385,0.14709752338435372,0.18045726018772892,16,64
conditioned,160,retained,future,judge_correct,0.16705586080586082,0.14869505494505497,0.18541666666666667,16,64
conditioned,160,channel,message,delivered_words,143.890625,142.65625,145.25,16,64
conditioned,160,channel,message,fill_ratio,0.89931640625,0.8916015625,0.9078125,16,64
generic,20,utility,now,em,0.046875,0.0,0.09375,16,64
generic,20,utility,now,f1,0.1552455357142857,0.12109374999999999,0.18958333333333333,16,64
generic,20,utility,now,judge_correct,0.140625,0.078125,0.203125,16,64
generic,20,utility,future,em,0.05520833333333333,0.028125,0.08229166666666667,16,64
generic,20,utility,future,f1,0.129312996031746,0.1003021453373016,0.15816759672619046,16,64
generic,20,utility,future,judge_correct,0.10312500000000001,0.07708333333333334,0.12604166666666666,16,64
generic,20,utility,gap,em,-0.008333333333333331,-0.04583333333333334,0.03333333333333333,16,64
generic,20,utility,gap,f1,0.025932539682539675,-0.005347470238095253,0.05495064484126983,16,64
generic,20,utility,gap,judge_correct,0.037500000000000006,-0.012499999999999997,0.08333333333333334,16,64
generic,20,regret,now,em,0.75,0.671875,0.828125,16,64
generic,20,regret,now,f1,0.7431919642857142,0.6971344866071428,0.7877604166666666,16,64
generic,20,regret,now,judge_correct,0.84375,0.78125,0.90625,16,64
generic,20,regret,future,em,0.7916666666666667,0.7489583333333333,0.834375,16,64
generic,20,regret,future,f1,0.7980133928571429,0.7654852430555555,0.8327806919642857,16,64
generic,20,regret,future,judge_correct,0.8895833333333334,0.865625,0.9166666666666667,16,64
generic,20,retained,now,em,0.05208333333333333,0.0,0.109375,16,64
generic,20,retained,now,f1,0.15784970238095236,0.12369791666666666,0.19148065476190473,16,64
generic,20,retained,now,judge_correct,0.140625,0.078125,0.203125,16,64
generic,20,retained,future,em,0.06341054778554778,0.03370158487345991,0.09361341783216784,16,64
generic,20,retained,future,f1,0.12926001330019188,0.09967068806689344,0.15870297850710796,16,64
generic,20,retained,future,judge_correct,0.103680173992674,0.07763850732600733,0.12659684065934068,16,64
generic,20,channel,message,delivered_words,18.75,18.3125,19.1875,16,64
generic,20,channel,message,fill_ratio,0.9375,0.9156249999999999,0.9593750000000001,16,64
generic,40,utility,now,em,0.234375,0.15625,0.328125,16,64
generic,40,utility,now,f1,0.31279761904761905,0.240625,0.3942726934523809,16,64
generic,40,utility,now,judge_correct,0.34375,0.265625,0.4375,16,64
generic,40,utility,future,em,0.14270833333333333,0.10729166666666667,0.18229166666666666,16,64
generic,40,utility,future,f1,0.21319444444444444,0.17944903273809523,0.252500496031746,16,64
generic,40,utility,future,judge_correct,0.20625000000000002,0.16770833333333335,0.24791666666666665,16,64
generic,40,utility,gap,em,0.09166666666666667,0.03333333333333333,0.15416666666666667,16,64
generic,40,utility,gap,f1,0.09960317460317461,0.053233134920634924,0.14627033730158728,16,64
generic,40,utility,gap,judge_correct,0.1375,0.08333333333333334,0.19583333333333336,16,64
generic,40,regret,now,em,0.5625,0.46875,0.65625,16,64
generic,40,regret,now,f1,0.585639880952381,0.507514880952381,0.6578125,16,64
generic,40,regret,now,judge_correct,0.640625,0.546875,0.734375,16,64
generic,40,regret,future,em,0.7041666666666666,0.6427083333333334,0.7572916666666667,16,64
generic,40,regret,future,f1,0.7141319444444445,0.6687988591269841,0.7557642609126984,16,64
generic,40,regret,future,judge_correct,0.7864583333333335,0.7447916666666667,0.8270833333333334,16,64
generic,40,retained,now,em,0.2864583333333333,0.18229166666666666,0.39583333333333326,16,64
generic,40,retained,now,f1,0.3154017857142857,0.24479166666666663,0.3961309523809524,16,64
generic,40,retained,now,judge_correct,0.3489583333333333,0.265625,0.4375,16,64
generic,40,retained,future,em,0.15916314588189587,0.11693966840451216,0.20636643521409145,16,64
generic,40,retained,future,f1,0.21649929683411825,0.18288951983036802,0.25546315942242276,16,64
generic,40,retained,future,judge_correct,0.20775526556776558,0.16875,0.2489583333333333,16,64
