stack_id,stack_label,dataset,future_distribution,metric,policy_family,requested_budget,n_preferences,n_contexts,future_shares,preference_ids,u_now_values,u_future_values,slope_u_now,slope_u_now_lo,slope_u_now_hi,slope_u_future,slope_u_future_lo,slope_u_future_hi,spearman_u_now,spearman_u_future,endpoint_delta_u_now,endpoint_delta_u_now_lo,endpoint_delta_u_now_hi,endpoint_delta_u_future,endpoint_delta_u_future_lo,endpoint_delta_u_future_hi,adjacent_nonincrease_u_now,adjacent_nondecrease_u_future,point_direction_correct,joint_sign_probability,joint_direction_robust,ci_level,n_resamples
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,em,split,160,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.78125, 0.78125, 0.78125, 0.78125, 0.015625]","[0.18958333333333333, 0.23437500000000006, 0.3020833333333333, 0.3552083333333334, 0.35]",-0.6125,-0.66875,-0.55625,0.17666666666666667,0.1291666666666667,0.22542708333333325,-0.7071067811865475,0.8999999999999998,-0.765625,-0.828125,-0.703125,0.16041666666666665,0.1177083333333333,0.20416666666666677,1.0,0.75,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,em,split,40,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.75, 0.78125, 0.78125, 0.640625, 0.09375]","[0.06250000000000001, 0.08958333333333332, 0.09791666666666668, 0.11770833333333335, 0.10833333333333334]",-0.58125,-0.64375,-0.51875,0.04791666666666667,0.019583333333333335,0.07333333333333333,-0.6668859288553503,0.8999999999999998,-0.65625,-0.75,-0.5625,0.04583333333333332,0.01666666666666669,0.07187500000000002,0.75,0.75,True,0.9984,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,em,split,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.765625, 0.765625, 0.765625, 0.796875, 0.03125]","[0.10520833333333335, 0.14479166666666665, 0.17812500000000003, 0.18958333333333333, 0.20312500000000006]",-0.575,-0.64375,-0.50625,0.09625000000000003,0.06333333333333338,0.12791666666666668,-0.22360679774997896,0.9999999999999999,-0.734375,-0.8125,-0.65625,0.09791666666666671,0.07083333333333335,0.12395833333333334,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,f1,scalar,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8901041666666667, 0.8697916666666666, 0.8802083333333334, 0.8802083333333334, 0.8692708333333333]","[0.20395922738753622, 0.23747316341066343, 0.21350681725681722, 0.21892450516531398, 0.22199694776900655]",-0.0125,-0.04583333333333339,0.016666666666666698,0.007010713007036484,-0.007321431288618805,0.022772093993968956,-0.6668859288553503,0.39999999999999997,-0.02083333333333337,-0.0625,0.01302083333333337,0.018037720381470335,-0.003665197360509853,0.04118980917809045,0.75,0.75,True,0.6132,False,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,f1,split,160,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8953125000000001, 0.8979166666666667, 0.8979166666666667, 0.8932291666666666, 0.041666666666666664]","[0.23023886992636994, 0.29012400793650794, 0.37019510582010584, 0.413401951058201, 0.4128348214285714]",-0.6847916666666668,-0.7233437499999998,-0.6449947916666666,0.1953879384504384,0.14927048385642133,0.240716589371277,-0.6668859288553503,0.8999999999999998,-0.8536458333333334,-0.9020833333333332,-0.8041666666666667,0.18259595150220148,0.13955213724354348,0.22475184335340592,0.75,0.75,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,f1,split,40,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8796875, 0.8979166666666667, 0.8979166666666667, 0.8186755952380953, 0.1730139652014652]","[0.11401842081529581, 0.1436895222832723, 0.15187251984126984, 0.1787192321567321, 0.1695949074074074]",-0.5970352564102563,-0.6500602678571429,-0.5497949290293042,0.05847307322307319,0.02746214173557923,0.08772436134467385,-0.6668859288553503,0.8999999999999998,-0.7066735347985348,-0.7786458333333333,-0.6425087282509158,0.05557648659211159,0.02127368363696492,0.08746003468464403,0.75,0.75,True,0.9986,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,f1,split,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8901041666666667, 0.8901041666666667, 0.8848958333333333, 0.9057291666666667, 0.07291666666666666]","[0.15301078551078548, 0.18656746031746033, 0.23386863425925927, 0.25233630952380953, 0.2655605158730159]",-0.6475000000000001,-0.7033333333333334,-0.5922916666666668,0.11634732397232402,0.08693212632275137,0.14509574239417986,-0.35909242322980395,0.9999999999999999,-0.8171875000000001,-0.8828124999999999,-0.7526041666666666,0.1125497303622304,0.08835382167022796,0.13592879877645506,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,judge_correct,scalar,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[1.0, 0.984375, 0.984375, 0.984375, 0.984375]","[0.2125, 0.24999999999999997, 0.228125, 0.23333333333333334, 0.23750000000000002]",-0.0125,-0.0375,0.0,0.013333333333333364,-0.0012499999999999844,0.030416666666666647,-0.7071067811865475,0.39999999999999997,-0.015625,-0.046875,0.0,0.025000000000000022,0.0031250000000000167,0.0489583333333333,1.0,0.75,True,0.6166,False,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,judge_correct,split,160,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.984375, 1.0, 1.0, 0.984375, 0.0625]","[0.2260416666666667, 0.32499999999999996, 0.4145833333333334, 0.45416666666666666, 0.4427083333333333]",-0.74375,-0.78125,-0.7,0.225,0.18208333333333346,0.26542708333333326,-0.5270462766947298,0.8999999999999998,-0.921875,-0.96875,-0.859375,0.21666666666666662,0.17395833333333344,0.25625,0.75,0.75,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,judge_correct,split,40,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[1.0, 1.0, 1.0, 0.96875, 0.21875]","[0.09375000000000001, 0.14375, 0.15729166666666672, 0.1979166666666667, 0.1885416666666667]",-0.6375,-0.70625,-0.56875,0.09750000000000003,0.06750000000000002,0.12666666666666668,-0.8944271909999159,0.8999999999999998,-0.78125,-0.859375,-0.703125,0.09479166666666668,0.059375000000000025,0.128125,1.0,0.75,True,1.0,True,0.95,5000
