comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,fixed,target,1,em,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,target,1,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,1,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,1,em,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,target,1,em,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,fixed,target,1,f1,-0.3333333333333333,-0.6666666666666666,0.0,0.5125,2
conditioned_minus_generic,switching,target,1,f1,-0.3333333333333333,-0.6666666666666666,0.0,0.5125,2
switching_minus_fixed,conditioned,target,1,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,1,f1,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,target,1,f1,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,fixed,target,1,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,target,1,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,1,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,1,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,target,1,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,fixed,target,2,em,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,2,em,-0.5,-1.0,0.0,0.5125,2
switching_minus_fixed,conditioned,target,2,em,-0.5,-1.0,0.0,0.5032,2
switching_minus_fixed,generic,target,2,em,0.5,0.0,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,2,em,-1.0,-2.0,0.0,0.5006,2
conditioned_minus_generic,fixed,target,2,f1,0.16666666666666669,-0.6666666666666666,1.0,0.5125,2
conditioned_minus_generic,switching,target,2,f1,-0.12500000000000006,-0.2500000000000001,0.0,0.5125,2
switching_minus_fixed,conditioned,target,2,f1,-0.12500000000000006,-0.2500000000000001,0.0,0.5032,2
switching_minus_fixed,generic,target,2,f1,0.16666666666666669,-0.6666666666666666,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,2,f1,-0.2916666666666667,-1.25,0.6666666666666666,0.5006,2
conditioned_minus_generic,fixed,target,2,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,target,2,judge_correct,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,target,2,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,2,judge_correct,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,2,judge_correct,0.5,0.0,1.0,0.5006,2
conditioned_minus_generic,fixed,target,3,em,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,3,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,3,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,3,em,0.5,0.0,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,3,em,-0.5,-1.0,0.0,0.5006,2
conditioned_minus_generic,fixed,target,3,f1,0.16666666666666669,-0.6666666666666666,1.0,0.5125,2
conditioned_minus_generic,switching,target,3,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,3,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,3,f1,0.16666666666666669,-0.6666666666666666,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,3,f1,-0.16666666666666669,-1.0,0.6666666666666666,0.5006,2
conditioned_minus_generic,fixed,target,3,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,target,3,judge_correct,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,target,3,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,3,judge_correct,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,3,judge_correct,0.5,0.0,1.0,0.5006,2
conditioned_minus_generic,fixed,target,4,em,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,4,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,4,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,4,em,0.5,0.0,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,4,em,-0.5,-1.0,0.0,0.5006,2
conditioned_minus_generic,fixed,target,4,f1,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,4,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,4,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,4,f1,0.5,0.0,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,4,f1,-0.5,-1.0,0.0,0.5006,2
conditioned_minus_generic,fixed,target,4,judge_correct,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,4,judge_correct,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,target,4,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,4,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,target,4,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,fixed,target,5,em,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,5,em,-0.5,-1.0,0.0,0.5125,2
switching_minus_fixed,conditioned,target,5,em,-0.5,-1.0,0.0,0.5032,2
switching_minus_fixed,generic,target,5,em,0.5,0.0,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,5,em,-1.0,-2.0,0.0,0.5006,2
conditioned_minus_generic,fixed,target,5,f1,0.33333333333333337,-0.3333333333333333,1.0,0.5125,2
conditioned_minus_generic,switching,target,5,f1,-0.12500000000000006,-0.2500000000000001,0.0,0.5125,2
switching_minus_fixed,conditioned,target,5,f1,-0.12500000000000006,-0.2500000000000001,0.0,0.5032,2
switching_minus_fixed,generic,target,5,f1,0.33333333333333337,-0.3333333333333333,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,5,f1,-0.45833333333333337,-1.25,0.3333333333333333,0.5006,2
conditioned_minus_generic,fixed,target,5,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,target,5,judge_correct,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,target,5,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,5,judge_correct,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,5,judge_correct,0.5,0.0,1.0,0.5006,2
conditioned_minus_generic,fixed,target,6,em,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,6,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,6,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,6,em,0.5,0.0,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,6,em,-0.5,-1.0,0.0,0.5006,2
conditioned_minus_generic,fixed,target,6,f1,0.5,0.0,1.0,0.5125,2
conditioned_minus_generic,switching,target,6,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,target,6,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,target,6,f1,0.5,0.0,1.0,0.5032,2
conditioning_x_switching_interaction,factorial,target,6,f1,-0.5,-1.0,0.0,0.5006,2
conditioned_minus_generic,fixed,target,6,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,target,6,judge_correct,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,target,6,judge_correct,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,target,6,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,target,6,judge_correct,0.5,0.0,1.0,0.5006,2
conditioned_minus_generic,fixed,heldout,1,em,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,switching,heldout,1,em,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,1,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,heldout,1,em,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,1,em,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,fixed,heldout,1,f1,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,switching,heldout,1,f1,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,1,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,heldout,1,f1,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,1,f1,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,fixed,heldout,1,judge_correct,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,switching,heldout,1,judge_correct,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,1,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,generic,heldout,1,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,1,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,fixed,heldout,2,em,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,2,em,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,heldout,2,em,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,2,em,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,heldout,2,em,1.0,1.0,1.0,0.0,2
conditioned_minus_generic,fixed,heldout,2,f1,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,2,f1,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,heldout,2,f1,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,2,f1,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,heldout,2,f1,1.0,1.0,1.0,0.0,2
conditioned_minus_generic,fixed,heldout,2,judge_correct,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,2,judge_correct,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,2,judge_correct,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,2,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,2,judge_correct,0.5,0.0,1.0,0.5006,2
conditioned_minus_generic,fixed,heldout,3,em,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,3,em,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,heldout,3,em,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,3,em,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,heldout,3,em,1.0,1.0,1.0,0.0,2
conditioned_minus_generic,fixed,heldout,3,f1,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,3,f1,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,heldout,3,f1,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,3,f1,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,heldout,3,f1,1.0,1.0,1.0,0.0,2
conditioned_minus_generic,fixed,heldout,3,judge_correct,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,3,judge_correct,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,3,judge_correct,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,3,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,3,judge_correct,0.5,0.0,1.0,0.5006,2
conditioned_minus_generic,fixed,heldout,4,em,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,4,em,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,heldout,4,em,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,4,em,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,heldout,4,em,1.0,1.0,1.0,0.0,2
conditioned_minus_generic,fixed,heldout,4,f1,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,4,f1,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,heldout,4,f1,0.5,0.0,1.0,0.5032,2
switching_minus_fixed,generic,heldout,4,f1,-0.5,-1.0,0.0,0.5032,2
conditioning_x_switching_interaction,factorial,heldout,4,f1,1.0,1.0,1.0,0.0,2
conditioned_minus_generic,fixed,heldout,4,judge_correct,-0.5,-1.0,0.0,0.5125,2
conditioned_minus_generic,switching,heldout,4,judge_correct,0.5,0.0,1.0,0.5125,2
switching_minus_fixed,conditioned,heldout,4,judge_correct,1.0,1.0,1.0,0.0,2
switching_minus_fixed,generic,heldout,4,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,4,judge_correct,1.0,1.0,1.0,0.0,2
conditioned_minus_generic,fixed,heldout,5,em,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,heldout,5,em,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,5,em,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,generic,heldout,5,em,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,5,em,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,fixed,heldout,5,f1,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,heldout,5,f1,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,5,f1,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,generic,heldout,5,f1,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,5,f1,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,fixed,heldout,5,judge_correct,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,switching,heldout,5,judge_correct,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,conditioned,heldout,5,judge_correct,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,generic,heldout,5,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,5,judge_correct,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,fixed,heldout,6,em,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,switching,heldout,6,em,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,heldout,6,em,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,generic,heldout,6,em,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,6,em,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,fixed,heldout,6,f1,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,switching,heldout,6,f1,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,heldout,6,f1,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,generic,heldout,6,f1,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,6,f1,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,fixed,heldout,6,judge_correct,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,switching,heldout,6,judge_correct,0.0,0.0,0.0,1.0,2
switching_minus_fixed,conditioned,heldout,6,judge_correct,0.0,-1.0,1.0,1.0,2
switching_minus_fixed,generic,heldout,6,judge_correct,0.0,0.0,0.0,1.0,2
conditioning_x_switching_interaction,factorial,heldout,6,judge_correct,0.0,-1.0,1.0,1.0,2
